Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,timepoint,GEO Accession
SRR8197258,74534202,3801244302,51,1145,SRX5016635,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049901,SAMN10434910,simple,9606,Homo sapiens,GSM3476285,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_36_cas9_a,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,36 hours,GSM3476285
SRR8197259,61263783,3124452933,51,945,SRX5016636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049902,SAMN10434909,simple,9606,Homo sapiens,GSM3476286,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_36_cas9_b,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,36 hours,GSM3476286
SRR8197260,73932621,3770563671,51,1145,SRX5016637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049903,SAMN10434907,simple,9606,Homo sapiens,GSM3476287,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_36_cas9_c,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,36 hours,GSM3476287
SRR8197261,60082809,3064223259,51,930,SRX5016638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049904,SAMN10434905,simple,9606,Homo sapiens,GSM3476288,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_36_dcas9_d,HEK293 cell line,HEK293 cell line,dCas9 RNP nucleofection,36 hours,GSM3476288
SRR8197262,67719931,3453716481,51,1041,SRX5016639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049905,SAMN10434901,simple,9606,Homo sapiens,GSM3476289,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_36_dcas9_e,HEK293 cell line,HEK293 cell line,dCas9 RNP nucleofection,36 hours,GSM3476289
SRR8197263,129437147,6601294497,51,2232,SRX5016640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049907,SAMN10434897,simple,9606,Homo sapiens,GSM3476290,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_72_cas9_rna_a,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,72 hours,GSM3476290
SRR8197264,88749551,4526227101,51,1529,SRX5016641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049906,SAMN10434979,simple,9606,Homo sapiens,GSM3476291,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_72_cas9_rna_b,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,72 hours,GSM3476291
SRR8197265,73094631,3727826181,51,1256,SRX5016642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049908,SAMN10434973,simple,9606,Homo sapiens,GSM3476292,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_72_dcas9_rna_a,HEK293 cell line,HEK293 cell line,dCas9 RNP nucleofection,72 hours,GSM3476292
SRR8197266,90164499,4598389449,51,1587,SRX5016643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049909,SAMN10434893,simple,9606,Homo sapiens,GSM3476293,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,mrna_72_dcas9_rna_b,HEK293 cell line,HEK293 cell line,dCas9 RNP nucleofection,72 hours,GSM3476293
SRR8197267,30864215,798542192,25,356,SRX5016644,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049910,SAMN10434891,simple,9606,Homo sapiens,GSM3476294,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,ribo_36_cas9_a,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,36 hours,GSM3476294
SRR8197269,50248884,1309747893,26,582,SRX5016646,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049912,SAMN10434887,simple,9606,Homo sapiens,GSM3476296,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,ribo_36_cas9_c,HEK293 cell line,HEK293 cell line,Cas9 RNP nucleofection,36 hours,GSM3476296
SRR8197270,83682833,2198421359,26,978,SRX5016647,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049913,SAMN10434886,simple,9606,Homo sapiens,GSM3476297,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,ribo_36_dcas9_d,HEK293 cell line,HEK293 cell line,dCas9 RNP nucleofection,36 hours,GSM3476297
SRR8197271,37588636,944291819,25,429,SRX5016648,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP169066,PRJNA505780,34914197,"",SRS4049914,SAMN10434884,simple,9606,Homo sapiens,GSM3476298,GEO,SRA810852,11,2021,Riepe,HEK293 cell line,ribo_36_dcas9_e,HEK293 cell line,HEK293 cell line,dCas9 RNP nucleofection,36 hours,GSM3476298
