Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,ecotype,transgene,treatment,tissue,rna fraction,genotype,GEO Accession
SRR8353540,87680912,4471726512,51,1497,SRX5164402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174066,SAMN10615024,simple,3702,Arabidopsis thaliana,GSM3521103,GEO,SRA824990,12,2020,Makar,RS-Mock (C),RS-Mock Rep1 (C),RS-Mock (C),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,total mRNA,WT background,GSM3521103
SRR8353541,81210037,4141711887,51,1372,SRX5164403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174067,SAMN10615023,simple,3702,Arabidopsis thaliana,GSM3521104,GEO,SRA824990,12,2020,Makar,RS-Mock (C),RS-Mock Rep2 (C),RS-Mock (C),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,total mRNA,WT background,GSM3521104
SRR8353542,111834187,5703543537,51,1897,SRX5164404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174068,SAMN10615022,simple,3702,Arabidopsis thaliana,GSM3521105,GEO,SRA824990,12,2020,Makar,RS-Mock (C),RS-Mock Rep3 (C),RS-Mock (C),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,total mRNA,WT background,GSM3521105
SRR8353543,69112029,3524713479,51,1172,SRX5164405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174070,SAMN10615041,simple,3702,Arabidopsis thaliana,GSM3521106,GEO,SRA824990,12,2020,Makar,RS-AvrRpt2 (C),RS-AvrRpt2 Rep1 (C),RS-AvrRpt2 (C),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,total mRNA,WT background,GSM3521106
SRR8353544,110797690,5650682190,51,1877,SRX5164406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174069,SAMN10615040,simple,3702,Arabidopsis thaliana,GSM3521107,GEO,SRA824990,12,2020,Makar,RS-AvrRpt2 (C),RS-AvrRpt2 Rep2 (C),RS-AvrRpt2 (C),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,total mRNA,WT background,GSM3521107
SRR8353545,96511709,4922097159,51,1626,SRX5164407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174071,SAMN10615039,simple,3702,Arabidopsis thaliana,GSM3521108,GEO,SRA824990,12,2020,Makar,RS-AvrRpt2 (C),RS-AvrRpt2 Rep3 (C),RS-AvrRpt2 (C),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,total mRNA,WT background,GSM3521108
SRR8353546,110764990,5649014490,51,1784,SRX5164408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174072,SAMN10615038,simple,3702,Arabidopsis thaliana,GSM3521109,GEO,SRA824990,12,2020,Makar,RF-Mock (C),RF-Mock Rep1 (C),RF-Mock (C),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,ribosomal associated mRNA,WT background,GSM3521109
SRR8353547,133223562,6794401662,51,2124,SRX5164409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174073,SAMN10615037,simple,3702,Arabidopsis thaliana,GSM3521110,GEO,SRA824990,12,2020,Makar,RF-Mock (C),RF-Mock Rep2 (C),RF-Mock (C),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,ribosomal associated mRNA,WT background,GSM3521110
SRR8353548,138823783,7080012933,51,2224,SRX5164410,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174074,SAMN10615036,simple,3702,Arabidopsis thaliana,GSM3521111,GEO,SRA824990,12,2020,Makar,RF-Mock (C),RF-Mock Rep3 (C),RF-Mock (C),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,ribosomal associated mRNA,WT background,GSM3521111
SRR8353549,134926682,6881260782,51,2170,SRX5164411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174075,SAMN10615035,simple,3702,Arabidopsis thaliana,GSM3521112,GEO,SRA824990,12,2020,Makar,RF-AvrRpt2 (C),RF-AvrRpt2 Rep1 (C),RF-AvrRpt2 (C),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,ribosomal associated mRNA,WT background,GSM3521112
SRR8353550,155654722,7938390822,51,2500,SRX5164412,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174076,SAMN10615034,simple,3702,Arabidopsis thaliana,GSM3521113,GEO,SRA824990,12,2020,Makar,RF-AvrRpt2 (C),RF-AvrRpt2 Rep2 (C),RF-AvrRpt2 (C),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,ribosomal associated mRNA,WT background,GSM3521113
SRR8353551,100858438,5143780338,51,1612,SRX5164413,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174077,SAMN10615033,simple,3702,Arabidopsis thaliana,GSM3521114,GEO,SRA824990,12,2020,Makar,RF-AvrRpt2 (C),RF-AvrRpt2 Rep3 (C),RF-AvrRpt2 (C),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,ribosomal associated mRNA,WT background,GSM3521114
SRR8353552,106381964,5425480164,51,1783,SRX5164414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174078,SAMN10615032,simple,3702,Arabidopsis thaliana,GSM3521115,GEO,SRA824990,12,2020,Makar,RS-Mock (R),RS-Mock Rep1 (R),RS-Mock (R),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,total mRNA,rps2 mutant background,GSM3521115
SRR8353553,67967801,3466357851,51,1126,SRX5164415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174079,SAMN10615031,simple,3702,Arabidopsis thaliana,GSM3521116,GEO,SRA824990,12,2020,Makar,RS-Mock (R),RS-Mock Rep2 (R),RS-Mock (R),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,total mRNA,rps2 mutant background,GSM3521116
SRR8353554,59953163,3057611313,51,988,SRX5164416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174080,SAMN10615030,simple,3702,Arabidopsis thaliana,GSM3521117,GEO,SRA824990,12,2020,Makar,RS-AvrRpt2 (R),RS-AvrRpt2 Rep1 (R),RS-AvrRpt2 (R),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,total mRNA,rps2 mutant background,GSM3521117
SRR8353555,77522488,3953646888,51,1276,SRX5164417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174081,SAMN10615029,simple,3702,Arabidopsis thaliana,GSM3521118,GEO,SRA824990,12,2020,Makar,RS-AvrRpt2 (R),RS-AvrRpt2 Rep2 (R),RS-AvrRpt2 (R),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,total mRNA,rps2 mutant background,GSM3521118
SRR8353556,149547292,7626911892,51,2402,SRX5164418,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174082,SAMN10615028,simple,3702,Arabidopsis thaliana,GSM3521119,GEO,SRA824990,12,2020,Makar,RF-Mock (R),RF-Mock Rep1 (R),RF-Mock (R),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,ribosomal associated mRNA,rps2 mutant background,GSM3521119
SRR8353557,164212825,8374854075,51,2630,SRX5164419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174083,SAMN10615027,simple,3702,Arabidopsis thaliana,GSM3521120,GEO,SRA824990,12,2020,Makar,RF-Mock (R),RF-Mock Rep2 (R),RF-Mock (R),Col-0,35S:uORFsTBF1-LUC,Mock,leaf,ribosomal associated mRNA,rps2 mutant background,GSM3521120
SRR8353558,141774500,7230499500,51,2274,SRX5164420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174085,SAMN10615026,simple,3702,Arabidopsis thaliana,GSM3521121,GEO,SRA824990,12,2020,Makar,RF-AvrRpt2 (R),RF-AvrRpt2 Rep1 (R),RF-AvrRpt2 (R),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,ribosomal associated mRNA,rps2 mutant background,GSM3521121
SRR8353559,116121741,5922208791,51,1854,SRX5164421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173921,PRJNA510796,1,"",SRS4174084,SAMN10615025,simple,3702,Arabidopsis thaliana,GSM3521122,GEO,SRA824990,12,2020,Makar,RF-AvrRpt2 (R),RF-AvrRpt2 Rep2 (R),RF-AvrRpt2 (R),Col-0,35S:uORFsTBF1-LUC,AvrRpt2 inoculation,leaf,ribosomal associated mRNA,rps2 mutant background,GSM3521122
