Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,passage,phenotype,treatment,replicate,GEO Accession
SRR8392697,41968749,2140406199,51,676,SRX5202408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207559,SAMN10689183,simple,9606,Homo sapiens,GSM3537582,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young1_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Control,1,GSM3537582
SRR8392698,30818299,1571733249,51,525,SRX5202409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207560,SAMN10689182,simple,9606,Homo sapiens,GSM3537583,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young2_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Control,2,GSM3537583
SRR8392699,39578011,2018478561,51,637,SRX5202410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207561,SAMN10689181,simple,9606,Homo sapiens,GSM3537584,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young_HS1_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Heat shock,1,GSM3537584
SRR8392700,29317493,1495192143,51,496,SRX5202411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207563,SAMN10689180,simple,9606,Homo sapiens,GSM3537585,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young_HS2_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Heat shock,2,GSM3537585
SRR8392701,31643704,1613828904,51,512,SRX5202412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207562,SAMN10689179,simple,9606,Homo sapiens,GSM3537586,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent1_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Control,1,GSM3537586
SRR8392702,30039723,1532025873,51,510,SRX5202413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207564,SAMN10689178,simple,9606,Homo sapiens,GSM3537587,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent2_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Control,2,GSM3537587
SRR8392703,30821010,1571871510,51,498,SRX5202414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207565,SAMN10689177,simple,9606,Homo sapiens,GSM3537588,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent_HS1_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Heat shock,1,GSM3537588
SRR8392704,31004484,1581228684,51,526,SRX5202415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207566,SAMN10689176,simple,9606,Homo sapiens,GSM3537589,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent_HS2_RNA_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Heat shock,2,GSM3537589
SRR8392705,91019238,6631519393,72,2755,SRX5202416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207567,SAMN10689175,simple,9606,Homo sapiens,GSM3537590,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young1_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Control,1,GSM3537590
SRR8392706,107467947,7943743061,73,3274,SRX5202417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207568,SAMN10689174,simple,9606,Homo sapiens,GSM3537591,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young2_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Control,2,GSM3537591
SRR8392707,60450688,3753949314,62,1506,SRX5202418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207569,SAMN10689173,simple,9606,Homo sapiens,GSM3537592,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young_HS1_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Heat shock,1,GSM3537592
SRR8392708,174567680,13121174788,75,5701,SRX5202419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207570,SAMN10689172,simple,9606,Homo sapiens,GSM3537593,GEO,SRA830119,12,2020,Sabath,WI38 cells,Young_HS2_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,24,young,Heat shock,2,GSM3537593
SRR8392709,47269841,2645576684,55,1002,SRX5202420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207571,SAMN10689171,simple,9606,Homo sapiens,GSM3537594,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent1_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Control,1,GSM3537594
SRR8392710,38962857,2449686160,62,978,SRX5202421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207572,SAMN10689170,simple,9606,Homo sapiens,GSM3537595,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent2_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Control,2,GSM3537595
SRR8392711,133535948,9067152644,67,3869,SRX5202422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207573,SAMN10689169,simple,9606,Homo sapiens,GSM3537596,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent_HS1_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Heat shock,1,GSM3537596
SRR8392712,122158001,8987133310,73,3862,SRX5202423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175158,PRJNA512837,33257563,"",SRS4207574,SAMN10689168,simple,9606,Homo sapiens,GSM3537597,GEO,SRA830119,12,2020,Sabath,WI38 cells,Senescent_HS2_Ribo_Seq,WI38 cells,WI38,human lung fibroblasts,36,senescent,Heat shock,2,GSM3537597
