Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,time,GEO Accession
SRR8443308,15646219,782310950,50,345,SRX5250476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252124,SAMN10743996,simple,9606,Homo sapiens,GSM3562582,GEO,SRA834884,06,2019,Makar,"Vehicle-treated, HeLa cells","Vehicle-treated, replicate A footprints","Vehicle-treated, HeLa cells",HeLa,control,,GSM3562582
SRR8443309,14709086,735454300,50,325,SRX5250477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252125,SAMN10743995,simple,9606,Homo sapiens,GSM3562583,GEO,SRA834884,06,2019,Makar,"Vehicle-treated, HeLa cells","Vehicle-treated, replicate B footprints","Vehicle-treated, HeLa cells",HeLa,control,,GSM3562583
SRR8443310,18574469,928723450,50,412,SRX5250478,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252126,SAMN10743994,simple,9606,Homo sapiens,GSM3562584,GEO,SRA834884,06,2019,Makar,"15 min-treated, HeLa cells","15 min-treated, replicate A footprints","15 min-treated, HeLa cells",HeLa,CHX,15 min,GSM3562584
SRR8443311,16699706,834985300,50,368,SRX5250479,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252127,SAMN10743993,simple,9606,Homo sapiens,GSM3562585,GEO,SRA834884,06,2019,Makar,"15 min-treated, HeLa cells","15 min-treated, replicate B footprints","15 min-treated, HeLa cells",HeLa,CHX,15 min,GSM3562585
SRR8443312,17410650,870532500,50,383,SRX5250480,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252128,SAMN10743992,simple,9606,Homo sapiens,GSM3562586,GEO,SRA834884,06,2019,Makar,"24 h-treated, HeLa cells","24 h-treated, replicate A footprints","24 h-treated, HeLa cells",HeLa,CHX,24 h,GSM3562586
SRR8443313,16184277,809213850,50,359,SRX5250481,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252129,SAMN10743991,simple,9606,Homo sapiens,GSM3562587,GEO,SRA834884,06,2019,Makar,"24 h-treated, HeLa cells","24 h-treated, replicate B footprints","24 h-treated, HeLa cells",HeLa,CHX,24 h,GSM3562587
SRR8443314,27680229,1384011450,50,686,SRX5250482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252130,SAMN10743990,simple,9606,Homo sapiens,GSM3562588,GEO,SRA834884,06,2019,Makar,"Vehicle-treated, HeLa cells","Vehicle-treated, replicate A RNA-seq","Vehicle-treated, HeLa cells",HeLa,control,,GSM3562588
SRR8443315,23700153,1185007650,50,605,SRX5250483,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252131,SAMN10743989,simple,9606,Homo sapiens,GSM3562589,GEO,SRA834884,06,2019,Makar,"Vehicle-treated, HeLa cells","Vehicle-treated, replicate B RNA-seq","Vehicle-treated, HeLa cells",HeLa,control,,GSM3562589
SRR8443316,24935488,1246774400,50,618,SRX5250484,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252132,SAMN10743988,simple,9606,Homo sapiens,GSM3562590,GEO,SRA834884,06,2019,Makar,"15 min-treated, HeLa cells","15 min-treated, replicate A RNA-seq","15 min-treated, HeLa cells",HeLa,CHX,15 min,GSM3562590
SRR8443317,25231354,1261567700,50,626,SRX5250485,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252133,SAMN10743987,simple,9606,Homo sapiens,GSM3562591,GEO,SRA834884,06,2019,Makar,"15 min-treated, HeLa cells","15 min-treated, replicate B RNA-seq","15 min-treated, HeLa cells",HeLa,CHX,15 min,GSM3562591
SRR8443318,28487261,1424363050,50,705,SRX5250486,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252134,SAMN10743959,simple,9606,Homo sapiens,GSM3562592,GEO,SRA834884,06,2019,Makar,"24 h-treated, HeLa cells","24 h-treated, replicate A RNA-seq","24 h-treated, HeLa cells",HeLa,CHX,24 h,GSM3562592
SRR8443319,26894022,1344701100,50,673,SRX5250487,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179458,PRJNA515197,1,"",SRS4252135,SAMN10743958,simple,9606,Homo sapiens,GSM3562593,GEO,SRA834884,06,2019,Makar,"24 h-treated, HeLa cells","24 h-treated, replicate B RNA-seq","24 h-treated, HeLa cells",HeLa,CHX,24 h,GSM3562593
