Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,GEO Accession
SRR8558080,496037564,37202817300,75,12888,SRX5359740,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350374,SAMN10910522,simple,9606,Homo sapiens,GSM3597562,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RIBOSEQ-WT-1,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597562
SRR8558081,411820853,30886563975,75,10723,SRX5359741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350375,SAMN10910521,simple,9606,Homo sapiens,GSM3597563,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RIBOSEQ-WT-2,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597563
SRR8558082,406326972,30474522900,75,10534,SRX5359742,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350376,SAMN10910517,simple,9606,Homo sapiens,GSM3597564,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RIBOSEQ-eRF3-KO-1,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597564
SRR8558083,406058053,30454353975,75,10554,SRX5359743,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350377,SAMN10910528,simple,9606,Homo sapiens,GSM3597565,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RIBOSEQ-eRF3-KO-2,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597565
SRR8558084,386563970,28992297750,75,10349,SRX5359744,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350378,SAMN10910527,simple,9606,Homo sapiens,GSM3597566,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RIBOSEQ-Upf1-KO-1,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597566
SRR8558085,444079333,33305949975,75,11545,SRX5359745,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350379,SAMN10910526,simple,9606,Homo sapiens,GSM3597567,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RIBOSEQ-Upf1-KO-2,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597567
SRR8558086,82630892,6197316900,75,2107,SRX5359746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350380,SAMN10910525,simple,9606,Homo sapiens,GSM3597568,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RNASEQ-WT-1,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597568
SRR8558087,81568719,6117653925,75,2049,SRX5359747,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350381,SAMN10910520,simple,9606,Homo sapiens,GSM3597569,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RNASEQ-WT-2,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597569
SRR8558088,81517731,6113829825,75,2066,SRX5359748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350382,SAMN10910519,simple,9606,Homo sapiens,GSM3597570,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RNASEQ-eRF3-KO-1,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597570
SRR8558089,75204811,5640360825,75,1909,SRX5359749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP185496,PRJNA521751,31619139,"",SRS4350383,SAMN10910518,simple,9606,Homo sapiens,GSM3597571,GEO,SRA848188,10,2019,Aliouat,colon cancer cell line,RNASEQ-eRF3-KO-2,colon cancer cell line,human colon cancer cell line,HCT116 (ATCC CCL-247),GSM3597571
