Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line/type,tissue source,developmental stage,tumor stage,molecule subtype,GEO Accession
SRR8590754,21025755,1072313505,51,373,SRX5391039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378981,SAMN10965477,simple,9606,Homo sapiens,GSM3611926,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Full Serum ribosome protected fragments,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,ribosome protected fragments,GSM3611926
SRR8590755,20846279,1063160229,51,367,SRX5391039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378981,SAMN10965477,simple,9606,Homo sapiens,GSM3611926,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Full Serum ribosome protected fragments,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,ribosome protected fragments,GSM3611927
SRR8590756,22365011,1140615561,51,398,SRX5391040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378980,SAMN10965476,simple,9606,Homo sapiens,GSM3611927,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 1 hour ribosome protected fragments,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,ribosome protected fragments,GSM3611928
SRR8590757,22172734,1130809434,51,392,SRX5391040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378980,SAMN10965476,simple,9606,Homo sapiens,GSM3611927,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 1 hour ribosome protected fragments,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,,GSM3611929
SRR8590758,28918795,1474858545,51,641,SRX5391041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378982,SAMN10965475,simple,9606,Homo sapiens,GSM3611928,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 24 hours ribosome protected fragments,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,,GSM3611930
SRR8590759,28992544,1478619744,51,639,SRX5391041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378982,SAMN10965475,simple,9606,Homo sapiens,GSM3611928,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 24 hours ribosome protected fragments,adult human female breast,Human mammary epithelial cells (HMECs),breast,adult,no apparent disease,,GSM3611931
SRR8590760,25236200,2574092400,51,1087,SRX5391042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378983,SAMN10965474,simple,9606,Homo sapiens,GSM3611929,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Full Serum RNA-seq,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,ribosome protected fragments,GSM3611932
SRR8590761,25739519,2625430938,51,1104,SRX5391042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378983,SAMN10965474,simple,9606,Homo sapiens,GSM3611929,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Full Serum RNA-seq,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,ribosome protected fragments,GSM3611933
SRR8590762,14761908,1505714616,51,643,SRX5391043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378984,SAMN10965473,simple,9606,Homo sapiens,GSM3611930,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 1 hour RNA-seq,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,,GSM3611934
SRR8590763,14834745,1513143990,51,647,SRX5391043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378984,SAMN10965473,simple,9606,Homo sapiens,GSM3611930,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 1 hour RNA-seq,"adult human female breast, fibrocystic disease",MCF10A,breast,adult,fibrocystic disease,,GSM3611935
SRR8590764,33230173,3389477646,51,1469,SRX5391044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378985,SAMN10965471,simple,9606,Homo sapiens,GSM3611931,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 24 hours RNA-seq,Human ER(+) breast cancer,T47D,breast,adult,metastatic,ribosome protected fragments,GSM3611936
SRR8590765,33398473,3406644246,51,1478,SRX5391044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186252,PRJNA523167,31911279,"",SRS4378985,SAMN10965471,simple,9606,Homo sapiens,GSM3611931,GEO,SRA850276,12,2019,Vaklavas,adult human female breast,HMECs Serum Deprived 24 hours RNA-seq,Human ER(+) breast cancer,T47D,breast,adult,metastatic,ribosome protected fragments,GSM3611937
