Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,collected_by,collection_date,geo_loc_name,host,host_disease,isolation_source,lat_lon,sample_type,isolate,BioSampleModel
SRR8698824,33999827,10199948100,150,4640,SRX5494552,Rrp6-R0_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464318,SAMN10996220,simple,36329,Plasmodium falciparum 3D7,Rrp6-R0_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-12T06:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698823,42854403,12856320900,150,5834,SRX5494553,Rrp6-R5_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464319,SAMN10996221,simple,36329,Plasmodium falciparum 3D7,Rrp6-R5_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-12T16:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698822,25659058,7697717400,150,3046,SRX5494554,MTR4-R0_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464320,SAMN10996218,simple,36329,Plasmodium falciparum 3D7,MTR4-R0_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-11T10:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698820,23108964,6932689200,150,2767,SRX5494555,MTR4-R5_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464321,SAMN10996219,simple,36329,Plasmodium falciparum 3D7,MTR4-R5_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-11T20:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698819,55411230,9059102077,151,3439,SRX5494556,20hpi-nascent-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464322,SAMN10996224,simple,36329,Plasmodium falciparum 3D7,20hpi-nascent-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-11T20:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698818,66485131,20078509562,151,7172,SRX5494557,20hpi-steady-state-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464323,SAMN10996225,simple,36329,Plasmodium falciparum 3D7,20hpi-steady-state-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-11T20:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698817,67787550,17253366187,151,7159,SRX5494558,10hpi-nascent-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464324,SAMN10996222,simple,36329,Plasmodium falciparum 3D7,10hpi-nascent-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-11T10:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698816,102366069,30914552838,151,12484,SRX5494559,10hpi-steady-state-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464325,SAMN10996223,simple,36329,Plasmodium falciparum 3D7,10hpi-steady-state-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-11T10:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698815,74083103,22373097106,151,8993,SRX5494560,30hpi-nascent-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464326,SAMN10996226,simple,36329,Plasmodium falciparum 3D7,30hpi-nascent-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-12T06:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698814,53662758,16206152916,151,5831,SRX5494561,30hpi-steady-state-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464327,SAMN10996227,simple,36329,Plasmodium falciparum 3D7,30hpi-steady-state-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-12T06:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
