Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,time,molecule,GEO Accession
SRR8649954,38303136,1876853664,49,617,SRX5447679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424573,SAMN11041736,simple,9606,Homo sapiens,GSM3637564,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Ribo HCV rep 1,heptoma cells,Huh-7.5,6 days post HCV transfection,Ribo protected RNA,GSM3637564
SRR8649955,45200648,2214831752,49,728,SRX5447680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424574,SAMN11041735,simple,9606,Homo sapiens,GSM3637565,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Ribo HCV rep 2,heptoma cells,Huh-7.5,6 days post HCV transfection,Ribo protected RNA,GSM3637565
SRR8649956,45086750,2209250750,49,755,SRX5447681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424575,SAMN11041734,simple,9606,Homo sapiens,GSM3637566,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Ribo HCV rep 3,heptoma cells,Huh-7.5,6 days post HCV transfection,Ribo protected RNA,GSM3637566
SRR8649957,49489593,2424990057,49,780,SRX5447682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424576,SAMN11041733,simple,9606,Homo sapiens,GSM3637567,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Total HCV rep1,heptoma cells,Huh-7.5,6 days post HCV transfection,Total RNA,GSM3637567
SRR8649958,96850630,4745680870,49,1596,SRX5447683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424577,SAMN11041732,simple,9606,Homo sapiens,GSM3637568,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Total HCV rep2,heptoma cells,Huh-7.5,6 days post HCV transfection,Total RNA,GSM3637568
SRR8649959,42560080,2085443920,49,674,SRX5447684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424578,SAMN11041731,simple,9606,Homo sapiens,GSM3637569,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Total HCV rep3,heptoma cells,Huh-7.5,6 days post HCV transfection,Total RNA,GSM3637569
SRR8649960,44808546,2195618754,49,759,SRX5447685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424579,SAMN11041730,simple,9606,Homo sapiens,GSM3637570,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Ribo mock rep 1,heptoma cells,Huh-7.5,6 days post mock transfection,Ribo protected RNA,GSM3637570
SRR8649961,86205240,4224056760,49,1394,SRX5447686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424580,SAMN11041729,simple,9606,Homo sapiens,GSM3637571,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Ribo mock rep 2,heptoma cells,Huh-7.5,6 days post mock transfection,Ribo protected RNA,GSM3637571
SRR8649962,38556574,1889272126,49,647,SRX5447687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424581,SAMN11041728,simple,9606,Homo sapiens,GSM3637572,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Ribo mock rep 3,heptoma cells,Huh-7.5,6 days post mock transfection,Ribo protected RNA,GSM3637572
SRR8649963,59104423,2896116727,49,988,SRX5447688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424582,SAMN11041727,simple,9606,Homo sapiens,GSM3637573,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Total mock rep 1,heptoma cells,Huh-7.5,6 days post mock transfection,Total RNA,GSM3637573
SRR8649964,41826800,2049513200,49,700,SRX5447689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424583,SAMN11041726,simple,9606,Homo sapiens,GSM3637574,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Total mock rep 2,heptoma cells,Huh-7.5,6 days post mock transfection,Total RNA,GSM3637574
SRR8649965,70816302,3469998798,49,1242,SRX5447690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP187206,PRJNA525090,30875926,"",SRS4424584,SAMN11041725,simple,9606,Homo sapiens,GSM3637575,GEO,SRA854376,03,2019,Gerresheim,heptoma cells,Total mock rep 3,heptoma cells,Huh-7.5,6 days post mock transfection,Total RNA,GSM3637575
