Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,subcellular compartment,library strategy,GEO Accession
SRR8711044,37193658,3756559458,101,2341,SRX5505449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188139,PRJNA526538,31676752,"",SRS4473916,SAMN11101998,simple,10116,Rattus norvegicus,GSM3665477,GEO,SRA858852,10,2019,Wang,hippocampal slices,hippocampus RNA-seq rep1,hippocampal slices,hippocampus,N.A.,mRNA-seq,GSM3665477
SRR8711045,36007930,3636800930,101,2243,SRX5505450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188139,PRJNA526538,31676752,"",SRS4473917,SAMN11102015,simple,10116,Rattus norvegicus,GSM3665478,GEO,SRA858852,10,2019,Wang,hippocampal slices,hippocampus RNA-seq rep2,hippocampal slices,hippocampus,N.A.,mRNA-seq,GSM3665478
SRR8711046,20697659,2724754317,131,1629,SRX5505451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188139,PRJNA526538,31676752,"",SRS4473918,SAMN11102014,simple,10116,Rattus norvegicus,GSM3665479,GEO,SRA858852,10,2019,Wang,hippocampal slices,somata RNA-seq rep1,hippocampal slices,hippocampus,somata,mRNA-seq,GSM3665479
SRR8711047,18122320,2364785138,130,1353,SRX5505452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188139,PRJNA526538,31676752,"",SRS4473919,SAMN11102013,simple,10116,Rattus norvegicus,GSM3665480,GEO,SRA858852,10,2019,Wang,hippocampal slices,somata RNA-seq rep2,hippocampal slices,hippocampus,somata,mRNA-seq,GSM3665480
SRR8711048,22454460,2882877306,128,1682,SRX5505453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188139,PRJNA526538,31676752,"",SRS4473920,SAMN11102012,simple,10116,Rattus norvegicus,GSM3665481,GEO,SRA858852,10,2019,Wang,hippocampal slices,neuropil RNA-seq rep1,hippocampal slices,hippocampus,neuropil,mRNA-seq,GSM3665481
SRR8711049,17212897,2265036231,131,1332,SRX5505454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188139,PRJNA526538,31676752,"",SRS4473921,SAMN11102011,simple,10116,Rattus norvegicus,GSM3665482,GEO,SRA858852,10,2019,Wang,hippocampal slices,neuropil RNA-seq rep2,hippocampal slices,hippocampus,neuropil,mRNA-seq,GSM3665482
SRR8711050,80076471,24183094242,151,8132,SRX5505455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188139,PRJNA526538,31676752,"",SRS4473922,SAMN11102010,simple,10116,Rattus norvegicus,GSM3665483,GEO,SRA858852,10,2019,Wang,brain,free rep1,brain,brain,N.A.,polysome profiling,GSM3665483
SRR8711051,68670128,20738378656,151,7013,SRX5505456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188139,PRJNA526538,31676752,"",SRS4473923,SAMN11102009,simple,10116,Rattus norvegicus,GSM3665484,GEO,SRA858852,10,2019,Wang,brain,free rep2,brain,brain,N.A.,polysome profiling,GSM3665484
SRR8711052,78351555,23662169610,151,8072,SRX5505457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188139,PRJNA526538,31676752,"",SRS4473924,SAMN11102008,simple,10116,Rattus norvegicus,GSM3665485,GEO,SRA858852,10,2019,Wang,brain,monosome rep1,brain,brain,N.A.,polysome profiling,GSM3665485
SRR8711053,63693059,19235303818,151,6567,SRX5505458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188139,PRJNA526538,31676752,"",SRS4473925,SAMN11102007,simple,10116,Rattus norvegicus,GSM3665486,GEO,SRA858852,10,2019,Wang,brain,monosome rep2,brain,brain,N.A.,polysome profiling,GSM3665486
