Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,cell line source,cell type,mutation,GEO Accession
SRR8732200,18661991,933099550,50,572,SRX5525062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491743,SAMN11130407,simple,9606,Homo sapiens,GSM3671680,GEO,SRA860677,08,2019,Kwart,wiltype iPSC-derived neurons,ribosome profiling wt_1,wiltype iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,none,GSM3671680
SRR8732201,17636110,881805500,50,537,SRX5525063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491744,SAMN11130406,simple,9606,Homo sapiens,GSM3671681,GEO,SRA860677,08,2019,Kwart,wiltype iPSC-derived neurons,ribosome profiling wt_2,wiltype iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,none,GSM3671681
SRR8732202,23560878,1178043900,50,719,SRX5525064,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491745,SAMN11130405,simple,9606,Homo sapiens,GSM3671682,GEO,SRA860677,08,2019,Kwart,wiltype iPSC-derived neurons,ribosome profiling wt_3,wiltype iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,none,GSM3671682
SRR8732203,22107235,1105361750,50,672,SRX5525065,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491746,SAMN11130404,simple,9606,Homo sapiens,GSM3671683,GEO,SRA860677,08,2019,Kwart,APP mutant iPSC-derived neurons,ribosome profiling APP_1,APP mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,APP Swe/Swe,GSM3671683
SRR8732204,18895655,944782750,50,579,SRX5525066,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491747,SAMN11130403,simple,9606,Homo sapiens,GSM3671684,GEO,SRA860677,08,2019,Kwart,APP mutant iPSC-derived neurons,ribosome profiling APP_2,APP mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,APP Swe/Swe,GSM3671684
SRR8732205,20817886,1040894300,50,633,SRX5525067,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491748,SAMN11130402,simple,9606,Homo sapiens,GSM3671685,GEO,SRA860677,08,2019,Kwart,APP mutant iPSC-derived neurons,ribosome profiling APP_3,APP mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,APP Swe/Swe,GSM3671685
SRR8732206,20629961,1031498050,50,627,SRX5525068,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491749,SAMN11130401,simple,9606,Homo sapiens,GSM3671686,GEO,SRA860677,08,2019,Kwart,PSEN1 mutant iPSC-derived neurons,ribosome profiling PSEN_1,PSEN1 mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,PSEN1 M146V/M146V,GSM3671686
SRR8732207,20358650,1017932500,50,620,SRX5525069,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491750,SAMN11130400,simple,9606,Homo sapiens,GSM3671687,GEO,SRA860677,08,2019,Kwart,PSEN1 mutant iPSC-derived neurons,ribosome profiling PSEN_2,PSEN1 mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,PSEN1 M146V/M146V,GSM3671687
SRR8732208,20652398,1032619900,50,625,SRX5525070,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491751,SAMN11130427,simple,9606,Homo sapiens,GSM3671688,GEO,SRA860677,08,2019,Kwart,PSEN1 mutant iPSC-derived neurons,ribosome profiling PSEN_3,PSEN1 mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,PSEN1 M146V/M146V,GSM3671688
SRR8732209,21629538,1081476900,50,654,SRX5525071,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491752,SAMN11130426,simple,9606,Homo sapiens,GSM3671689,GEO,SRA860677,08,2019,Kwart,APP/PSEN1 double mutant iPSC-derived neurons,ribosome profiling APP/PSEN1_1,APP/PSEN1 double mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,APP Swe/Swe; PSEN1 M146V/M146V,GSM3671689
SRR8732210,22115725,1105786250,50,670,SRX5525072,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP188505,PRJNA527204,31416668,"",SRS4491753,SAMN11130425,simple,9606,Homo sapiens,GSM3671690,GEO,SRA860677,08,2019,Kwart,APP/PSEN1 double mutant iPSC-derived neurons,ribosome profiling APP/PSEN1_2,APP/PSEN1 double mutant iPSC-derived neurons,7889SA parental cell line,80 day old cortical neurons,co-isogenic iPS cells,APP Swe/Swe; PSEN1 M146V/M146V,GSM3671690
