Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,fraction,agent,spike-in,GEO Accession
SRR8752378,42051170,3574349450,85,1260,SRX5543304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508974,SAMN11166399,simple,9606,Homo sapiens,GSM3679617,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,Input_DMSO_1,RPEI/yeast cells,cytoplasmic lysate (input),DMSO,Saccharomyces cerevisiae,GSM3679617
SRR8752379,27438167,2332244195,85,851,SRX5543305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508975,SAMN11166398,simple,9606,Homo sapiens,GSM3679618,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,Input_RO_1,RPEI/yeast cells,cytoplasmic lysate (input),RO-3306,Saccharomyces cerevisiae,GSM3679618
SRR8752380,41575482,3533915970,85,1245,SRX5543306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508976,SAMN11166397,simple,9606,Homo sapiens,GSM3679619,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,Input_DMSO_2,RPEI/yeast cells,cytoplasmic lysate (input),DMSO,Saccharomyces cerevisiae,GSM3679619
SRR8752381,62264200,5292457000,85,1884,SRX5543307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508977,SAMN11166396,simple,9606,Homo sapiens,GSM3679620,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,Input_RO_2,RPEI/yeast cells,cytoplasmic lysate (input),RO-3305,Saccharomyces cerevisiae,GSM3679620
SRR8752382,41240192,3505416320,85,1251,SRX5543308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508978,SAMN11166395,simple,9606,Homo sapiens,GSM3679621,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,Input_DMSO_3,RPEI/yeast cells,cytoplasmic lysate (input),DMSO,Saccharomyces cerevisiae,GSM3679621
SRR8752383,36871364,3134065940,85,1172,SRX5543309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508979,SAMN11166407,simple,9606,Homo sapiens,GSM3679622,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,Input_RO_3,RPEI/yeast cells,cytoplasmic lysate (input),RO-3304,Saccharomyces cerevisiae,GSM3679622
SRR8752384,47113899,4004681415,85,1408,SRX5543310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508980,SAMN11166406,simple,9606,Homo sapiens,GSM3679623,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,FP_DMSO_1,RPEI/yeast cells,Ribosome protected fragments,DMSO,Saccharomyces cerevisiae,GSM3679623
SRR8752385,46628151,3963392835,85,1414,SRX5543311,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508981,SAMN11166405,simple,9606,Homo sapiens,GSM3679624,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,FP_RO_1,RPEI/yeast cells,Ribosome protected fragments,RO-3303,Saccharomyces cerevisiae,GSM3679624
SRR8752386,40740936,3462979560,85,1237,SRX5543312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508982,SAMN11166404,simple,9606,Homo sapiens,GSM3679625,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,FP_DMSO_2,RPEI/yeast cells,Ribosome protected fragments,DMSO,Saccharomyces cerevisiae,GSM3679625
SRR8752387,42318747,3597093495,85,1234,SRX5543313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP188848,PRJNA528026,32040547,"",SRS4508983,SAMN11166403,simple,9606,Homo sapiens,GSM3679626,GEO,SRA862154,02,2020,Haneke,RPEI/yeast cells,FP_RO_2,RPEI/yeast cells,Ribosome protected fragments,RO-3302,Saccharomyces cerevisiae,GSM3679626
