Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,rna source,genotype,genotype/variation,molecule subtype,GEO Accession
SRR8830769,43646626,2924323942,67,1494,SRX5619073,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571377,SAMN11309253,simple,4932,Saccharomyces cerevisiae,GSM3700965,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,cue2dom34ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),cue2 dom34 ski2,,,GSM3700965
SRR8830770,23050429,1152521450,50,602,SRX5619074,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571375,SAMN11309252,simple,4932,Saccharomyces cerevisiae,GSM3700966,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,cue2slh1dom34ski2_rep3,Whole Cells,Ribosome Protected mRNA (15-34 nt),cue2 slh1 dom34 ski2,,,GSM3700966
SRR8830771,47460391,4746039100,100,2499,SRX5619075,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571376,SAMN11309251,simple,4932,Saccharomyces cerevisiae,GSM3700967,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,cue2slh1dom34ski2_rep2_disome,Whole Cells,Ribosome Protected mRNA (40-80 nt),cue2 slh1 dom34 ski2e,,,GSM3700967
SRR8830773,54791162,5479116200,100,2871,SRX5619077,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571380,SAMN11309249,simple,4932,Saccharomyces cerevisiae,GSM3700969,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,dom34ski2_rep1_disome,Whole Cells,Ribosome Protected mRNA (40-80 nt),dom34 ski2,,,GSM3700969
SRR8830774,36333500,2434344500,67,1246,SRX5619078,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571381,SAMN11309247,simple,4932,Saccharomyces cerevisiae,GSM3700970,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,dom34ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),dom34 ski2,,,GSM3700970
SRR8830775,39351362,2636541254,67,1349,SRX5619079,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571379,SAMN11309246,simple,4932,Saccharomyces cerevisiae,GSM3700971,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,hel2dom34ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),hel2 dom34 ski2,,,GSM3700971
SRR8830776,10308532,515426600,50,250,SRX5619080,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571378,SAMN11309245,simple,4932,Saccharomyces cerevisiae,GSM3700972,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,hel2slh1dom34ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),hel2 slh1 dom34 ski2,,,GSM3700972
SRR8830777,39694845,2580164925,65,1300,SRX5619081,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571383,SAMN11309244,simple,4932,Saccharomyces cerevisiae,GSM3700973,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),ski2,,,GSM3700973
SRR8830778,33463930,3346393000,100,1774,SRX5619082,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571384,SAMN11309243,simple,4932,Saccharomyces cerevisiae,GSM3700974,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,slh1dom34ski2_rep1_disome,Whole Cells,Ribosome Protected mRNA (40-80 nt),slh1 dom34 ski2,,,GSM3700974
SRR8830779,41123069,2755245623,67,1406,SRX5619083,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571385,SAMN11309242,simple,4932,Saccharomyces cerevisiae,GSM3700975,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,slh1dom34ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),slh1 dom34 ski2,,,GSM3700975
