Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,biomaterial_provider,BioSampleModel
SRR8858668,29995962,1529794062,51,536,SRX5646172,RD_0140,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858667,17396026,887197326,51,298,SRX5646173,RD_0142,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858666,23445209,1195705659,51,785,SRX5646174,RD_0053,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858665,31499204,1606459404,51,1050,SRX5646175,RD_0054,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858664,26604902,1356850002,51,886,SRX5646176,RD_0055,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858663,28659861,1461652911,51,952,SRX5646177,RD_0056,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858662,19071377,972640227,51,636,SRX5646178,RD_0057,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858661,50979588,2599958988,51,1690,SRX5646179,RD_0058,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858660,52363302,2670528402,51,934,SRX5646180,RD_0138,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
SRR8858659,29422306,1500537606,51,526,SRX5646181,RD_0139,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP191044,PRJNA531030,1,"",SRS4591799,SAMN11348969,simple,10090,Mus musculus,NMuMG cell line,Weill Cornell Medical College,SRA869941,04,2019,Makar,"",Cell line from Mus musculus,NMuMG,48 h.,female,breast epithelial,ATCC,Model organism or animal
