Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,GEO Accession
SRR8887290,19275890,983070390,51,559,SRX5673017,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615660,SAMN11402502,simple,9606,Homo sapiens,GSM3720395,GEO,SRA873089,04,2020,Ma,H3K4me3_A2780_vehicle,H3K4me3_A2780_vehicle,H3K4me3_A2780_vehicle,A2780,GSM3720395
SRR8887291,21641372,1103709972,51,623,SRX5673018,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615661,SAMN11402501,simple,9606,Homo sapiens,GSM3720396,GEO,SRA873089,04,2020,Ma,H3K4me3_A2780_cisplatin,H3K4me3_A2780_cisplatin,H3K4me3_A2780_cisplatin,A2780,GSM3720396
SRR8887292,3241255,162062750,50,101,SRX5673019,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615662,SAMN11402500,simple,9606,Homo sapiens,GSM3720397,GEO,SRA873089,04,2020,Ma,H3K4me3_A2780cis_vehicle,H3K4me3_A2780cis_vehicle,H3K4me3_A2780cis_vehicle,A2780cis,GSM3720397
SRR8887293,39192600,1959630000,50,1217,SRX5673020,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615663,SAMN11402499,simple,9606,Homo sapiens,GSM3720398,GEO,SRA873089,04,2020,Ma,H3K4me3_A2780cis_cisplatin,H3K4me3_A2780cis_cisplatin,H3K4me3_A2780cis_cisplatin,A2780cis,GSM3720398
SRR8887294,17718819,903659769,51,517,SRX5673021,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615664,SAMN11402498,simple,9606,Homo sapiens,GSM3720399,GEO,SRA873089,04,2020,Ma,H3K4me2_A2780_vehicle,H3K4me2_A2780_vehicle,H3K4me2_A2780_vehicle,A2780,GSM3720399
SRR8887295,16097230,820958730,51,461,SRX5673022,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615665,SAMN11402497,simple,9606,Homo sapiens,GSM3720400,GEO,SRA873089,04,2020,Ma,H3K4me2_A2780_cisplatin,H3K4me2_A2780_cisplatin,H3K4me2_A2780_cisplatin,A2780,GSM3720400
SRR8887296,15931789,796589450,50,493,SRX5673023,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615666,SAMN11402496,simple,9606,Homo sapiens,GSM3720401,GEO,SRA873089,04,2020,Ma,H3K4me2_A2780cis_vehicle,H3K4me2_A2780cis_vehicle,H3K4me2_A2780cis_vehicle,A2780cis,GSM3720401
SRR8887297,15822541,791127050,50,491,SRX5673024,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615667,SAMN11402495,simple,9606,Homo sapiens,GSM3720402,GEO,SRA873089,04,2020,Ma,H3K4me2_A2780cis_cisplatin,H3K4me2_A2780cis_cisplatin,H3K4me2_A2780cis_cisplatin,A2780cis,GSM3720402
SRR8887298,15586672,794920272,51,443,SRX5673025,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615668,SAMN11402494,simple,9606,Homo sapiens,GSM3720403,GEO,SRA873089,04,2020,Ma,H3K27ac_A2780_vehicle,H3K27ac_A2780_vehicle,H3K27ac_A2780_vehicle,A2780,GSM3720403
SRR8887299,19872954,1013520654,51,560,SRX5673026,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615669,SAMN11402493,simple,9606,Homo sapiens,GSM3720404,GEO,SRA873089,04,2020,Ma,H3K27ac_A2780_cisplatin,H3K27ac_A2780_cisplatin,H3K27ac_A2780_cisplatin,A2780,GSM3720404
SRR8887300,15615602,780780100,50,483,SRX5673027,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615670,SAMN11402492,simple,9606,Homo sapiens,GSM3720405,GEO,SRA873089,04,2020,Ma,H3K27ac_A2780cis_vehicle,H3K27ac_A2780cis_vehicle,H3K27ac_A2780cis_vehicle,A2780cis,GSM3720405
SRR8887301,36215676,1810783800,50,1115,SRX5673028,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615671,SAMN11402490,simple,9606,Homo sapiens,GSM3720406,GEO,SRA873089,04,2020,Ma,H3K27ac_A2780cis_cisplatin,H3K27ac_A2780cis_cisplatin,H3K27ac_A2780cis_cisplatin,A2780cis,GSM3720406
SRR8887302,36657169,1832858450,50,1259,SRX5673029,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615672,SAMN11402489,simple,9606,Homo sapiens,GSM3720407,GEO,SRA873089,04,2020,Ma,p53_A2780_vehicle,p53_A2780_vehicle,p53_A2780_vehicle,A2780,GSM3720407
SRR8887303,34719397,1735969850,50,1204,SRX5673030,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615674,SAMN11402488,simple,9606,Homo sapiens,GSM3720408,GEO,SRA873089,04,2020,Ma,p53_A2780_cisplatin,p53_A2780_cisplatin,p53_A2780_cisplatin,A2780,GSM3720408
SRR8887304,4304320,215216000,50,106,SRX5673031,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615673,SAMN11402487,simple,9606,Homo sapiens,GSM3720409,GEO,SRA873089,04,2020,Ma,ISL1_A2780_vehicle,ISL1_A2780_vehicle,ISL1_A2780_vehicle,A2780,GSM3720409
SRR8887305,4390338,219516900,50,89,SRX5673032,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192313,PRJNA532531,32320655,"",SRS4615675,SAMN11402486,simple,9606,Homo sapiens,GSM3720410,GEO,SRA873089,04,2020,Ma,ISL1_A2780_cisplatin,ISL1_A2780_cisplatin,ISL1_A2780_cisplatin,A2780,GSM3720410
