Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype/variation,GEO Accession
SRR11626653,37386992,1869349600,50,757,SRX8190757,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549546,SAMN14755292,simple,9606,Homo sapiens,GSM4504137,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 78 Tumor sample, total RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504137
SRR11626654,46318997,2315949850,50,933,SRX8190758,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549547,SAMN14755291,simple,9606,Homo sapiens,GSM4504138,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 78 Tumor sample, total RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504138
SRR11626655,71872112,3593605600,50,1458,SRX8190759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549549,SAMN14755290,simple,9606,Homo sapiens,GSM4504139,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 78 Tumor sample, Ribosome bound RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504139
SRR11626656,66419146,3320957300,50,1336,SRX8190760,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549550,SAMN14755289,simple,9606,Homo sapiens,GSM4504140,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 78 Tumor sample, Ribosome bound RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504140
SRR11626657,57375780,2868789000,50,1101,SRX8190761,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549552,SAMN14755288,simple,9606,Homo sapiens,GSM4504141,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 81 Tumor sample, total RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504141
SRR11626658,54019825,2700991250,50,1031,SRX8190762,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549551,SAMN14755287,simple,9606,Homo sapiens,GSM4504142,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 81 Tumor sample, total RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504142
SRR11626659,60962537,3048126850,50,1162,SRX8190763,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549553,SAMN14755286,simple,9606,Homo sapiens,GSM4504143,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 81 Tumor sample, Ribosome bound RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504143
SRR11626660,62020417,3101020850,50,1189,SRX8190764,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549554,SAMN14755285,simple,9606,Homo sapiens,GSM4504144,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 81 Tumor sample, Ribosome bound RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504144
SRR11626661,45002935,2250146750,50,829,SRX8190765,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549555,SAMN14755284,simple,9606,Homo sapiens,GSM4504145,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 92 Tumor sample, total RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504145
SRR11626662,41433147,2071657350,50,760,SRX8190766,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549556,SAMN14755282,simple,9606,Homo sapiens,GSM4504146,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 92 Tumor sample, total RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504146
