Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,genotype,GEO Accession
SRR9029627,20511293,1046075943,51,342,SRX5807030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736493,SAMN11604832,simple,10090,Mus musculus,GSM3755888,GEO,SRA884331,08,2019,Welte,mESC_WT_batch1_rep1,mESC_WT_batch1_rep1,mESC_WT_batch1_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755888
SRR9029628,20624150,1051831650,51,346,SRX5807030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736493,SAMN11604832,simple,10090,Mus musculus,GSM3755888,GEO,SRA884331,08,2019,Welte,mESC_WT_batch1_rep1,mESC_WT_batch1_rep1,mESC_Trim71KO_batch1_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755889
SRR9029629,21388001,1090788051,51,360,SRX5807031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736494,SAMN11604830,simple,10090,Mus musculus,GSM3755889,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch1_rep1,mESC_Trim71KO_batch1_rep1,mESC_WT_batch1_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755890
SRR9029630,21499010,1096449510,51,363,SRX5807031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736494,SAMN11604830,simple,10090,Mus musculus,GSM3755889,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch1_rep1,mESC_Trim71KO_batch1_rep1,mESC_Trim71KO_batch1_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755891
SRR9029631,22020658,1123053558,51,369,SRX5807032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736495,SAMN11604765,simple,10090,Mus musculus,GSM3755890,GEO,SRA884331,08,2019,Welte,mESC_WT_batch1_rep2,mESC_WT_batch1_rep2,mESC_WT_batch2_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755892
SRR9029632,22132009,1128732459,51,373,SRX5807032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736495,SAMN11604765,simple,10090,Mus musculus,GSM3755890,GEO,SRA884331,08,2019,Welte,mESC_WT_batch1_rep2,mESC_WT_batch1_rep2,mESC_Trim71KO_batch2_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755893
SRR9029633,23188643,1182620793,51,389,SRX5807033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736496,SAMN11604850,simple,10090,Mus musculus,GSM3755891,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch1_rep2,mESC_Trim71KO_batch1_rep2,mESC_WT_batch2_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755894
SRR9029634,23310345,1188827595,51,393,SRX5807033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736496,SAMN11604850,simple,10090,Mus musculus,GSM3755891,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch1_rep2,mESC_Trim71KO_batch1_rep2,mESC_Trim71KO_batch2_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755895
SRR9029635,25505727,1300792077,51,428,SRX5807034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736497,SAMN11604849,simple,10090,Mus musculus,GSM3755892,GEO,SRA884331,08,2019,Welte,mESC_WT_batch2_rep1,mESC_WT_batch2_rep1,mESC_WT_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755896
SRR9029636,25664996,1308914796,51,432,SRX5807034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736497,SAMN11604849,simple,10090,Mus musculus,GSM3755892,GEO,SRA884331,08,2019,Welte,mESC_WT_batch2_rep1,mESC_WT_batch2_rep1,mESC_WT_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755897
