Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,treatment,BioSampleModel
SRR12701888,33551188,1711110588,51,1078,SRX9181372,rna325_swim2d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776400,SAMN11665539,simple,10090,Mus musculus,swim 2d,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",swim 2d,C57BL/6,9w,male,left ventricle,swim 2d,Model organism or animal
SRR12701887,36966778,1885305678,51,1190,SRX9181373,rna326_swim2d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776400,SAMN11665539,simple,10090,Mus musculus,swim 2d,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",swim 2d,C57BL/6,9w,male,left ventricle,swim 2d,Model organism or animal
SRR12701886,24374291,1243088841,51,784,SRX9181374,rna388_swim2d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776400,SAMN11665539,simple,10090,Mus musculus,swim 2d,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",swim 2d,C57BL/6,9w,male,left ventricle,swim 2d,Model organism or animal
SRR12701885,48865722,3909257760,80,1551,SRX9181375,rna445_swim2w,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776410,SAMN11665540,simple,10090,Mus musculus,swim 2w,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",swim 2w,C57BL/6,9w,male,left ventricle,swim 2w,Model organism or animal
SRR12701884,68875763,5510061040,80,2163,SRX9181376,rna449_swim2w,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776410,SAMN11665540,simple,10090,Mus musculus,swim 2w,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",swim 2w,C57BL/6,9w,male,left ventricle,swim 2w,Model organism or animal
SRR12701883,21996936,1759754880,80,691,SRX9181377,rna457_swim2w,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776410,SAMN11665540,simple,10090,Mus musculus,swim 2w,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",swim 2w,C57BL/6,9w,male,left ventricle,swim 2w,Model organism or animal
SRR12701882,14074643,703732150,50,484,SRX9181378,rna418_tac2d,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS4776407,SAMN11665532,simple,10090,Mus musculus,TAC surgery 2d,University Hospital Heidelberg,SRA1130868,05,2021,Makar,"",transverse aortic constriction surgery 2d,C57BL/6,9w,male,left ventricle,TAC surgery 2d,Model organism or animal
SRR12710802,66540068,5323205440,80,2022,SRX9189693,rna646_tac2w,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS7425719,SAMN16262017,simple,10090,Mus musculus,TAC surgery 2w,University Hospital Heidelberg,SRA1131462,05,2021,Makar,"",transverse aortic constriction surgery 2w,C57BL/6,9w,male,left ventricle,TAC surgery 2w,Model organism or animal
SRR12710801,51986507,4158920560,80,1566,SRX9189694,rna690_tac2w,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS7425719,SAMN16262017,simple,10090,Mus musculus,TAC surgery 2w,University Hospital Heidelberg,SRA1131462,05,2021,Makar,"",transverse aortic constriction surgery 2w,C57BL/6,9w,male,left ventricle,TAC surgery 2w,Model organism or animal
SRR12710800,15017780,1276511300,85,401,SRX9189695,ribo646_tac2w,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP198714,PRJNA543399,1,"",SRS7425719,SAMN16262017,simple,10090,Mus musculus,TAC surgery 2w,University Hospital Heidelberg,SRA1131462,05,2021,Makar,"",transverse aortic constriction surgery 2w,C57BL/6,9w,male,left ventricle,TAC surgery 2w,Model organism or animal
