Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,drug treatment,GEO Accession
SRR9113062,131541396,3743828156,28,4622,SRX5887326,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809549,SAMN11835522,simple,9606,Homo sapiens,GSM3791723,GEO,SRA889795,03,2020,Chen,cell lysate,"iPSC ribosome profiling, harringtonine-treated",cell lysate,iPSC,WTC-11,harringtonine,GSM3791723
SRR9113063,105449435,2785265458,26,3635,SRX5887327,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809550,SAMN11835521,simple,9606,Homo sapiens,GSM3791724,GEO,SRA889795,03,2020,Chen,cell lysate,"Cardiomyocyte ribosome profiling, harringtonine-treated",cell lysate,iPSC-derived cardiomyocytes,WTC-11,harringtonine,GSM3791724
SRR9113064,52479474,1453634111,27,1845,SRX5887328,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809551,SAMN11835520,simple,9606,Homo sapiens,GSM3791725,GEO,SRA889795,03,2020,Chen,cell lysate,"iPSC ribosome profiling, no drug treatment, replicate 1",cell lysate,iPSC,WTC-11,no drug,GSM3791725
SRR9113065,51856183,1508584022,29,1848,SRX5887329,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809552,SAMN11835519,simple,9606,Homo sapiens,GSM3791726,GEO,SRA889795,03,2020,Chen,cell lysate,"iPSC ribosome profiling, no drug treatment, replicate 2",cell lysate,iPSC,WTC-11,no drug,GSM3791726
SRR9113066,44471589,1280127923,28,1580,SRX5887330,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809553,SAMN11835518,simple,9606,Homo sapiens,GSM3791727,GEO,SRA889795,03,2020,Chen,cell lysate,"iPSC ribosome profiling, no drug treatment, replicate 3",cell lysate,iPSC,WTC-11,no drug,GSM3791727
SRR9113067,15031439,395105326,26,519,SRX5887331,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809554,SAMN11835517,simple,9606,Homo sapiens,GSM3791728,GEO,SRA889795,03,2020,Chen,cell lysate,"Cardiomyocyte ribosome profiling, no drug treatment, replicate 1",cell lysate,iPSC-derived cardiomyocytes,WTC-11,no drug,GSM3791728
SRR9113068,24288824,668239583,27,859,SRX5887332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809555,SAMN11835516,simple,9606,Homo sapiens,GSM3791729,GEO,SRA889795,03,2020,Chen,cell lysate,"Cardiomyocyte ribosome profiling, no drug treatment, replicate 2",cell lysate,iPSC-derived cardiomyocytes,WTC-11,no drug,GSM3791729
SRR9113069,22387751,602037992,26,789,SRX5887333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809556,SAMN11835515,simple,9606,Homo sapiens,GSM3791730,GEO,SRA889795,03,2020,Chen,cell lysate,"Cardiomyocyte ribosome profiling, no drug treatment, replicate 3",cell lysate,iPSC-derived cardiomyocytes,WTC-11,no drug,GSM3791730
SRR9113070,44262661,1254834346,28,1570,SRX5887334,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809557,SAMN11835514,simple,9606,Homo sapiens,GSM3791731,GEO,SRA889795,03,2020,Chen,cell lysate,"iPSC RNA-seq, no drug treatment, replicate 1",cell lysate,iPSC,WTC-11,no drug,GSM3791731
SRR9113071,29731221,870534909,29,1073,SRX5887335,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP199285,PRJNA544411,32139545,"",SRS4809558,SAMN11835513,simple,9606,Homo sapiens,GSM3791732,GEO,SRA889795,03,2020,Chen,cell lysate,"iPSC RNA-seq, no drug treatment, replicate 2",cell lysate,iPSC,WTC-11,no drug,GSM3791732
