Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell type,GEO Accession
SRR9132358,24120855,964834200,40,423,SRX5906179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825475,SAMN11872202,simple,9606,Homo sapiens,GSM3820024,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult1-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820024
SRR9132359,24048949,961957960,40,430,SRX5906179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825475,SAMN11872202,simple,9606,Homo sapiens,GSM3820024,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult1-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820025
SRR9132360,19887018,795480720,40,347,SRX5906180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825476,SAMN11872068,simple,9606,Homo sapiens,GSM3820025,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult2-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820026
SRR9132361,19852589,794103560,40,354,SRX5906180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825476,SAMN11872068,simple,9606,Homo sapiens,GSM3820025,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult2-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820027
SRR9132362,23233587,929343480,40,406,SRX5906181,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825478,SAMN11872067,simple,9606,Homo sapiens,GSM3820026,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult3-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820028
SRR9132363,23516479,940659160,40,420,SRX5906181,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825478,SAMN11872067,simple,9606,Homo sapiens,GSM3820026,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult3-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820029
SRR9132364,20389134,815565360,40,356,SRX5906182,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825477,SAMN11872066,simple,9606,Homo sapiens,GSM3820027,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult4-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820030
SRR9132365,20561915,822476600,40,367,SRX5906182,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825477,SAMN11872066,simple,9606,Homo sapiens,GSM3820027,GEO,SRA890744,11,2019,Basak,adult erythroid cells,Adult4-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820031
SRR9132366,23632216,945288640,40,414,SRX5906183,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825479,SAMN11872065,simple,9606,Homo sapiens,GSM3820028,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood1-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820032
SRR9132367,23874350,954974000,40,427,SRX5906183,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825479,SAMN11872065,simple,9606,Homo sapiens,GSM3820028,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood1-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820033
SRR9132368,23323418,932936720,40,408,SRX5906184,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825480,SAMN11872064,simple,9606,Homo sapiens,GSM3820029,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood2-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820034
SRR9132369,23563303,942532120,40,421,SRX5906184,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825480,SAMN11872064,simple,9606,Homo sapiens,GSM3820029,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood2-ribosomeprofiling,adult erythroid cells,hematopoetic cells,adult erythroid cells,GSM3820035
SRR9132370,21519343,860773720,40,377,SRX5906185,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825481,SAMN11872063,simple,9606,Homo sapiens,GSM3820030,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood3-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820036
SRR9132371,21604846,864193840,40,386,SRX5906185,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825481,SAMN11872063,simple,9606,Homo sapiens,GSM3820030,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood3-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820037
SRR9132372,23410660,936426400,40,407,SRX5906186,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825482,SAMN11872108,simple,9606,Homo sapiens,GSM3820031,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood4-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820038
SRR9132373,23644362,945774480,40,420,SRX5906186,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP199612,PRJNA545050,31959994,"",SRS4825482,SAMN11872108,simple,9606,Homo sapiens,GSM3820031,GEO,SRA890744,11,2019,Basak,newborn erythroid cells,CordBlood4-ribosomeprofiling,newborn erythroid cells,hematopoetic cells,newborn erythroid cells,GSM3820039
