Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,collection_date,geo_loc_name,sample_type,env_broad_scale,lat_lon,env_local_scale,env_medium,isol_growth_condt,BioSampleModel
SRR9265440,32328045,953362959,29,451,SRX6035757,RP_42_30_r1,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265439,60957004,2491217023,40,1095,SRX6035758,rnaseq_37_10_r2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265438,56609448,1597658464,28,775,SRX6035759,RP_42_30_r2,RIP-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265437,50806359,2044278210,40,902,SRX6035760,rnaseq_42_30_r1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265436,23551659,946340009,40,368,SRX6035761,rnaseq_42_10_r2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265435,29896471,1230329110,41,473,SRX6035762,rnaseq_25_0_r2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265441,83057023,3455670066,41,1580,SRX6035763,rnaseq_25_0_r1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265434,88675694,3597312296,40,1543,SRX6035764,rnaseq_37_10_r1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265433,72319852,3007955188,41,1318,SRX6035765,rnaseq_37_30_r2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
SRR9265432,56916240,2395253084,42,1022,SRX6035766,rnaseq_37_30_r1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP201047,PRJNA548255,1,"",SRS4939070,SAMN12012146,simple,4932,Saccharomyces cerevisiae,yeast BY4147,Ludwig-Maximilians-University Munich,SRA896649,12,2019,Makar,"",Saccharomyces cerevisiae BY4147,BY4147,missing,missing,missing,cell culture,missing,missing,missing,missing,YPD liquid,"Microbe, viral or environmental"
