Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,sirna,viral strain,sample treatment,GEO Accession
SRR9332878,42666157,2133307850,50,1097,SRX6099387,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999915,SAMN12100525,simple,9606,Homo sapiens,GSM3900208,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,Ribo_NSC_1,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,Control,"Dengue 2, strain New Guinea C",Ribo seq,GSM3900208
SRR9332879,44200400,2210020000,50,1132,SRX6099388,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999918,SAMN12100527,simple,9606,Homo sapiens,GSM3900209,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,Ribo_NSC_2,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,Control,"Dengue 2, strain New Guinea C",Ribo seq,GSM3900209
SRR9332880,37805337,1890266850,50,989,SRX6099389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999917,SAMN12100526,simple,9606,Homo sapiens,GSM3900210,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,Ribo_NSC_3,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,Control,"Dengue 2, strain New Guinea C",Ribo seq,GSM3900210
SRR9332881,26870362,1343518100,50,689,SRX6099390,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999916,SAMN12100524,simple,9606,Homo sapiens,GSM3900211,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,Ribo_siP_1,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,siP1_1,"Dengue 2, strain New Guinea C",Ribo seq,GSM3900211
SRR9332882,35079021,1753951050,50,900,SRX6099391,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999919,SAMN12100523,simple,9606,Homo sapiens,GSM3900212,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,Ribo_siP_2,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,siP2_1,"Dengue 2, strain New Guinea C",Ribo seq,GSM3900212
SRR9332883,37797813,1889890650,50,974,SRX6099392,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999920,SAMN12100522,simple,9606,Homo sapiens,GSM3900213,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,Ribo_siP_3,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,siP2_4,"Dengue 2, strain New Guinea C",Ribo seq,GSM3900213
SRR9332884,36136402,1806820100,50,937,SRX6099393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999921,SAMN12100521,simple,9606,Homo sapiens,GSM3900214,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,RNA_NSC_1,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,Control,"Dengue 2, strain New Guinea C",RNA seq,GSM3900214
SRR9332885,38034701,1901735050,50,980,SRX6099394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999923,SAMN12100520,simple,9606,Homo sapiens,GSM3900215,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,RNA_NSC_2,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,Control,"Dengue 2, strain New Guinea C",RNA seq,GSM3900215
SRR9332886,31334363,1566718150,50,817,SRX6099395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999922,SAMN12100531,simple,9606,Homo sapiens,GSM3900216,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,RNA_NSC_3,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,Control,"Dengue 2, strain New Guinea C",RNA seq,GSM3900216
SRR9332887,22409727,1120486350,50,587,SRX6099396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP202033,PRJNA549955,1,"",SRS4999924,SAMN12100530,simple,9606,Homo sapiens,GSM3900217,GEO,SRA901599,06,2019,Makar,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,RNA_siP_1,RPLP1 and RPLP2 depleted A549 cells infected with DENV.,A549,siP1_1,"Dengue 2, strain New Guinea C",RNA seq,GSM3900217
