Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/genotype,submission date,variety,GEO Accession
SRR9336389,138051092,7040605692,51,4130,SRX6102295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002759,SAMN12106624,simple,5207,Cryptococcus neoformans,GSM3900522,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RPF_H99r1,exponential-phase yeast cells,H99 wild-type strain PC3,9-Apr-14,,GSM3900522
SRR9336390,16255101,829010151,51,613,SRX6102296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002761,SAMN12106623,simple,5207,Cryptococcus neoformans,GSM3900523,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RNA_H99r1,exponential-phase yeast cells,H99 wild-type strain PC3,9-Apr-14,,GSM3900523
SRR9336391,172330085,8788834335,51,5443,SRX6102297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002766,SAMN12106622,simple,5207,Cryptococcus neoformans,GSM3900524,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RPF_HdGWO1,exponential-phase yeast cells,H99 delta GWO1 strain PC47,9-Apr-14,,GSM3900524
SRR9336392,22541933,1149638583,51,848,SRX6102298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002763,SAMN12106643,simple,5207,Cryptococcus neoformans,GSM3900525,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RNA_HdGWO1,exponential-phase yeast cells,H99 delta GWO1 strain PC47,9-Apr-14,,GSM3900525
SRR9336393,160189934,8169686634,51,4936,SRX6102299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002760,SAMN12106642,simple,5207,Cryptococcus neoformans,GSM3900526,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RPF_H99r2,exponential-phase yeast cells,H99 wild-type strain PC3,18-Apr-14,,GSM3900526
SRR9336394,60141744,3067228944,51,2105,SRX6102300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002762,SAMN12106641,simple,5207,Cryptococcus neoformans,GSM3900527,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RNA_H99r2,exponential-phase yeast cells,H99 wild-type strain PC3,18-Apr-14,,GSM3900527
SRR9336395,169471324,8643037524,51,5256,SRX6102301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002764,SAMN12106640,simple,5207,Cryptococcus neoformans,GSM3900528,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RPF_HdAGO1,exponential-phase yeast cells,H99 delta AGO1 strain PC45,18-Apr-14,,GSM3900528
SRR9336396,56550803,2884090953,51,1986,SRX6102302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002765,SAMN12106639,simple,5207,Cryptococcus neoformans,GSM3900529,GEO,SRA902342,06,2019,Wallace,exponential-phase yeast cells,RNA_HdAGO1,exponential-phase yeast cells,H99 delta AGO1 strain PC45,18-Apr-14,,GSM3900529
SRR9620586,232616884,11863461084,51,7682,SRX6102303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002767,SAMN12106638,simple,40410,Cryptococcus neoformans var. neoformans,GSM3900530,GEO,SRA902342,07,2019,Wallace,exponential-phase yeast cells,RPF_JEC21,exponential-phase yeast cells,JEC21 wild-type strain CM1487,1-Oct-14,neoformans,GSM3900530
SRR9620587,22932253,1169544903,51,740,SRX6102304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002768,SAMN12106637,simple,40410,Cryptococcus neoformans var. neoformans,GSM3900531,GEO,SRA902342,07,2019,Wallace,exponential-phase yeast cells,RNA_JEC21,exponential-phase yeast cells,JEC21 wild-type strain CM1487,1-Oct-14,neoformans,GSM3900531
SRR9620588,181336297,9248151147,51,5529,SRX6102305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002769,SAMN12106636,simple,40410,Cryptococcus neoformans var. neoformans,GSM3900532,GEO,SRA902342,07,2019,Wallace,exponential-phase yeast cells,RPF_JdAGO1,exponential-phase yeast cells,JEC21 delta AGO1 strain CM1489,1-Oct-14,neoformans,GSM3900532
SRR9620589,99413757,5070101607,51,3164,SRX6102306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP202195,PRJNA550038,32020195,"",SRS5002770,SAMN12106634,simple,40410,Cryptococcus neoformans var. neoformans,GSM3900533,GEO,SRA902342,07,2019,Wallace,exponential-phase yeast cells,RNA_JdAGO1,exponential-phase yeast cells,JEC21 delta AGO1 strain CM1489,1-Oct-14,neoformans,GSM3900533
