Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,dev_stage,sex,tissue,biomaterial_provider,isolation_source,sample_type,BioSampleModel
SRR9596324,40982464,5205330137,127,1878,SRX6361995,Wfs1Cre_RiboTag_somata_IP_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023958,SAMN12135222,simple,10090,Mus musculus,Wfs1Cre_RiboTag_somata_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,IP,Model organism or animal
SRR9596323,38774894,4970884627,128,1784,SRX6361996,Wfs1Cre_RiboTag_somata_IP_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023958,SAMN12135222,simple,10090,Mus musculus,Wfs1Cre_RiboTag_somata_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,IP,Model organism or animal
SRR9596322,51695241,3928838316,76,1458,SRX6361997,Neuropil_RNA_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023959,SAMN12135219,simple,10116,Rattus norvegicus,Neuropil_RNA,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",total RNA-seq,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,TotalRNA,Model organism or animal
SRR9596321,52769715,4010498340,76,1499,SRX6361998,Neuropil_RNA_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023959,SAMN12135219,simple,10116,Rattus norvegicus,Neuropil_RNA,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",total RNA-seq,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,TotalRNA,Model organism or animal
SRR9596320,31342587,1629814524,52,489,SRX6361999,Hippocampus_Polysome_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023960,SAMN12135218,simple,10116,Rattus norvegicus,Hippocampus_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Polysome,Model organism or animal
SRR9596319,36128771,2745786596,76,966,SRX6362000,Neuropil_RNA_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023959,SAMN12135219,simple,10116,Rattus norvegicus,Neuropil_RNA,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",total RNA-seq,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,TotalRNA,Model organism or animal
SRR9596318,41731189,5485044288,131,1985,SRX6362001,Wfs1Cre_RiboTag_neuropil_Input_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023961,SAMN12135221,simple,10090,Mus musculus,Wfs1Cre_RiboTag_neuropil_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Input,Model organism or animal
SRR9596317,41325268,5004764138,121,1796,SRX6362002,Wfs1Cre_RiboTag_neuropil_Input_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023961,SAMN12135221,simple,10090,Mus musculus,Wfs1Cre_RiboTag_neuropil_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Input,Model organism or animal
SRR9596316,35845847,4468968234,124,1628,SRX6362003,Wfs1Cre_RiboTag_neuropil_IP_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023962,SAMN12135220,simple,10090,Mus musculus,Wfs1Cre_RiboTag_neuropil_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,IP,Model organism or animal
SRR9596315,53512771,7099812855,132,2577,SRX6362004,Wfs1Cre_RiboTag_neuropil_IP_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023962,SAMN12135220,simple,10090,Mus musculus,Wfs1Cre_RiboTag_neuropil_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,IP,Model organism or animal
SRR9596314,40959356,3112911056,76,992,SRX6362005,Camk2Cre_RiboTag_hippocampus_Input_04,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023963,SAMN12135225,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Input,Model organism or animal
SRR9596313,39752642,3021200792,76,948,SRX6362006,Camk2Cre_RiboTag_hippocampus_Input_05,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023963,SAMN12135225,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Input,Model organism or animal
SRR9596312,37772418,2870703768,76,924,SRX6362007,Camk2Cre_RiboTag_hippocampus_Input_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023963,SAMN12135225,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Input,Model organism or animal
SRR9596311,40723919,3095017844,76,992,SRX6362008,Camk2Cre_RiboTag_hippocampus_IP_05,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023964,SAMN12135224,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,IP,Model organism or animal
SRR9596310,42137776,2191164352,52,702,SRX6362009,Neuropil_Polysome_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023965,SAMN12135213,simple,10116,Rattus norvegicus,Neuropil_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Polysome,Model organism or animal
SRR9596309,56162410,2920445320,52,919,SRX6362010,Neuropil_Monosome_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023966,SAMN12135212,simple,10116,Rattus norvegicus,Neuropil_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Monosome,Model organism or animal
SRR9596307,56889866,2958273032,52,923,SRX6362011,Neuropil_Monosome_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023966,SAMN12135212,simple,10116,Rattus norvegicus,Neuropil_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Monosome,Model organism or animal
SRR9596306,63034738,3277806376,52,1051,SRX6362012,Neuropil_Monosome_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023966,SAMN12135212,simple,10116,Rattus norvegicus,Neuropil_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Monosome,Model organism or animal
SRR9596305,81098287,4217110924,52,1302,SRX6362013,Neuropil_Total_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023967,SAMN12135214,simple,10116,Rattus norvegicus,Neuropil_Total,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,TotalFootprint,Model organism or animal
SRR9596308,105224905,5471695060,52,1732,SRX6362014,Neuropil_Total_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023967,SAMN12135214,simple,10116,Rattus norvegicus,Neuropil_Total,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,TotalFootprint,Model organism or animal
SRR9596304,67408221,3505227492,52,1112,SRX6362015,Neuropil_Polysome_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023965,SAMN12135213,simple,10116,Rattus norvegicus,Neuropil_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Polysome,Model organism or animal
SRR9596303,60336502,3137498104,52,976,SRX6362016,Neuropil_Polysome_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023965,SAMN12135213,simple,10116,Rattus norvegicus,Neuropil_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,Polysome,Model organism or animal
