Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,strain,hours post infection
SRR9900703,11149689,957570437,85,377,SRX6652538,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214039,SAMN12495679,simple,9606,Homo sapiens,GSM4006924,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_CHX,HSB2 infected with HHV-6A 72hpi,HSB2,HHV-6A GS,72
SRR9900704,37098478,2263007158,61,761,SRX6652538,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214039,SAMN12495679,simple,9606,Homo sapiens,GSM4006924,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_CHX,HSB2 infected with HHV-6A 72hpi,HSB2,HHV-6A GS,72
SRR9900705,10152332,871383329,85,348,SRX6652539,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214040,SAMN12495678,simple,9606,Homo sapiens,GSM4006925,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_LTM,HSB2 infected with HHV-6A 72hpi,HSB2,HHV-6A GS,72
SRR9900706,32801769,2000907909,61,675,SRX6652539,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214040,SAMN12495678,simple,9606,Homo sapiens,GSM4006925,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_LTM,HSB2 infected with HHV-6A 72hpi,HSB2,HHV-6A GS,72
SRR9900707,12313760,1056602802,85,425,SRX6652540,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214041,SAMN12495677,simple,9606,Homo sapiens,GSM4006926,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_Harr,Molt-3 cells infected with HHV-6B 72hpi,Molt-3,HHV-6B Z29,72
SRR9900708,76417969,4661496109,61,1594,SRX6652540,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214041,SAMN12495677,simple,9606,Homo sapiens,GSM4006926,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_Harr,Molt-3 cells infected with HHV-6B 72hpi,Molt-3,HHV-6B Z29,72
SRR9900709,8395467,720804920,85,272,SRX6652541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214042,SAMN12495676,simple,9606,Homo sapiens,GSM4006927,GEO,SRA932834,08,2019,Finkel,HSB2 infected with HHV-6A 72hpi,HHV-6A_RNA,Molt-3 cells infected with HHV-6B 72hpi,Molt-3,HHV-6B Z29,72
SRR9900710,10495841,900677353,85,359,SRX6652542,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214043,SAMN12495675,simple,9606,Homo sapiens,GSM4006928,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_CHX,Molt-3 cells infected with HHV-6B 72hpi,Molt-3,HHV-6B Z29,72
SRR9900711,34291388,2091774668,61,710,SRX6652542,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214043,SAMN12495675,simple,9606,Homo sapiens,GSM4006928,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_CHX,Molt-3 cells infected with HHV-6B 05hpi,Molt-3,HHV-6B Z29,5
SRR9900712,7936719,682156973,85,271,SRX6652543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214044,SAMN12495674,simple,9606,Homo sapiens,GSM4006929,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_LTM,Molt-3 cells infected with HHV-6B 24hpi,Molt-3,HHV-6B Z29,24
SRR9900713,89097388,5434940668,61,1916,SRX6652543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214044,SAMN12495674,simple,9606,Homo sapiens,GSM4006929,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_LTM,Molt-3 cells infected with HHV-6B 72hpi,Molt-3,HHV-6B Z29,72
SRR9900714,7734636,664230749,85,266,SRX6652544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214045,SAMN12495673,simple,9606,Homo sapiens,GSM4006930,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_Harr,Molt-3 cells infected with HHV-6B 05hpi,Molt-3,HHV-6B Z29,5
SRR9900715,81336361,4961518021,61,1705,SRX6652544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214045,SAMN12495673,simple,9606,Homo sapiens,GSM4006930,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_Harr,Molt-3 cells infected with HHV-6B 24hpi,Molt-3,HHV-6B Z29,24
SRR9900716,11482413,986032965,85,368,SRX6652545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP217339,PRJNA558563,31944176,"",SRS5214046,SAMN12495672,simple,9606,Homo sapiens,GSM4006931,GEO,SRA932834,08,2019,Finkel,Molt-3 cells infected with HHV-6B 72hpi,HHV-6B_RNA,Molt-3 cells infected with HHV-6B 72hpi,Molt-3,HHV-6B Z29,72
