Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,rna purified from,growth conditions,strain,substrain,GEO Accession
SRR9988127,35570600,1778530000,50,881,SRX6727517,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279437,SAMN12588186,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037707,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_C_lysate1,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037707
SRR9988128,25567862,1278393100,50,631,SRX6727518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279438,SAMN12588209,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037708,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_O_lysate1,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037708
SRR9988129,52592426,2629621300,50,1302,SRX6727519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279439,SAMN12588208,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037709,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_S_lysate1,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037709
SRR9988130,48364502,2418225100,50,1201,SRX6727520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279440,SAMN12588207,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037710,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_lysate1,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037710
SRR9988131,15461109,773055450,50,406,SRX6727521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279441,SAMN12588206,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037711,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_C_lysate2,cell cultures,monosome fraction,37 C OD600 = 0.5,K-12,MG1655,GSM4037711
SRR9988132,13078177,653908850,50,347,SRX6727522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279442,SAMN12588205,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037712,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_O_lysate2,cell cultures,monosome fraction,37 C OD600 = 0.5,K-12,MG1655,GSM4037712
SRR9988133,16229848,811492400,50,428,SRX6727523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279443,SAMN12588204,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037713,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_S_lysate2,cell cultures,monosome fraction,37 C OD600 = 0.5,K-12,MG1655,GSM4037713
SRR9988134,13837528,691876400,50,372,SRX6727524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279444,SAMN12588203,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037714,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_lysate2,cell cultures,monosome fraction,37 C OD600 = 0.5,K-12,MG1655,GSM4037714
SRR9988135,17282593,864129650,50,447,SRX6727525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279445,SAMN12588202,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037715,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_C_lysate2,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037715
SRR9988136,17376822,868841100,50,466,SRX6727526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279446,SAMN12588201,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037716,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_O_lysate2,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037716
