Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,tissue,GEO Accession
SRR10065821,22907347,2313642047,101,753,SRX6799414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342418,SAMN12690311,simple,10090,Mus musculus,GSM4059059,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Total-RNA_replicate-1,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059059
SRR10065822,30252577,3055510277,101,1030,SRX6799415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342419,SAMN12690290,simple,10090,Mus musculus,GSM4059060,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Total-RNA_replicate-2,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059060
SRR10065823,22288958,2251184758,101,757,SRX6799416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342420,SAMN12690293,simple,10090,Mus musculus,GSM4059061,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Total-RNA_replicate-3,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059061
SRR10065824,26996755,2726672255,101,886,SRX6799417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342421,SAMN12690292,simple,10090,Mus musculus,GSM4059062,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Ribosome-free_replicate-1,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059062
SRR10065825,19274340,1946708340,101,655,SRX6799418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342422,SAMN12690291,simple,10090,Mus musculus,GSM4059063,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Ribosome-free_replicate-2,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059063
SRR10065826,20192738,2039466538,101,652,SRX6799419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342423,SAMN12690294,simple,10090,Mus musculus,GSM4059064,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Ribosome-free_replicate-3,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059064
SRR10065827,27161482,2743309682,101,891,SRX6799420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342424,SAMN12690295,simple,10090,Mus musculus,GSM4059065,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Light-polysome_replicate-1,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059065
SRR10065828,25036032,2528639232,101,851,SRX6799421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342425,SAMN12690309,simple,10090,Mus musculus,GSM4059066,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Light-polysome_replicate-2,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059066
SRR10065829,20563860,2076949860,101,671,SRX6799422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342426,SAMN12690308,simple,10090,Mus musculus,GSM4059067,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Light-polysome_replicate-3,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059067
SRR10065830,27432039,2770635939,101,898,SRX6799423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342427,SAMN12690307,simple,10090,Mus musculus,GSM4059068,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Heavy-polysome_replicate-1,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059068
SRR10065831,27689645,2796654145,101,947,SRX6799424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342428,SAMN12690306,simple,10090,Mus musculus,GSM4059069,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Heavy-polysome_replicate-2,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059069
SRR10065832,16494667,1665961367,101,527,SRX6799425,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342429,SAMN12690305,simple,10090,Mus musculus,GSM4059070,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,Vehicle_Heavy-polysome_replicate-3,NIH/3T3 cells treated with 100 nM PBS at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059070
SRR10065833,28019174,2829936574,101,916,SRX6799426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342430,SAMN12690304,simple,10090,Mus musculus,GSM4059071,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Total-RNA_replicate-1,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059071
SRR10065834,29652539,2994906439,101,1005,SRX6799427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342431,SAMN12690303,simple,10090,Mus musculus,GSM4059072,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Total-RNA_replicate-2,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059072
SRR10065835,32454371,3277891471,101,1101,SRX6799428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342432,SAMN12690302,simple,10090,Mus musculus,GSM4059073,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Total-RNA_replicate-3,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059073
SRR10065836,27575823,2785158123,101,906,SRX6799429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342433,SAMN12690301,simple,10090,Mus musculus,GSM4059074,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Ribosome-free_replicate-1,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059074
SRR10065837,22847787,2307626487,101,778,SRX6799430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342434,SAMN12690300,simple,10090,Mus musculus,GSM4059075,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Ribosome-free_replicate-2,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059075
SRR10065838,18930856,1912016456,101,616,SRX6799431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342435,SAMN12690299,simple,10090,Mus musculus,GSM4059076,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Ribosome-free_replicate-3,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059076
SRR10065839,28782101,2906992201,101,946,SRX6799432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342436,SAMN12690298,simple,10090,Mus musculus,GSM4059077,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Light-polysome_replicate-1,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059077
SRR10065840,23556277,2379183977,101,804,SRX6799433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342437,SAMN12690297,simple,10090,Mus musculus,GSM4059078,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Light-polysome_replicate-2,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059078
SRR10065841,20222943,2042517243,101,651,SRX6799434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342438,SAMN12690296,simple,10090,Mus musculus,GSM4059079,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Light-polysome_replicate-3,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059079
SRR10065842,25988741,2624862841,101,852,SRX6799435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342439,SAMN12690314,simple,10090,Mus musculus,GSM4059080,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Heavy-polysome_replicate-1,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059080
SRR10065843,24588628,2483451428,101,842,SRX6799436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342440,SAMN12690313,simple,10090,Mus musculus,GSM4059081,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Heavy-polysome_replicate-2,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059081
SRR10065844,20552376,2075789976,101,666,SRX6799437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP220286,PRJNA563844,32611237,"",SRS5342441,SAMN12690312,simple,10090,Mus musculus,GSM4059082,GEO,SRA956041,09,2021,Wu,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,HF_Heavy-polysome_replicate-3,NIH/3T3 cells treated with 100 nM halofuginone at 37ºC for 24 hrs.,NIH/3T3,mouse fibroblasts,GSM4059082
