Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sampling time,sequencing,cell sample,treatment,GEO Accession
SRR10212832,187573750,9566261250,51,4601,SRX6932511,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462755,SAMN12882244,simple,1911,Streptomyces griseus,GSM4104307,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_E2,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Early-exponential phase (E),Ribosome profiling,E2,thiostrepton,GSM4104307
SRR10212833,155225446,7916497746,51,3224,SRX6932512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462756,SAMN12882243,simple,1911,Streptomyces griseus,GSM4104308,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_T1,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Transition phase (T),Ribosome profiling,T1,thiostrepton,GSM4104308
SRR10212834,162820587,8303849937,51,3445,SRX6932513,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462757,SAMN12882242,simple,1911,Streptomyces griseus,GSM4104309,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_T2,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Transition phase (T),Ribosome profiling,T2,thiostrepton,GSM4104309
SRR10212835,178011502,9078586602,51,3906,SRX6932514,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462758,SAMN12882241,simple,1911,Streptomyces griseus,GSM4104310,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_L1,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Late-exponential phase (L),Ribosome profiling,L1,thiostrepton,GSM4104310
SRR10212836,191018264,9741931464,51,4469,SRX6932515,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462759,SAMN12882240,simple,1911,Streptomyces griseus,GSM4104311,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_L2,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Late-exponential phase (L),Ribosome profiling,L2,thiostrepton,GSM4104311
SRR10212837,207591209,10587151659,51,4612,SRX6932516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462760,SAMN12882239,simple,1911,Streptomyces griseus,GSM4104312,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_S1,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Stationary phase (S),Ribosome profiling,S1,thiostrepton,GSM4104312
SRR10212838,146481080,7470535080,51,3142,SRX6932517,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462761,SAMN12882238,simple,1911,Streptomyces griseus,GSM4104313,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_S2,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Stationary phase (S),Ribosome profiling,S2,thiostrepton,GSM4104313
SRR10212839,319268737,10481807196,,5740,SRX6932518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462762,SAMN12882237,simple,54571,Streptomyces venezuelae,GSM4104314,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_E1,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Early-exponential phase (E),Ribosome profiling,E1,thiostrepton,GSM4104314
SRR10212840,214371450,7203804381,,4159,SRX6932519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462763,SAMN12882236,simple,54571,Streptomyces venezuelae,GSM4104315,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_E2,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Early-exponential phase (E),Ribosome profiling,E2,thiostrepton,GSM4104315
SRR10212841,329759627,10695913788,,5794,SRX6932520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462764,SAMN12882235,simple,54571,Streptomyces venezuelae,GSM4104316,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_T1,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Transition phase (T),Ribosome profiling,T1,thiostrepton,GSM4104316
SRR10212842,166241490,8478315990,51,4274,SRX6932521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462765,SAMN12882234,simple,54571,Streptomyces venezuelae,GSM4104317,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_T2,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Transition phase (T),Ribosome profiling,T2,thiostrepton,GSM4104317
SRR10212843,408127842,13137036715,,7119,SRX6932522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462766,SAMN12882233,simple,54571,Streptomyces venezuelae,GSM4104318,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_L1,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Late-exponential phase (L),Ribosome profiling,L1,thiostrepton,GSM4104318
SRR10212844,304119238,9739600257,,5252,SRX6932523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462767,SAMN12882231,simple,54571,Streptomyces venezuelae,GSM4104319,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_L2,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Late-exponential phase (L),Ribosome profiling,L2,thiostrepton,GSM4104319
SRR10212845,238259689,7532513188,,4137,SRX6932524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462768,SAMN12882247,simple,54571,Streptomyces venezuelae,GSM4104320,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_S1,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Stationary phase (S),Ribosome profiling,S1,thiostrepton,GSM4104320
SRR10212846,168577692,8597462292,51,3982,SRX6932525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462769,SAMN12882246,simple,54571,Streptomyces venezuelae,GSM4104321,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SvenRibo_S2,Mycelium cells from liquid culture,Streptomyces venezuelae ATCC15439,Stationary phase (S),Ribosome profiling,S2,thiostrepton,GSM4104321
SRR10212831,143788818,7333229718,51,2967,SRX6932526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP223903,PRJNA575265,32385251,"",SRS5462770,SAMN12882245,simple,1911,Streptomyces griseus,GSM4104306,GEO,SRA971109,03,2020,Kim,Mycelium cells from liquid culture,SgriRibo_E1,Mycelium cells from liquid culture,Streptomyces griseus NBRC13350,Early-exponential phase (E),Ribosome profiling,E1,thiostrepton,GSM4104306
