Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,cell line,GEO Accession
SRR12707610,17861732,2697121532,151,1035,SRX9186545,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS7423313,SAMN16258060,simple,9606,Homo sapiens,GSM4802240,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_tRNA_wSG1,PATU-8902,Pancreatic Ductal Adenocarcinoma Cell Line,+Ser/Gly,,GSM4802240
SRR12707611,18613153,2810586103,151,1060,SRX9186546,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS7423314,SAMN16258059,simple,9606,Homo sapiens,GSM4802241,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_tRNA_wSG2,PATU-8902,Pancreatic Ductal Adenocarcinoma Cell Line,+Ser/Gly,,GSM4802241
SRR12707612,16997146,2566569046,151,947,SRX9186547,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS7423315,SAMN16258058,simple,9606,Homo sapiens,GSM4802242,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_tRNA_wSG3,PATU-8902,Pancreatic Ductal Adenocarcinoma Cell Line,+Ser/Gly,,GSM4802242
SRR12707613,13883702,2096439002,151,755,SRX9186548,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS7423316,SAMN16258057,simple,9606,Homo sapiens,GSM4802243,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_tRNA_woSG1,PATU-8902,Pancreatic Ductal Adenocarcinoma Cell Line,-Ser/Gly,,GSM4802243
SRR12707614,11432564,1726317164,151,640,SRX9186549,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS7423317,SAMN16258056,simple,9606,Homo sapiens,GSM4802244,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_tRNA_woSG2,PATU-8902,Pancreatic Ductal Adenocarcinoma Cell Line,-Ser/Gly,,GSM4802244
SRR12707615,13763711,2078320361,151,770,SRX9186550,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS7423318,SAMN16258055,simple,9606,Homo sapiens,GSM4802245,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_tRNA_woSG3,PATU-8902,Pancreatic Ductal Adenocarcinoma Cell Line,-Ser/Gly,,GSM4802245
SRR10399037,83020562,4234048662,51,1376,SRX7099259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS5611521,SAMN13192275,simple,9606,Homo sapiens,GSM4148613,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_Total_wSG1,PATU-8902,Pancreactic Ductal Adenocarcinoma Cell Line,+Ser/Gly,PATU-8902,GSM4148613
SRR10399038,67178900,3426123900,51,1111,SRX7099260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS5611522,SAMN13192274,simple,9606,Homo sapiens,GSM4148614,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_Total_wSG2,PATU-8902,Pancreactic Ductal Adenocarcinoma Cell Line,+Ser/Gly,PATU-8902,GSM4148614
SRR10399039,40613632,2071295232,51,686,SRX7099261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS5611523,SAMN13192273,simple,9606,Homo sapiens,GSM4148615,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_Total_wSG3,PATU-8902,Pancreactic Ductal Adenocarcinoma Cell Line,+Ser/Gly,PATU-8902,GSM4148615
SRR10399040,52319124,2668275324,51,862,SRX7099262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP228560,PRJNA587516,33142117,"",SRS5611524,SAMN13192272,simple,9606,Homo sapiens,GSM4148616,GEO,SRA991392,11,2020,Banh,PATU-8902,PATU-8902_Total_woSG1,PATU-8902,Pancreactic Ductal Adenocarcinoma Cell Line,-Ser/Gly,PATU-8902,GSM4148616
