Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,time point,rna-pretreatment,molecule subtype,sub_species,GEO Accession
SRR10400889,3314050,169016550,51,101,SRX7100966,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613223,SAMN13198661,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150156,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH+ TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150156
SRR10400890,3192785,162832035,51,98,SRX7100966,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613223,SAMN13198661,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150156,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH+ TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150157
SRR10400891,2747667,140131017,51,83,SRX7100967,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613224,SAMN13198660,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150157,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH+ TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150158
SRR10400892,2654997,135404847,51,81,SRX7100967,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613224,SAMN13198660,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150157,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH+ TSS-seq rep2,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150159
SRR10400893,1761805,89852055,51,54,SRX7100968,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613225,SAMN13198659,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150158,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH+ TSS-seq rep3,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150160
SRR10400894,1709715,87195465,51,53,SRX7100968,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613225,SAMN13198659,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150158,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH+ TSS-seq rep3,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150161
SRR10400895,2253238,114915138,51,68,SRX7100969,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613226,SAMN13198658,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150159,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH+ TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150162
SRR10400896,2188303,111603453,51,66,SRX7100969,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613226,SAMN13198658,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150159,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH+ TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150163
SRR10400897,3426265,174739515,51,105,SRX7100970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613227,SAMN13198657,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150160,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH+ TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150164
SRR10400898,3329342,169796442,51,102,SRX7100970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613227,SAMN13198657,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150160,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH+ TSS-seq rep2,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150165
