Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,batch,rip antibody,rip antibody manufacturer,GEO Accession
SRR10530104,47518276,2375913800,50,714,SRX7214117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716920,SAMN13385743,simple,9606,Homo sapiens,GSM4192092,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO1.4.1_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 1 nucleotide indel),4,,,GSM4192092
SRR10530105,93268891,4663444550,50,1399,SRX7214118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716921,SAMN13385742,simple,9606,Homo sapiens,GSM4192093,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO1.4.2_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 1 nucleotide indel),4,,,GSM4192093
SRR10530106,21255485,1062774250,50,321,SRX7214119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716922,SAMN13385741,simple,9606,Homo sapiens,GSM4192094,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO1.4.3_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 1 nucleotide indel),4,,,GSM4192094
SRR10530107,33583163,1679158150,50,505,SRX7214120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716923,SAMN13385740,simple,9606,Homo sapiens,GSM4192095,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO1.4.4_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 1 nucleotide indel),4,,,GSM4192095
SRR10530108,10519555,525977750,50,165,SRX7214121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716924,SAMN13385739,simple,9606,Homo sapiens,GSM4192096,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO2.4.1_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 2 nucleotide indel),4,,,GSM4192096
SRR10530109,9276202,463810100,50,146,SRX7214122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716925,SAMN13385738,simple,9606,Homo sapiens,GSM4192097,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO2.4.2_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 2 nucleotide indel),4,,,GSM4192097
SRR10530110,33477354,1673867700,50,530,SRX7214123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716926,SAMN13385737,simple,9606,Homo sapiens,GSM4192098,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO2.4.3_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 2 nucleotide indel),4,,,GSM4192098
SRR10530111,30341232,1517061600,50,480,SRX7214124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716927,SAMN13385736,simple,9606,Homo sapiens,GSM4192099,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.KO2.4.4_RNA-seq,human embryonic kidney 293 cells,HEK293,Nsun6 knockout (Clone 2 nucleotide indel),4,,,GSM4192099
SRR10530112,37880251,1894012550,50,594,SRX7214125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716928,SAMN13385735,simple,9606,Homo sapiens,GSM4192100,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.WT.4.1_RNA-seq,human embryonic kidney 293 cells,HEK293,Control (Wild-type),4,,,GSM4192100
SRR10530113,29808119,1490405950,50,467,SRX7214126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP233222,PRJNA591625,33330931,"",SRS5716929,SAMN13385734,simple,9606,Homo sapiens,GSM4192101,GEO,SRA1002630,11,2020,Selmi,human embryonic kidney 293 cells,HEK.WT.4.2_RNA-seq,human embryonic kidney 293 cells,HEK293,Control (Wild-type),4,,,GSM4192101
