Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,polysomal fraction,translation state,GEO Accession
SRR10530028,55534806,11218030812,101,6136,SRX7214043,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716846,SAMN13385714,simple,9606,Homo sapiens,GSM4192072,GEO,SRA1002628,03,2020,Schumann,HeLa_small ribosomal subunit,B1_S1,HeLa_small ribosomal subunit,HeLa,cervical cancer cells,Replicate B-Polysome Fraction 1,small ribosomal subunit,GSM4192072
SRR10530029,73209202,14788258804,101,7943,SRX7214044,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716847,SAMN13385729,simple,9606,Homo sapiens,GSM4192073,GEO,SRA1002628,03,2020,Schumann,HeLa_large ribosomal subunit and monosome,B2_S2,HeLa_large ribosomal subunit and monosome,HeLa,cervical cancer cells,Replicate B-Polysome Fraction 2,large ribosomal subunit and monosome,GSM4192073
SRR10530030,62223594,12569165988,101,6746,SRX7214045,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716848,SAMN13385728,simple,9606,Homo sapiens,GSM4192074,GEO,SRA1002628,03,2020,Schumann,HeLa_light polysomal region,B3_S3,HeLa_light polysomal region,HeLa,cervical cancer cells,Replicate B-Polysome Fraction 3,light polysomal region,GSM4192074
SRR10530031,59497940,12018583880,101,6444,SRX7214046,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716849,SAMN13385727,simple,9606,Homo sapiens,GSM4192075,GEO,SRA1002628,03,2020,Schumann,HeLa_heavy polysomal region,B4_S4,HeLa_heavy polysomal region,HeLa,cervical cancer cells,Replicate B-Polysome Fraction 4,heavy polysomal region,GSM4192075
SRR10530032,50526496,10206352192,101,5569,SRX7214047,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716850,SAMN13385726,simple,9606,Homo sapiens,GSM4192076,GEO,SRA1002628,03,2020,Schumann,HeLa_small ribosomal subunit,C1_S5,HeLa_small ribosomal subunit,HeLa,cervical cancer cells,Replicate C-Polysome Fraction 1,small ribosomal subunit,GSM4192076
SRR10530033,60379431,12196645062,101,6533,SRX7214048,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716851,SAMN13385725,simple,9606,Homo sapiens,GSM4192077,GEO,SRA1002628,03,2020,Schumann,HeLa_large ribosomal subunit and monosome,C2_S6,HeLa_large ribosomal subunit and monosome,HeLa,cervical cancer cells,Replicate C-Polysome Fraction 2,large ribosomal subunit and monosome,GSM4192077
SRR10530034,78884000,15934568000,101,8506,SRX7214049,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716852,SAMN13385724,simple,9606,Homo sapiens,GSM4192078,GEO,SRA1002628,03,2020,Schumann,HeLa_light polysomal region,C3_S7,HeLa_light polysomal region,HeLa,cervical cancer cells,Replicate C-Polysome Fraction 3,light polysomal region,GSM4192078
SRR10530035,63933204,12914507208,101,6904,SRX7214050,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716853,SAMN13385723,simple,9606,Homo sapiens,GSM4192079,GEO,SRA1002628,03,2020,Schumann,HeLa_heavy polysomal region,C4_S8,HeLa_heavy polysomal region,HeLa,cervical cancer cells,Replicate C-Polysome Fraction 4,heavy polysomal region,GSM4192079
SRR10530036,52131065,10530475130,101,5735,SRX7214051,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716854,SAMN13385722,simple,9606,Homo sapiens,GSM4192080,GEO,SRA1002628,03,2020,Schumann,HeLa_small ribosomal subunit,E1_S9,HeLa_small ribosomal subunit,HeLa,cervical cancer cells,Replicate E-Polysome Fraction 1,small ribosomal subunit,GSM4192080
SRR10530037,42047645,8493624290,101,4601,SRX7214052,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP233220,PRJNA591627,32293435,"",SRS5716855,SAMN13385721,simple,9606,Homo sapiens,GSM4192081,GEO,SRA1002628,03,2020,Schumann,HeLa_large ribosomal subunit and monosome,E2_S10,HeLa_large ribosomal subunit and monosome,HeLa,cervical cancer cells,Replicate E-Polysome Fraction 2,large ribosomal subunit and monosome,GSM4192081
