Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,note,growth,GEO Accession
SRR10759495,81077173,2175363143,26,3330,SRX7433730,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878943,SAMN13672679,simple,4932,Saccharomyces cerevisiae,GSM4231343,GEO,SRA1015819,03,2021,Liu,yeast,172_0_RFP,yeast,CEN.PK,WT strain #172,with methionine,GSM4231343
SRR10759496,34873591,944413054,27,1453,SRX7433731,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878944,SAMN13672678,simple,4932,Saccharomyces cerevisiae,GSM4231344,GEO,SRA1015819,03,2021,Liu,yeast,172_2_RFP,yeast,CEN.PK,WT strain #172,without methionine for two hours,GSM4231344
SRR10759497,82959434,2194793881,26,3398,SRX7433732,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878945,SAMN13672677,simple,4932,Saccharomyces cerevisiae,GSM4231345,GEO,SRA1015819,03,2021,Liu,yeast,600_0_RFP,yeast,CEN.PK,WT strain #600,with methionine,GSM4231345
SRR10759498,43837851,1183176461,26,1814,SRX7433733,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878946,SAMN13672676,simple,4932,Saccharomyces cerevisiae,GSM4231346,GEO,SRA1015819,03,2021,Liu,yeast,600_2_RFP,yeast,CEN.PK,WT strain #600,without methionine for two hours,GSM4231346
SRR10759499,62593663,1727941010,27,2576,SRX7433734,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878947,SAMN13672675,simple,4932,Saccharomyces cerevisiae,GSM4231347,GEO,SRA1015819,03,2021,Liu,yeast,623_0_RFP,yeast,CEN.PK,E85Q strain #623,with methionine,GSM4231347
SRR10759500,55878781,1545019880,27,2309,SRX7433735,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878948,SAMN13672674,simple,4932,Saccharomyces cerevisiae,GSM4231348,GEO,SRA1015819,03,2021,Liu,yeast,623_2_RFP,yeast,CEN.PK,E85Q strain #623,without methionine for two hours,GSM4231348
SRR10759501,74176039,2026846603,27,3060,SRX7433736,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878950,SAMN13672668,simple,4932,Saccharomyces cerevisiae,GSM4231349,GEO,SRA1015819,03,2021,Liu,yeast,625_0_RFP,yeast,CEN.PK,E85Q strain #625,with methionine,GSM4231349
SRR10759502,65442982,1786448114,27,2697,SRX7433737,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878949,SAMN13672667,simple,4932,Saccharomyces cerevisiae,GSM4231350,GEO,SRA1015819,03,2021,Liu,yeast,625_2_RFP,yeast,CEN.PK,E85Q strain #625,without methionine for two hours,GSM4231350
SRR10759503,90268862,2421870451,26,3700,SRX7433738,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878951,SAMN13672673,simple,4932,Saccharomyces cerevisiae,GSM4231351,GEO,SRA1015819,03,2021,Liu,yeast,887_0_RFP,yeast,CEN.PK,D87E strain #887,with methionine,GSM4231351
SRR10759504,35341536,970062967,27,1476,SRX7433739,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878952,SAMN13672672,simple,4932,Saccharomyces cerevisiae,GSM4231352,GEO,SRA1015819,03,2021,Liu,yeast,887_2_RFP,yeast,CEN.PK,D87E strain #887,without methionine for two hours,GSM4231352
SRR10759505,109039758,2929313250,26,4469,SRX7433740,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878953,SAMN13672671,simple,4932,Saccharomyces cerevisiae,GSM4231353,GEO,SRA1015819,03,2021,Liu,yeast,888_0_RFP,yeast,CEN.PK,D87E strain #888,with methionine,GSM4231353
SRR10759506,45026511,1220502124,27,1863,SRX7433741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878954,SAMN13672670,simple,4932,Saccharomyces cerevisiae,GSM4231354,GEO,SRA1015819,03,2021,Liu,yeast,888_2_RFP,yeast,CEN.PK,D87E strain #888,without methionine for two hours,GSM4231354
SRR10759507,35488639,1809920589,51,636,SRX7433742,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878955,SAMN13672669,simple,4932,Saccharomyces cerevisiae,GSM4231355,GEO,SRA1015819,03,2021,Liu,yeast,172_0_RNA,yeast,CEN.PK,WT strain #172,with methionine,GSM4231355
