Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,induced mirna,batch,GEO Accession
SRR10821378,29480533,2302753547,78,432,SRX7494767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936453,SAMN13715005,simple,9606,Homo sapiens,GSM4247190,GEO,SRA1019465,08,2020,Patel,Empty vector control,Empty vector control rep 1 (batch 1) [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,1,GSM4247190
SRR10821379,29703969,2321031150,78,425,SRX7494768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936454,SAMN13715004,simple,9606,Homo sapiens,GSM4247191,GEO,SRA1019465,08,2020,Patel,Empty vector control,Empty vector control rep 2 (batch 1) [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,1,GSM4247191
SRR10821380,30431463,2377632396,78,431,SRX7494769,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936455,SAMN13715003,simple,9606,Homo sapiens,GSM4247192,GEO,SRA1019465,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 1 (batch 1) [RNA-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-1,1,GSM4247192
SRR10821381,29530457,2307673107,78,422,SRX7494770,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936456,SAMN13715002,simple,9606,Homo sapiens,GSM4247193,GEO,SRA1019465,08,2020,Patel,miR-1 expressing cells,miR-1 expressing cells rep 2 (batch 1) [RNA-seq],miR-1 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-1,1,GSM4247193
SRR10821382,28488018,2225493159,78,406,SRX7494771,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936457,SAMN13715001,simple,9606,Homo sapiens,GSM4247194,GEO,SRA1019465,08,2020,Patel,miR-122 expressing cells,miR-122 expressing cells rep 1 (batch 1) [RNA-seq],miR-122 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-122,1,GSM4247194
SRR10821383,29282376,2288326775,78,421,SRX7494772,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936458,SAMN13715000,simple,9606,Homo sapiens,GSM4247195,GEO,SRA1019465,08,2020,Patel,miR-122 expressing cells,miR-122 expressing cells rep 2 (batch 1) [RNA-seq],miR-122 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-122,1,GSM4247195
SRR10821384,19174622,1519561279,79,240,SRX7494773,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936459,SAMN13714999,simple,9606,Homo sapiens,GSM4247196,GEO,SRA1019465,08,2020,Patel,Empty vector control,Empty vector control rep 1 (batch 2) [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,2,GSM4247196
SRR10821385,21083006,1668790648,79,262,SRX7494774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936460,SAMN13714998,simple,9606,Homo sapiens,GSM4247197,GEO,SRA1019465,08,2020,Patel,Empty vector control,Empty vector control rep 2 (batch 2) [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,2,GSM4247197
SRR10821386,19905439,1575678683,79,248,SRX7494775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936461,SAMN13714997,simple,9606,Homo sapiens,GSM4247198,GEO,SRA1019465,08,2020,Patel,Empty vector control,Empty vector control rep 3 (batch 2) [RNA-seq],Empty vector control,Flp-In T-REx 293 Cell,None,2,GSM4247198
SRR10821387,18782812,1487450511,79,250,SRX7494776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936462,SAMN13714996,simple,9606,Homo sapiens,GSM4247199,GEO,SRA1019465,08,2020,Patel,miR-133a expressing cells,miR-133a expressing cells rep 1 (batch 2) [RNA-seq],miR-133a expressing cells,Flp-In T-REx 293 Cell,hsa-miR-133a,2,GSM4247199
SRR10821388,19546143,1548543853,79,241,SRX7494777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936463,SAMN13714995,simple,9606,Homo sapiens,GSM4247200,GEO,SRA1019465,08,2020,Patel,miR-133a expressing cells,miR-133a expressing cells rep 2 (batch 2) [RNA-seq],miR-133a expressing cells,Flp-In T-REx 293 Cell,hsa-miR-133a,2,GSM4247200
SRR10821389,20527027,1622742537,79,254,SRX7494778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936464,SAMN13714994,simple,9606,Homo sapiens,GSM4247201,GEO,SRA1019465,08,2020,Patel,miR-133a expressing cells,miR-133a expressing cells rep 3 (batch 2) [RNA-seq],miR-133a expressing cells,Flp-In T-REx 293 Cell,hsa-miR-133a,2,GSM4247201
SRR10821390,21390372,1693949272,79,264,SRX7494779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936465,SAMN13714993,simple,9606,Homo sapiens,GSM4247202,GEO,SRA1019465,08,2020,Patel,miR-155 expressing cells,miR-155 expressing cells rep 1 (batch 2) [RNA-seq],miR-155 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-155,2,GSM4247202
SRR10821391,18860745,1493107344,79,230,SRX7494780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936466,SAMN13714992,simple,9606,Homo sapiens,GSM4247203,GEO,SRA1019465,08,2020,Patel,miR-155 expressing cells,miR-155 expressing cells rep 2 (batch 2) [RNA-seq],miR-155 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-155,2,GSM4247203
SRR10821392,19613838,1551325742,79,242,SRX7494781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936467,SAMN13714991,simple,9606,Homo sapiens,GSM4247204,GEO,SRA1019465,08,2020,Patel,miR-155 expressing cells,miR-155 expressing cells rep 3 (batch 2) [RNA-seq],miR-155 expressing cells,Flp-In T-REx 293 Cell,hsa-miR-155,2,GSM4247204
SRR10821393,20659156,1635039645,79,258,SRX7494782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936468,SAMN13714990,simple,9606,Homo sapiens,GSM4247205,GEO,SRA1019465,08,2020,Patel,miR-302a expressing cells,miR-302a expressing cells rep 1 (batch 2) [RNA-seq],miR-302a expressing cells,Flp-In T-REx 293 Cell,hsa-miR-302a,2,GSM4247205
SRR10821394,25127974,1989473569,79,307,SRX7494783,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936469,SAMN13714989,simple,9606,Homo sapiens,GSM4247206,GEO,SRA1019465,08,2020,Patel,miR-302a expressing cells,miR-302a expressing cells rep 2 (batch 2) [RNA-seq],miR-302a expressing cells,Flp-In T-REx 293 Cell,hsa-miR-302a,2,GSM4247206
SRR10821395,19086576,1511318508,79,239,SRX7494784,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP239336,PRJNA598734,32821933,"",SRS5936470,SAMN13714988,simple,9606,Homo sapiens,GSM4247207,GEO,SRA1019465,08,2020,Patel,miR-302a expressing cells,miR-302a expressing cells rep 3 (batch 2) [RNA-seq],miR-302a expressing cells,Flp-In T-REx 293 Cell,hsa-miR-302a,2,GSM4247207
