Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,gender,age,genotype,experiment,GEO Accession
SRR10854600,14585275,2319362422,79,801,SRX7524982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964421,SAMN13781100,simple,10090,Mus musculus,GSM4257251,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_hht_rep1_input_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257251
SRR10854601,16770313,2666865020,79,919,SRX7524983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964422,SAMN13781099,simple,10090,Mus musculus,GSM4257252,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_hht_rep2_input_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257252
SRR10854602,11755324,1869417561,79,646,SRX7524984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964423,SAMN13781098,simple,10090,Mus musculus,GSM4257253,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_hht_rep1_medium_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257253
SRR10854603,13000322,2067355330,79,719,SRX7524985,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964424,SAMN13781097,simple,10090,Mus musculus,GSM4257254,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_hht_rep2_medium_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257254
SRR10854604,11653979,1853293249,79,643,SRX7524986,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964425,SAMN13781096,simple,10090,Mus musculus,GSM4257255,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_hht_rep1_heavy_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257255
SRR10854605,12797882,2035248130,79,702,SRX7524987,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964426,SAMN13781095,simple,10090,Mus musculus,GSM4257256,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_hht_rep2_heavy_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257256
SRR10854606,12043655,1915228420,79,658,SRX7524988,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964427,SAMN13781094,simple,10090,Mus musculus,GSM4257257,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_vehicle_input_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257257
SRR10854607,8029201,1276920815,79,439,SRX7524989,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964428,SAMN13781093,simple,10090,Mus musculus,GSM4257258,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_vehicle_medium_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257258
SRR10854608,9180150,1459699063,79,506,SRX7524990,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964430,SAMN13781092,simple,10090,Mus musculus,GSM4257259,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,ko_vehicle_heavy_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,GSM4257259
SRR10854609,14756481,2346486257,79,810,SRX7524991,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240705,PRJNA600027,32234480,"",SRS5964429,SAMN13781091,simple,10090,Mus musculus,GSM4257260,GEO,SRA1022545,04,2020,Shah,hippocampal-cortical brain slices,wt_hht_rep1_input_rnaseq,hippocampal-cortical brain slices,C57BL/6N,brain,male,post natal day 28-35,wild type,cytoplasmic fraction RNA-seq,GSM4257260
