Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,gender,age,genotype,experiment,molecule subtype,GEO Accession
SRR10919484,45129128,3362393494,74,1288,SRX7586684,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020295,SAMN13896472,simple,10090,Mus musculus,GSM4278088,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,ko_rna_rep1,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278088
SRR10919485,57089557,4190523701,73,1653,SRX7586685,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020296,SAMN13896471,simple,10090,Mus musculus,GSM4278089,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,ko_rna_rep2,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278089
SRR10919486,77597549,5785762035,74,2150,SRX7586686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020297,SAMN13896470,simple,10090,Mus musculus,GSM4278090,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,ko_rna_rep3,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278090
SRR10919487,53856854,4013987524,74,1527,SRX7586687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020298,SAMN13896469,simple,10090,Mus musculus,GSM4278091,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,ko_rna_rep4,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278091
SRR10919488,46292757,3449253972,74,1316,SRX7586688,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020299,SAMN13896468,simple,10090,Mus musculus,GSM4278092,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,ko_rna_rep5,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,Fmr1 KO,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278092
SRR10919489,37576830,2800190007,74,1077,SRX7586689,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020300,SAMN13896467,simple,10090,Mus musculus,GSM4278093,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,wt_rna_rep1,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,wild type,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278093
SRR10919490,48541381,3614397831,74,1418,SRX7586690,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020301,SAMN13896466,simple,10090,Mus musculus,GSM4278094,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,wt_rna_rep2,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,wild type,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278094
SRR10919491,77131047,5745623812,74,2161,SRX7586691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020302,SAMN13896465,simple,10090,Mus musculus,GSM4278095,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,wt_rna_rep3,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,wild type,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278095
SRR10919492,46112959,3436924040,74,1315,SRX7586692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020303,SAMN13896464,simple,10090,Mus musculus,GSM4278096,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,wt_rna_rep4,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,wild type,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4278096
SRR10919493,26574028,843891620,31,313,SRX7586693,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP240703,PRJNA600029,32234480,"",SRS6020304,SAMN13896463,simple,10090,Mus musculus,GSM4278097,GEO,SRA1022543,04,2020,Shah,hippocampal-cortical brain slices,ko_ribo_rep1,hippocampal-cortical brain slices,C57BL/6,brain,male,post natal day 28-35,Fmr1 KO,ribosome profiling,ribosome protected RNA footprint,GSM4278097
