Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,cellular fraction,molecule,GEO Accession
SRR10859254,54432066,5443206600,50,2504,SRX7529351,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968636,SAMN13810490,simple,9606,Homo sapiens,GSM4258217,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected mRNA, replicate 1",whole cell,HEK 293T,12 h CHIKV infection,ER,total RNA,GSM4258217
SRR10859255,67769895,6776989500,50,2989,SRX7529352,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968637,SAMN13810489,simple,9606,Homo sapiens,GSM4258218,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected mRNA, replicate 2",whole cell,HEK 293T,12 h CHIKV infection,ER,total RNA,GSM4258218
SRR10859256,67391030,6739103000,50,2913,SRX7529353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968638,SAMN13810488,simple,9606,Homo sapiens,GSM4258219,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected mRNA, replicate 3",whole cell,HEK 293T,12 h CHIKV infection,ER,total RNA,GSM4258219
SRR10859257,61097591,6109759100,50,2831,SRX7529354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968639,SAMN13810487,simple,9606,Homo sapiens,GSM4258220,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected mRNA, replicate 4",whole cell,HEK 293T,13 h CHIKV infection,ER,total RNA,GSM4258220
SRR10859258,64072691,6407269100,50,2952,SRX7529355,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968640,SAMN13810486,simple,9606,Homo sapiens,GSM4258221,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER non-infected mRNA, replicate 1",whole cell,HEK 293T,12 h mock infection,ER,total RNA,GSM4258221
SRR10859259,59559329,5955932900,50,2593,SRX7529356,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968641,SAMN13810485,simple,9606,Homo sapiens,GSM4258222,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER non-infected mRNA, replicate 2",whole cell,HEK 293T,12 h mock infection,ER,total RNA,GSM4258222
SRR10859260,65155226,6515522600,50,2851,SRX7529357,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968642,SAMN13810484,simple,9606,Homo sapiens,GSM4258223,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER non-infected mRNA, replicate 3",whole cell,HEK 293T,12 h mock infection,ER,total RNA,GSM4258223
SRR10859261,65965609,6596560900,50,2889,SRX7529358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968643,SAMN13810483,simple,9606,Homo sapiens,GSM4258224,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected mRNA, replicate 1",whole cell,HEK 293T,12 h CHIKV infection,cytosol,total RNA,GSM4258224
SRR10859262,68367092,6836709200,50,3045,SRX7529359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968644,SAMN13810482,simple,9606,Homo sapiens,GSM4258225,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected mRNA, replicate 2",whole cell,HEK 293T,12 h CHIKV infection,cytosol,total RNA,GSM4258225
SRR10859263,70375558,7037555800,50,3123,SRX7529360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968645,SAMN13810481,simple,9606,Homo sapiens,GSM4258226,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected mRNA, replicate 3",whole cell,HEK 293T,12 h CHIKV infection,cytosol,total RNA,GSM4258226
SRR10859264,87392828,8739282800,50,3886,SRX7529361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968646,SAMN13810480,simple,9606,Homo sapiens,GSM4258227,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected mRNA, replicate 4",whole cell,HEK 293T,12 h CHIKV infection,cytosol,total RNA,GSM4258227
