Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,assay,genotype,batch,GEO Accession
SRR10887267,36511401,1423944639,39,1546,SRX7556248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993642,SAMN13855150,simple,10090,Mus musculus,GSM4271538,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S5,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,DKO,1,GSM4271538
SRR10887268,37894181,1477873059,39,1606,SRX7556249,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993641,SAMN13855148,simple,10090,Mus musculus,GSM4271539,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S6,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,S6K1,1,GSM4271539
SRR10887269,50681909,1976594451,39,2033,SRX7556250,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993643,SAMN13855147,simple,10090,Mus musculus,GSM4271540,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S7,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,WT,2,GSM4271540
SRR10887270,49579994,1933619766,39,1993,SRX7556251,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993655,SAMN13855146,simple,10090,Mus musculus,GSM4271541,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S8,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,FXS,2,GSM4271541
SRR10887271,46905207,1829303073,39,1884,SRX7556252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993644,SAMN13855145,simple,10090,Mus musculus,GSM4271542,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S9,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,FXS,2,GSM4271542
SRR10887272,45094438,1758683082,39,1808,SRX7556253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993645,SAMN13855144,simple,10090,Mus musculus,GSM4271543,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S10,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,S6K1,2,GSM4271543
SRR10887273,51808482,2020530798,39,2132,SRX7556254,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993646,SAMN13855143,simple,10090,Mus musculus,GSM4271544,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S11,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,FXS,3,GSM4271544
SRR10887274,61333869,2392020891,39,2539,SRX7556255,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993647,SAMN13855142,simple,10090,Mus musculus,GSM4271545,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S12,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,WT,3,GSM4271545
SRR10887275,61659978,2404739142,39,2537,SRX7556256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993652,SAMN13855141,simple,10090,Mus musculus,GSM4271546,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S13,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,S6K1,3,GSM4271546
SRR10887276,60146348,2345707572,39,2472,SRX7556257,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993648,SAMN13855140,simple,10090,Mus musculus,GSM4271547,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S14,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,DKO,3,GSM4271547
SRR10887277,73029074,2848133886,39,3052,SRX7556258,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993649,SAMN13855139,simple,10090,Mus musculus,GSM4271548,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S15,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,WT,4,GSM4271548
SRR10887278,61439960,2396158440,39,2564,SRX7556259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993650,SAMN13855138,simple,10090,Mus musculus,GSM4271549,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S16,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,FXS,4,GSM4271549
SRR10887279,63108502,2461231578,39,2635,SRX7556260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993651,SAMN13855137,simple,10090,Mus musculus,GSM4271550,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S17,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,FXS,4,GSM4271550
SRR10887280,60803337,2371330143,39,2544,SRX7556261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP241934,PRJNA601197,1,"",SRS5993654,SAMN13855136,simple,10090,Mus musculus,GSM4271551,GEO,SRA1026317,11,2020,Makar,Mouse brain cortex,S18,Mouse brain cortex,brain cortex,P29-34,Ribosome profiling,DKO,4,GSM4271551
