Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell line,GEO Accession
SRR12801029,49611573,14883471900,150,6173,SRX9269861,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP243638,PRJNA602407,33795875,"",SRS7498737,SAMN16403681,simple,9606,Homo sapiens,GSM4826365,GEO,SRA1029145,12,2020,Yi,shCTRL_rep3_Ribo_seq,shCTRL_rep3_Ribo_seq,shCTRL_rep3_Ribo_seq,shCTRL,C4-2,GSM4826365
SRR12801030,61325451,18397635300,150,7651,SRX9269862,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP243638,PRJNA602407,33795875,"",SRS7498738,SAMN16403679,simple,9606,Homo sapiens,GSM4826366,GEO,SRA1029145,12,2020,Yi,shEZH2_rep3_Ribo_seq,shEZH2_rep3_Ribo_seq,shEZH2_rep3_Ribo_seq,shEZH2,C4-2,GSM4826366
SRR12801031,42889358,12866807400,150,5324,SRX9269863,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP243638,PRJNA602407,33795875,"",SRS7498739,SAMN16403678,simple,9606,Homo sapiens,GSM4826367,GEO,SRA1029145,12,2020,Yi,shFBL_rep3_Ribo_seq,shFBL_rep3_Ribo_seq,shFBL_rep3_Ribo_seq,shFBL,C4-2,GSM4826367
SRR10918466,62545466,6254546600,100,3560,SRX7585779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP243638,PRJNA602407,33795875,"",SRS6019435,SAMN13895119,simple,9606,Homo sapiens,GSM4277532,GEO,SRA1029145,12,2020,Yi,shCTRL_rep1_RNA_seq,shCTRL_rep1_RNA_seq,shCTRL_rep1_RNA_seq,shCTRL,Human PCa cell line C4-2,GSM4277532
SRR10918467,57624500,5762450000,100,3294,SRX7585780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP243638,PRJNA602407,33795875,"",SRS6019436,SAMN13895118,simple,9606,Homo sapiens,GSM4277533,GEO,SRA1029145,12,2020,Yi,shCTRL_rep2_RNA_seq,shCTRL_rep2_RNA_seq,shCTRL_rep2_RNA_seq,shCTRL,Human PCa cell line C4-2,GSM4277533
SRR10918468,53098838,5309883800,100,3059,SRX7585781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP243638,PRJNA602407,33795875,"",SRS6019438,SAMN13895117,simple,9606,Homo sapiens,GSM4277534,GEO,SRA1029145,12,2020,Yi,shEZH2_rep1_RNA_seq,shEZH2_rep1_RNA_seq,shEZH2_rep1_RNA_seq,shEZH2,Human PCa cell line C4-2,GSM4277534
SRR10918469,58003880,5800388000,100,3341,SRX7585782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP243638,PRJNA602407,33795875,"",SRS6019439,SAMN13895116,simple,9606,Homo sapiens,GSM4277535,GEO,SRA1029145,12,2020,Yi,shEZH2_rep2_RNA_seq,shEZH2_rep2_RNA_seq,shEZH2_rep2_RNA_seq,shEZH2,Human PCa cell line C4-2,GSM4277535
SRR10918470,60982694,6098269400,100,3505,SRX7585783,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP243638,PRJNA602407,33795875,"",SRS6019440,SAMN13895115,simple,9606,Homo sapiens,GSM4277536,GEO,SRA1029145,12,2020,Yi,shFBL_rep1_RNA_seq,shFBL_rep1_RNA_seq,shFBL_rep1_RNA_seq,shFBL,Human PCa cell line C4-2,GSM4277536
SRR10918471,60298090,6029809000,100,3485,SRX7585784,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP243638,PRJNA602407,33795875,"",SRS6019441,SAMN13895114,simple,9606,Homo sapiens,GSM4277537,GEO,SRA1029145,12,2020,Yi,shFBL_rep2_RNA_seq,shFBL_rep2_RNA_seq,shFBL_rep2_RNA_seq,shFBL,Human PCa cell line C4-2,GSM4277537
SRR10918472,39462057,11838617100,150,4740,SRX7585785,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP243638,PRJNA602407,33795875,"",SRS6019444,SAMN13895113,simple,9606,Homo sapiens,GSM4277538,GEO,SRA1029145,12,2020,Yi,shCTRL_rep1_Ribo_seq,shCTRL_rep1_Ribo_seq,shCTRL_rep1_Ribo_seq,shCTRL,Human PCa cell line C4-2,GSM4277538
