Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,experiment,GEO Accession
SRR12749599,33244652,2467971617,74,936,SRX9221556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455257,SAMN16320410,simple,10090,Mus musculus,GSM4812183,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_bas_rna_rep1,mouse hippocampal slice,Tsc2+/-,vehicle,RNA-seq,GSM4812183
SRR12749600,33233079,2476260812,74,939,SRX9221557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455258,SAMN16320404,simple,10090,Mus musculus,GSM4812184,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_bas_rna_rep2,mouse hippocampal slice,Tsc2+/-,vehicle,RNA-seq,GSM4812184
SRR12749601,35770840,2664622951,74,1012,SRX9221558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455259,SAMN16320415,simple,10090,Mus musculus,GSM4812185,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_bas_rna_rep3,mouse hippocampal slice,Tsc2+/-,vehicle,RNA-seq,GSM4812185
SRR12749602,36415298,2697671925,74,1026,SRX9221559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455260,SAMN16320414,simple,10090,Mus musculus,GSM4812186,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_dhpg_rna_rep1,mouse hippocampal slice,Tsc2+/-,DHPG,RNA-seq,GSM4812186
SRR12749603,34107333,2540119163,74,963,SRX9221560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455261,SAMN16320413,simple,10090,Mus musculus,GSM4812187,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_dhpg_rna_rep2,mouse hippocampal slice,Tsc2+/-,DHPG,RNA-seq,GSM4812187
SRR12749604,35952303,2679567002,74,1013,SRX9221561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455262,SAMN16320412,simple,10090,Mus musculus,GSM4812188,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,tsc_dhpg_rna_rep3,mouse hippocampal slice,Tsc2+/-,DHPG,RNA-seq,GSM4812188
SRR12749605,24909422,1856720016,74,719,SRX9221562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455263,SAMN16320411,simple,10090,Mus musculus,GSM4812189,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_bas_rna_rep1,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4812189
SRR12749606,37125059,2760131042,74,1045,SRX9221563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455264,SAMN16320409,simple,10090,Mus musculus,GSM4812190,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_bas_rna_rep2,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4812190
SRR12749607,33325635,2483365401,74,953,SRX9221564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455265,SAMN16320408,simple,10090,Mus musculus,GSM4812191,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_bas_rna_rep3,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4812191
SRR12749608,29794891,2218696442,74,848,SRX9221565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455266,SAMN16320407,simple,10090,Mus musculus,GSM4812192,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_dhpg_rna_rep1,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4812192
SRR12749609,27782255,2064048654,74,781,SRX9221566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP246149,PRJNA603987,33054857,"",SRS7455267,SAMN16320406,simple,10090,Mus musculus,GSM4812193,GEO,SRA1034681,10,2020,Hien,mouse hippocampal slice,wt_dhpg_rna_rep2,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4812193
