Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,library,GEO Accession
SRR11005867,43821482,3330432632,76,1312,SRX7666622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094852,SAMN13975836,simple,9606,Homo sapiens,GSM4293599,GEO,SRA1036472,08,2020,Gaertner,LINC00261 KO hESCs were differentiated to the PP2 stage,Hs_H1_BG113_d13_LINC00261_6-8_RNAseq_1,LINC00261 KO hESCs were differentiated to the PP2 stage,H1 ES cells,ES-derived late pancreatic progenitor cells,LINC00261-/-,"polyA, stranded",GSM4293599
SRR11005868,20626083,1546956225,75,646,SRX7666623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094853,SAMN13975835,simple,9606,Homo sapiens,GSM4293600,GEO,SRA1036472,08,2020,Gaertner,hESCs with bilallelic frameshifts in LINC00261 sORF1 were differentiated to the PP2 stage,Hs_H1_BG129_d13_LINC00261-sORF3-3_RNAseq_1,hESCs with bilallelic frameshifts in LINC00261 sORF1 were differentiated to the PP2 stage,H1 ES cells,ES-derived late pancreatic progenitor cells,LINC00261 sORF1 frameshift,"polyA, stranded",GSM4293600
SRR11005869,19945377,1495903275,75,625,SRX7666624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094854,SAMN13975834,simple,9606,Homo sapiens,GSM4293601,GEO,SRA1036472,08,2020,Gaertner,hESCs with bilallelic frameshifts in LINC00261 sORF1 were differentiated to the PP2 stage,Hs_H1_BG130_d13_LINC00261-sORF3-10_RNAseq_1,hESCs with bilallelic frameshifts in LINC00261 sORF1 were differentiated to the PP2 stage,H1 ES cells,ES-derived late pancreatic progenitor cells,LINC00261 sORF1 frameshift,"polyA, stranded",GSM4293601
SRR11005828,47043182,2352159100,50,734,SRX7666625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP246901,PRJNA604580,32744504,"",SRS6094855,SAMN13975823,simple,9606,Homo sapiens,GSM4293560,GEO,SRA1036472,08,2020,Gaertner,Unmodified hESCs were differentiated to the definitive endoderm stage,Hs_H1_day3_ctrl_RNAseq_1,Unmodified hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,WT,"polyA, stranded",GSM4293560
SRR11005829,26876288,1343814400,50,519,SRX7666626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094856,SAMN13975822,simple,9606,Homo sapiens,GSM4293561,GEO,SRA1036472,08,2020,Gaertner,Unmodified hESCs were differentiated to the definitive endoderm stage,Hs_H1_BG058_d3_ctrl_RNAseq_1,Unmodified hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,WT,"polyA, stranded",GSM4293561
SRR11005830,46518706,2325935300,50,724,SRX7666627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP246901,PRJNA604580,32744504,"",SRS6094857,SAMN13975821,simple,9606,Homo sapiens,GSM4293562,GEO,SRA1036472,08,2020,Gaertner,GATA6-AS1 KO hESCs were differentiated to the definitive endoderm stage,Hs_H1_day3_GATA6-AS1-KO_RNAseq_1,GATA6-AS1 KO hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,GATA6-AS1-/-,"polyA, stranded",GSM4293562
SRR11005831,26403017,1320150850,50,511,SRX7666628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094858,SAMN13975820,simple,9606,Homo sapiens,GSM4293563,GEO,SRA1036472,08,2020,Gaertner,GATA6-AS1 KO hESCs were differentiated to the definitive endoderm stage,Hs_H1_BG058_d3_GATA6-AS1_7_RNAseq_1,GATA6-AS1 KO hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,GATA6-AS1-/-,"polyA, stranded",GSM4293563
SRR11005832,28381534,1419076700,50,531,SRX7666629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094859,SAMN13975819,simple,9606,Homo sapiens,GSM4293564,GEO,SRA1036472,08,2020,Gaertner,RP11-445F12.1 KO hESCs were differentiated to the definitive endoderm stage,Hs_H1_BG042_d3_445F12.1_16_RNAseq_1,RP11-445F12.1 KO hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,RP11-445F12.1-/-,"polyA, stranded",GSM4293564
SRR11005833,38263551,1913177550,50,727,SRX7666630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094860,SAMN13975818,simple,9606,Homo sapiens,GSM4293565,GEO,SRA1036472,08,2020,Gaertner,RP11-445F12.1 KO hESCs were differentiated to the definitive endoderm stage,Hs_H1_BG043_d3_445F12.1_34_RNAseq_1,RP11-445F12.1 KO hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,RP11-445F12.1-/-,"polyA, stranded",GSM4293565
SRR11005834,26533903,1326695150,50,495,SRX7666631,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP246901,PRJNA604580,32744504,"",SRS6094861,SAMN13975824,simple,9606,Homo sapiens,GSM4293566,GEO,SRA1036472,08,2020,Gaertner,LINC00261 KO hESCs were differentiated to the definitive endoderm stage,Hs_H1_BG049_d3_Alien-GATA6-AS1_RNAseq_1,LINC00261 KO hESCs were differentiated to the definitive endoderm stage,H1 ES cells,ES-derived definitive endoderm cells,LINC00261-/-,"polyA, stranded",GSM4293566
