Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,condition,molecule,GEO Accession
SRR11041297,48399355,2419967750,50,768,SRX7693057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118708,SAMN14064630,simple,9606,Homo sapiens,GSM4258287,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_sh1_48_rep2,Mutu cell line,DDX3Xsh,polyA RNA,GSM4258287
SRR11041289,44391430,2219571500,50,692,SRX7693058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118709,SAMN14064652,simple,9606,Homo sapiens,GSM4258279,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_ctl_24_rep1,Mutu cell line,control,polyA RNA,GSM4258279
SRR11041290,37874639,1893731950,50,598,SRX7693059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118710,SAMN14064651,simple,9606,Homo sapiens,GSM4258280,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_ctl_24_rep2,Mutu cell line,control,polyA RNA,GSM4258280
SRR11041291,16432391,821619550,50,256,SRX7693060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118711,SAMN14064650,simple,9606,Homo sapiens,GSM4258281,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_ctl_48_rep1,Mutu cell line,control,polyA RNA,GSM4258281
SRR11041292,45022858,2251142900,50,706,SRX7693061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118712,SAMN14064649,simple,9606,Homo sapiens,GSM4258282,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_ctl_48_rep2,Mutu cell line,control,polyA RNA,GSM4258282
SRR11041293,55473821,2773691050,50,882,SRX7693062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118713,SAMN14064648,simple,9606,Homo sapiens,GSM4258283,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_ctl_48_rep3,Mutu cell line,control,polyA RNA,GSM4258283
SRR11041294,46373284,2318664200,50,721,SRX7693063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118714,SAMN14064647,simple,9606,Homo sapiens,GSM4258284,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_sh1_24_rep1,Mutu cell line,DDX3Xsh,polyA RNA,GSM4258284
SRR11041295,10334453,516722650,50,162,SRX7693064,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118715,SAMN14064646,simple,9606,Homo sapiens,GSM4258285,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_sh2_24_rep1,Mutu cell line,DDX3Xsh,polyA RNA,GSM4258285
SRR11041329,57552947,2877647350,50,883,SRX7693065,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118716,SAMN14064632,simple,9606,Homo sapiens,GSM4258319,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh2_48_rep1,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258319
SRR11041330,67409457,3370472850,50,1057,SRX7693066,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118717,SAMN14064631,simple,9606,Homo sapiens,GSM4258320,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh2_48_rep2,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258320
SRR11041296,39001426,1950071300,50,606,SRX7693067,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118718,SAMN14064645,simple,9606,Homo sapiens,GSM4258286,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_sh1_48_rep1,Mutu cell line,DDX3Xsh,polyA RNA,GSM4258286
SRR11041298,38533432,1926671600,50,599,SRX7693068,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118719,SAMN14064629,simple,9606,Homo sapiens,GSM4258288,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_sh2_48_rep1,Mutu cell line,DDX3Xsh,polyA RNA,GSM4258288
SRR11041299,44967261,2248363050,50,713,SRX7693069,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118720,SAMN14064628,simple,9606,Homo sapiens,GSM4258289,GEO,SRA1039504,09,2021,Gong,Mutu cell line,RNA_Mutu_sh2_48_rep2,Mutu cell line,DDX3Xsh,polyA RNA,GSM4258289
SRR11041300,63972902,3198645100,50,949,SRX7693070,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118721,SAMN14064627,simple,9606,Homo sapiens,GSM4258290,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_ctl_24_rep1,Mutu cell line,control,Ribosomal footprints,GSM4258290
SRR11041301,98266697,4913334850,50,1488,SRX7693071,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118722,SAMN14064626,simple,9606,Homo sapiens,GSM4258291,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_ctl_24_rep2,Mutu cell line,control,Ribosomal footprints,GSM4258291
SRR11041302,14954213,747710650,50,223,SRX7693072,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118723,SAMN14064625,simple,9606,Homo sapiens,GSM4258292,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_ctl_48_rep1,Mutu cell line,control,Ribosomal footprints,GSM4258292
SRR11041303,77726054,3886302700,50,1200,SRX7693073,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118724,SAMN14064624,simple,9606,Homo sapiens,GSM4258293,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_ctl_48_rep2,Mutu cell line,control,Ribosomal footprints,GSM4258293
SRR11041304,48150556,2407527800,50,709,SRX7693074,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118725,SAMN14064623,simple,9606,Homo sapiens,GSM4258294,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_sh1_24_rep1,Mutu cell line,DDX3Xsh,Ribosomal footprints,GSM4258294
SRR11041305,45341089,2267054450,50,666,SRX7693075,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118726,SAMN14064622,simple,9606,Homo sapiens,GSM4258295,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_sh1_48_rep1,Mutu cell line,DDX3Xsh,Ribosomal footprints,GSM4258295
SRR11041306,62742080,3137104000,50,941,SRX7693076,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118727,SAMN14064621,simple,9606,Homo sapiens,GSM4258296,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_sh2_24_rep1,Mutu cell line,DDX3Xsh,Ribosomal footprints,GSM4258296
SRR11041307,77222448,3861122400,50,1138,SRX7693077,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118728,SAMN14064620,simple,9606,Homo sapiens,GSM4258297,GEO,SRA1039504,09,2021,Gong,Mutu cell line,Ribo_Mutu_sh2_48_rep1,Mutu cell line,DDX3Xsh,Ribosomal footprints,GSM4258297
SRR11041308,59885396,2994269800,50,930,SRX7693078,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118729,SAMN14064619,simple,9606,Homo sapiens,GSM4258298,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_ctl_24_rep1,U2392 cell line,control,polyA RNA,GSM4258298
SRR11041309,26674307,1333715350,50,415,SRX7693079,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118730,SAMN14064618,simple,9606,Homo sapiens,GSM4258299,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_ctl_24_rep2,U2392 cell line,control,polyA RNA,GSM4258299
SRR11041310,47576151,2378807550,50,759,SRX7693080,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118731,SAMN14064617,simple,9606,Homo sapiens,GSM4258300,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_ctl_24_rep3,U2392 cell line,control,polyA RNA,GSM4258300
SRR11041311,33725857,1686292850,50,523,SRX7693081,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118732,SAMN14064659,simple,9606,Homo sapiens,GSM4258301,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_ctl_48_rep1,U2392 cell line,control,polyA RNA,GSM4258301
