Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,molecule subtype,GEO Accession
SRR11179726,89849690,9074818690,101,4205,SRX7800375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250700,PRJNA608705,34016977,"",SRS6215252,SAMN14206756,simple,4932,Saccharomyces cerevisiae,GSM4339085,GEO,SRA1048055,03,2021,Young,WT_whole cells,WT [DY134Ffx],WT_whole cells,WT (BY4741),40S Ribosome-protected RNA 15-80 nt,GSM4339085
SRR11179727,67916383,6859554683,101,3156,SRX7800376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250700,PRJNA608705,34016977,"",SRS6215253,SAMN14206754,simple,4932,Saccharomyces cerevisiae,GSM4339086,GEO,SRA1048055,03,2021,Young,rpl11b∆_whole cells,rpl11b∆ [DY135Ffx],rpl11b∆_whole cells,rpl11b{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339086
SRR11179728,85829293,8668758593,101,4025,SRX7800377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250700,PRJNA608705,34016977,"",SRS6215254,SAMN14206752,simple,4932,Saccharomyces cerevisiae,GSM4339087,GEO,SRA1048055,03,2021,Young,tma64∆/tma20∆_whole cells,tma64∆/tma20∆ [DY136Ffx],tma64∆/tma20∆_whole cells,tma64{delta}/tma20{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339087
SRR11179729,93325194,9425844594,101,4380,SRX7800378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250700,PRJNA608705,34016977,"",SRS6215255,SAMN14206751,simple,4932,Saccharomyces cerevisiae,GSM4339088,GEO,SRA1048055,03,2021,Young,tma64∆/tma22∆_whole cells,tma64∆/tma22∆ [DY137Ffx],tma64∆/tma22∆_whole cells,tma64{delta}/tma22{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339088
SRR11179730,28572266,875716989,30,398,SRX7800379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215256,SAMN14206749,simple,4932,Saccharomyces cerevisiae,GSM4339089,GEO,SRA1048055,03,2021,Young,tma20∆_whole cells,tma20∆ [DY154Ffx],tma20∆_whole cells,tma20{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339089
SRR11179731,76177581,2294973502,30,1046,SRX7800380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215257,SAMN14206748,simple,4932,Saccharomyces cerevisiae,GSM4339090,GEO,SRA1048055,03,2021,Young,tma22∆_whole cells,tma22∆ [DY155Ffx],tma22∆_whole cells,tma22{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339090
SRR11179732,92234927,2784052874,30,1269,SRX7800381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215258,SAMN14206746,simple,4932,Saccharomyces cerevisiae,GSM4339091,GEO,SRA1048055,03,2021,Young,tma64∆_whole cells,tma64∆ [DY156Ffx],tma64∆_whole cells,tma64{delta},40S Ribosome-protected RNA 15-80 nt,GSM4339091
SRR11179733,69626874,2164822194,31,984,SRX7800382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215259,SAMN14206744,simple,4932,Saccharomyces cerevisiae,GSM4339092,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33_whole cells,tma22∆ YCplac33 [DY158Ffx],tma22∆ YCplac33_whole cells,tma22{delta} YCplac33,40S Ribosome-protected RNA 15-80 nt,GSM4339092
SRR11179734,89430986,2690788039,30,1229,SRX7800383,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215260,SAMN14206743,simple,4932,Saccharomyces cerevisiae,GSM4339093,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-TMA22_whole cells,tma22∆ YCplac33-TMA22 [DY159Ffx],tma22∆ YCplac33-TMA22_whole cells,tma22{delta} YCplac33-TMA22,40S Ribosome-protected RNA 15-80 nt,GSM4339093
SRR11179735,54462747,1639301606,30,748,SRX7800384,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP250700,PRJNA608705,34016977,"",SRS6215261,SAMN14206741,simple,4932,Saccharomyces cerevisiae,GSM4339094,GEO,SRA1048055,03,2021,Young,tma22∆ YCplac33-tma22-C11Y_whole cells,tma22∆ YCplac33-tma22-C11Y [DY160Ffx],tma22∆ YCplac33-tma22-C11Y_whole cells,tma22{delta} YCplac33-tma22-C11Y,40S Ribosome-protected RNA 15-80 nt,GSM4339094
