Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age,Sex,number of mice,tissue,cell type,GEO Accession
SRR11195675,22315263,2253841563,101,874,SRX7815644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234637,SAMN14238127,simple,10090,Mus musculus,GSM4364117,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT1,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364117
SRR11195676,22580890,2280669890,101,891,SRX7815644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234637,SAMN14238127,simple,10090,Mus musculus,GSM4364117,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT1,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364118
SRR11195677,22498813,2272380113,101,878,SRX7815645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234638,SAMN14238126,simple,10090,Mus musculus,GSM4364118,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT2,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364119
SRR11195678,22776688,2300445488,101,894,SRX7815645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234638,SAMN14238126,simple,10090,Mus musculus,GSM4364118,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT2,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364120
SRR11195679,34319220,3466241220,101,1340,SRX7815646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234639,SAMN14238125,simple,10090,Mus musculus,GSM4364119,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT4,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) control,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364121
SRR11195680,34740457,3508786157,101,1365,SRX7815646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234639,SAMN14238125,simple,10090,Mus musculus,GSM4364119,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT4,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364122
SRR11195681,26995503,2726545803,101,1050,SRX7815647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234640,SAMN14238124,simple,10090,Mus musculus,GSM4364120,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT5,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364123
SRR11195682,27322439,2759566339,101,1070,SRX7815647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234640,SAMN14238124,simple,10090,Mus musculus,GSM4364120,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT5,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364124
SRR11195683,12782074,1290989474,101,500,SRX7815648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234641,SAMN14238123,simple,10090,Mus musculus,GSM4364121,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT6,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364125
SRR11195684,12942586,1307201186,101,510,SRX7815648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP250981,PRJNA609143,33306108,"",SRS6234641,SAMN14238123,simple,10090,Mus musculus,GSM4364121,GEO,SRA1048958,11,2020,Saveliev,Activated CD19+ B cells,WT6,Activated CD19+ B cells,C57BL/6,Zfp36l1(fl/fl) CD79a-cre cKO,8 to 11 weeks,female,1,Peripheral and mesenteric LN,LN CD19+ B cells,GSM4364126
