Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,ecotype,genotype,age,fraction,GEO Accession
SRR11235135,82737356,8273735600,100,2615,SRX7846973,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252609,SAMN14278923,simple,3702,Arabidopsis thaliana,GSM4378502,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_T_R1,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Total RNA,GSM4378502
SRR11235136,67105428,6710542800,100,2134,SRX7846974,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252610,SAMN14279049,simple,3702,Arabidopsis thaliana,GSM4378503,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_T_R2,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Total RNA,GSM4378503
SRR11235137,80620545,8062054500,100,2570,SRX7846975,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252611,SAMN14279048,simple,3702,Arabidopsis thaliana,GSM4378504,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_T_R3,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Total RNA,GSM4378504
SRR11235138,67800793,6780079300,100,2177,SRX7846976,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252612,SAMN14279047,simple,3702,Arabidopsis thaliana,GSM4378505,GEO,SRA1050872,09,2020,Raxwal,Leaves,Upf1_T_R1,Leaves,Columbia-0 (Col-0),upf1-3 pad4-1,3 week,Total RNA,GSM4378505
SRR11235139,96818708,9681870800,100,3113,SRX7846977,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252613,SAMN14279046,simple,3702,Arabidopsis thaliana,GSM4378506,GEO,SRA1050872,09,2020,Raxwal,Leaves,Upf1_T_R2,Leaves,Columbia-0 (Col-0),upf1-3 pad4-1,3 week,Total RNA,GSM4378506
SRR11235140,77897405,7789740500,100,2506,SRX7846978,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252614,SAMN14279045,simple,3702,Arabidopsis thaliana,GSM4378507,GEO,SRA1050872,09,2020,Raxwal,Leaves,Upf1_T_R3,Leaves,Columbia-0 (Col-0),upf1-3 pad4-1,3 week,Total RNA,GSM4378507
SRR11235141,63958928,6395892800,100,2042,SRX7846979,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252615,SAMN14279044,simple,3702,Arabidopsis thaliana,GSM4378508,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_M_R1,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Monosmal RNA,GSM4378508
SRR11235142,60482243,6048224300,100,1982,SRX7846980,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252616,SAMN14278922,simple,3702,Arabidopsis thaliana,GSM4378509,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_M_R2,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Monosmal RNA,GSM4378509
SRR11235143,47709977,4770997700,100,1482,SRX7846981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252617,SAMN14279043,simple,3702,Arabidopsis thaliana,GSM4378510,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_M_R3,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Monosmal RNA,GSM4378510
SRR11235144,61095751,6109575100,100,1942,SRX7846982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP251507,PRJNA610184,32665305,"",SRS6252618,SAMN14279042,simple,3702,Arabidopsis thaliana,GSM4378511,GEO,SRA1050872,09,2020,Raxwal,Leaves,Pad4_P_R1,Leaves,Columbia-0 (Col-0),pad4-1,3 week,Polysomal RNA,GSM4378511
