Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental window,developmental stage,replicate,GEO Accession
SRR11431992,5985799,305275749,51,177,SRX8010208,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP254283,PRJNA615808,32471506,"",SRS6383794,SAMN14467027,simple,7227,Drosophila melanogaster,GSM4435495,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435495 is currently private and is scheduled to be released on Jun 26, 2020.",Embryo,8-16 hours,mid,replicate T,GSM4435495
SRR11431993,279543929,8301958374,29,3734,SRX8010208,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP254283,PRJNA615808,32471506,"",SRS6383794,SAMN14467027,simple,7227,Drosophila melanogaster,GSM4435495,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435495 is currently private and is scheduled to be released on Jun 26, 2020.",S2 cell,N/A,N/A,N/A,GSM4435496
SRR11431994,178496111,9103301661,51,3689,SRX8010209,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP254283,PRJNA615808,32471506,"",SRS6383795,SAMN14467026,simple,7227,Drosophila melanogaster,GSM4435496,GEO,SRA1059840,04,2020,Patraquim,Embryo,mid_polysome_T,Embryo,8-16 hours,mid,replicate T,GSM4435497
SRR11431995,110856905,5653702155,51,2267,SRX8010210,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP254283,PRJNA615808,32471506,"",SRS6383796,SAMN14467025,simple,7227,Drosophila melanogaster,GSM4435497,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435497 is currently private and is scheduled to be released on Jun 26, 2020.",S2 cell,N/A,N/A,N/A,GSM4435498
SRR11431996,322959034,24544886584,76,8881,SRX8010211,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP254283,PRJNA615808,32471506,"",SRS6383797,SAMN14467024,simple,7227,Drosophila melanogaster,GSM4435498,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435498 is currently private and is scheduled to be released on Jun 26, 2020.",Embryo,8-16 hours,mid,replicate T,GSM4435499
SRR11431997,170312394,12943741944,76,4375,SRX8010212,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP254283,PRJNA615808,32471506,"",SRS6383798,SAMN14467018,simple,7227,Drosophila melanogaster,GSM4435499,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435499 is currently private and is scheduled to be released on Jun 26, 2020.",S2 cell,N/A,N/A,N/A,GSM4435500
SRR11431998,158351452,12034710352,76,4140,SRX8010213,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP254283,PRJNA615808,32471506,"",SRS6383799,SAMN14467017,simple,7227,Drosophila melanogaster,GSM4435500,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435500 is currently private and is scheduled to be released on Jun 26, 2020.",Embryo,8-16 hours,mid,replicate T,GSM4435501
SRR11431999,19927928,1016324328,51,566,SRX8010214,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP254283,PRJNA615808,32471506,"",SRS6383800,SAMN14467023,simple,7227,Drosophila melanogaster,GSM4435501,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435501 is currently private and is scheduled to be released on Jun 26, 2020.",S2 cell,N/A,N/A,N/A,GSM4435502
SRR11432000,19889721,1511618796,76,534,SRX8010214,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP254283,PRJNA615808,32471506,"",SRS6383800,SAMN14467023,simple,7227,Drosophila melanogaster,GSM4435501,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435501 is currently private and is scheduled to be released on Jun 26, 2020.",Embryo,8-16 hours,mid,replicate T,GSM4435503
SRR11432001,14737943,2225429393,151,1195,SRX8010215,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP254283,PRJNA615808,32471506,"",SRS6383801,SAMN14467022,simple,7227,Drosophila melanogaster,GSM4435502,GEO,SRA1059840,04,2020,Patraquim,"","GEO accession GSM4435502 is currently private and is scheduled to be released on Jun 26, 2020.",S2 cell,N/A,N/A,N/A,GSM4435504
