Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,replicate,molecule subtype,GEO Accession
SRR11505146,9726,495634,50,0,SRX8077273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP255633,PRJNA623612,35585045,"",SRS6445728,SAMN14554495,simple,9606,Homo sapiens,GSM4458887,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T ribosome profiling from 293_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,replicate 1,ribosome protected RNA,GSM4458887
SRR11505147,10096,514337,50,0,SRX8077274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP255633,PRJNA623612,35585045,"",SRS6445729,SAMN14554494,simple,9606,Homo sapiens,GSM4458888,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T ribosome profiling from 293_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,replicate 2,ribosome protected RNA,GSM4458888
SRR11505148,10261,522867,50,0,SRX8077275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP255633,PRJNA623612,35585045,"",SRS6445731,SAMN14554493,simple,9606,Homo sapiens,GSM4458889,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T ribosome profiling from guide1_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,replicate 1,ribosome protected RNA,GSM4458889
SRR11505149,8778,447374,50,0,SRX8077276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP255633,PRJNA623612,35585045,"",SRS6445732,SAMN14554492,simple,9606,Homo sapiens,GSM4458890,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T ribosome profiling from guide1_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,replicate 2,ribosome protected RNA,GSM4458890
SRR11505150,10177,518536,50,0,SRX8077277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP255633,PRJNA623612,35585045,"",SRS6445734,SAMN14554491,simple,9606,Homo sapiens,GSM4458891,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T ribosome profiling from guide2_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 2,replicate 1,ribosome protected RNA,GSM4458891
SRR11505151,10640,542151,50,0,SRX8077278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP255633,PRJNA623612,35585045,"",SRS6445733,SAMN14554490,simple,9606,Homo sapiens,GSM4458892,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T ribosome profiling from guide2_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 2,replicate 2,ribosome protected RNA,GSM4458892
SRR11505152,17431294,5229388200,150,2087,SRX8077279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255633,PRJNA623612,35585045,"",SRS6445735,SAMN14554489,simple,9606,Homo sapiens,GSM4458893,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from 293_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,replicate 1,poly(A)+ RNA,GSM4458893
SRR11505153,18972547,5691764100,150,2238,SRX8077280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255633,PRJNA623612,35585045,"",SRS6445737,SAMN14554488,simple,9606,Homo sapiens,GSM4458894,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from 293_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,replicate 2,poly(A)+ RNA,GSM4458894
SRR11505154,19088689,5726606700,150,2273,SRX8077281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255633,PRJNA623612,35585045,"",SRS6445743,SAMN14554487,simple,9606,Homo sapiens,GSM4458895,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from guide1_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,replicate 1,poly(A)+ RNA,GSM4458895
SRR11505155,17208628,5162588400,150,2033,SRX8077282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255633,PRJNA623612,35585045,"",SRS6445738,SAMN14554486,simple,9606,Homo sapiens,GSM4458896,GEO,SRA1063634,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from guide1_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,replicate 2,poly(A)+ RNA,GSM4458896
