Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,strain background,genotype,GEO Accession
SRR11539365,43834145,3024556005,69,1074,SRX8110124,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475211,SAMN14589540,simple,10090,Mus musculus,GSM4473269,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq WT mESCs replicate A,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),WT,GSM4473269
SRR11539366,27174309,1875027321,69,670,SRX8110125,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475210,SAMN14589539,simple,10090,Mus musculus,GSM4473270,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq WT mESCs replicate B,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),WT,GSM4473270
SRR11539367,45182867,3117617823,69,1105,SRX8110126,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475212,SAMN14589538,simple,10090,Mus musculus,GSM4473271,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf1-/- mESCs replicate A,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf1-/-,GSM4473271
SRR11539368,39413933,2719561377,69,963,SRX8110127,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475214,SAMN14589537,simple,10090,Mus musculus,GSM4473272,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf1-/- mESCs replicate B,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf1-/-,GSM4473272
SRR11539369,41417867,2857832823,69,1024,SRX8110128,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475213,SAMN14589536,simple,10090,Mus musculus,GSM4473273,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf2-/- mESCs replicate A,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf2-/-,GSM4473273
SRR11539370,28553288,1970176872,69,695,SRX8110129,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475215,SAMN14589535,simple,10090,Mus musculus,GSM4473274,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf2-/- mESCs replicate B,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf2-/-,GSM4473274
SRR11539371,32224758,2223508302,69,788,SRX8110130,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475216,SAMN14589534,simple,10090,Mus musculus,GSM4473275,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf3-/- mESCs replicate A,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf3-/-,GSM4473275
SRR11539372,41009721,2829670749,69,1001,SRX8110131,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475217,SAMN14589533,simple,10090,Mus musculus,GSM4473276,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf3-/- mESCs replicate B,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf3-/-,GSM4473276
SRR11539373,36252007,2501388483,69,896,SRX8110132,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475218,SAMN14589532,simple,10090,Mus musculus,GSM4473277,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf1/2/3-triple-KO mESCs replicate A,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf1-/-Ythdf2-/-Ythdf3-/-,GSM4473277
SRR11539374,27720854,1912738926,69,677,SRX8110133,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP256256,PRJNA624906,1,"",SRS6475220,SAMN14589531,simple,10090,Mus musculus,GSM4473278,GEO,SRA1065062,06,2020,Makar,mouse embryonic stem cells,Ribo-seq Ythdf1/2/3-triple-KO mESCs replicate B,mouse embryonic stem cells,KH2,mouse embryonic stem cells (mESCs),(C57BL/6 x 129/Sv),Ythdf1-/-Ythdf2-/-Ythdf3-/-,GSM4473278
