Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,GEO Accession
SRR11575353,63966757,18055566728,142,5481,SRX8143281,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506189,SAMN14646159,simple,9606,Homo sapiens,GSM4486700,GEO,SRA1067208,12,2020,Makar,shNC_M6a_IP,shNC_M6a_IP_1,shNC_M6a_IP,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486700
SRR11575354,63569929,18115603746,143,5523,SRX8143282,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506190,SAMN14646172,simple,9606,Homo sapiens,GSM4486701,GEO,SRA1067208,12,2020,Makar,shNC_M6a_IP,shNC_M6a_IP_2,shNC_M6a_IP,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486701
SRR11575355,61265518,17757470192,146,5286,SRX8143283,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506191,SAMN14646171,simple,9606,Homo sapiens,GSM4486702,GEO,SRA1067208,12,2020,Makar,shMETTL3_M6a_IP,shMETTL3_M6a_IP_1,shMETTL3_M6a_IP,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,METTL3 knockdown,GSM4486702
SRR11575356,56156644,16278341428,146,4875,SRX8143284,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506192,SAMN14646170,simple,9606,Homo sapiens,GSM4486703,GEO,SRA1067208,12,2020,Makar,shMETTL3_M6a_IP,shMETTL3_M6a_IP_2,shMETTL3_M6a_IP,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,METTL3 knockdown,GSM4486703
SRR11575357,67980379,19135609492,142,5849,SRX8143285,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506193,SAMN14646169,simple,9606,Homo sapiens,GSM4486704,GEO,SRA1067208,12,2020,Makar,shNC_M6a_Input,shNC_M6a_Input_1,shNC_M6a_Input,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486704
SRR11575358,68874779,19444530763,142,5930,SRX8143286,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506194,SAMN14646168,simple,9606,Homo sapiens,GSM4486705,GEO,SRA1067208,12,2020,Makar,shNC_M6a_Input,shNC_M6a_Input_2,shNC_M6a_Input,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486705
SRR11575359,89536982,25692771912,144,7666,SRX8143287,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506195,SAMN14646167,simple,9606,Homo sapiens,GSM4486706,GEO,SRA1067208,12,2020,Makar,shMETTL3_M6a_Input,shMETTL3_M6a_Input_1,shMETTL3_M6a_Input,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,METTL3 knockdown,GSM4486706
SRR11575360,97916929,27964447058,144,8368,SRX8143288,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506196,SAMN14646166,simple,9606,Homo sapiens,GSM4486707,GEO,SRA1067208,12,2020,Makar,shMETTL3_M6a_Input,shMETTL3_M6a_Input_2,shMETTL3_M6a_Input,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,METTL3 knockdown,GSM4486707
SRR11575361,28526180,8557854000,150,2533,SRX8143289,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506197,SAMN14646165,simple,9606,Homo sapiens,GSM4486708,GEO,SRA1067208,12,2020,Makar,shNC_RNC,shNC_RNC_1,shNC_RNC,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486708
SRR11575362,28922902,8676870600,150,2544,SRX8143290,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506198,SAMN14646164,simple,9606,Homo sapiens,GSM4486709,GEO,SRA1067208,12,2020,Makar,shNC_RNC,shNC_RNC_2,shNC_RNC,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486709
SRR11575363,27081489,8124446700,150,2402,SRX8143291,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP257540,PRJNA626630,1,"",SRS6506199,SAMN14646163,simple,9606,Homo sapiens,GSM4486710,GEO,SRA1067208,12,2020,Makar,shNC_RNC,shNC_RNC_3,shNC_RNC,HTR8/SVneo cells,immortalized first-trimester invasive trophoblast cell line,control,GSM4486710
