Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,growth protocol,genotype,molecule subtype,GEO Accession
SRR11579590,50102074,2498129107,49,844,SRX8147318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509919,SAMN14651801,simple,4932,Saccharomyces cerevisiae,GSM4487463,GEO,SRA1067566,03,2021,Makino,X2180-1a; rny1Δ::natNT2,rna_growing_rny1_total,X2180-1a; rny1Δ::natNT2,YPD,rny1{delta},total RNA,GSM4487463
SRR11579591,50384510,2509449653,49,862,SRX8147319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509920,SAMN14651800,simple,4932,Saccharomyces cerevisiae,GSM4487464,GEO,SRA1067566,03,2021,Makino,X2180-1a; rny1Δ::natNT2,rna_growing_rny1_vacuole,X2180-1a; rny1Δ::natNT2,YPD,rny1{delta},vacuolar RNA,GSM4487464
SRR11579592,59428462,2963068341,49,1002,SRX8147320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509921,SAMN14651799,simple,4932,Saccharomyces cerevisiae,GSM4487465,GEO,SRA1067566,03,2021,Makino,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",rna_growing_rny1atg2_total,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",YPD,rny1{delta}atg2{delta},total RNA,GSM4487465
SRR11579593,51988010,2589184480,49,891,SRX8147321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509922,SAMN14651798,simple,4932,Saccharomyces cerevisiae,GSM4487466,GEO,SRA1067566,03,2021,Makino,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",rna_growing_rny1atg2_vacuole,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",YPD,rny1{delta}atg2{delta},vacuolar RNA,GSM4487466
SRR11579594,52462778,2618724291,49,884,SRX8147322,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509923,SAMN14651797,simple,4932,Saccharomyces cerevisiae,GSM4487467,GEO,SRA1067566,03,2021,Makino,X2180-1a; rny1Δ::natNT2,rna_rapa_rny1_total_rep1,X2180-1a; rny1Δ::natNT2,YPD +rapamycin for 3 h,rny1{delta},total RNA,GSM4487467
SRR11579595,42434057,2118055189,49,722,SRX8147323,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509924,SAMN14651796,simple,4932,Saccharomyces cerevisiae,GSM4487468,GEO,SRA1067566,03,2021,Makino,X2180-1a; rny1Δ::natNT2,rna_rapa_rny1_total_rep2,X2180-1a; rny1Δ::natNT2,YPD +rapamycin for 3 h,rny1{delta},total RNA,GSM4487468
SRR11579596,52318117,2610877381,49,899,SRX8147324,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509925,SAMN14651795,simple,4932,Saccharomyces cerevisiae,GSM4487469,GEO,SRA1067566,03,2021,Makino,X2180-1a; rny1Δ::natNT2,rna_rapa_rny1_vacuole_rep1,X2180-1a; rny1Δ::natNT2,YPD +rapamycin for 3 h,rny1{delta},vacuolar RNA,GSM4487469
SRR11579597,59234396,2955336430,49,1016,SRX8147325,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509926,SAMN14651794,simple,4932,Saccharomyces cerevisiae,GSM4487470,GEO,SRA1067566,03,2021,Makino,X2180-1a; rny1Δ::natNT2,rna_rapa_rny1_vacuole_rep2,X2180-1a; rny1Δ::natNT2,YPD +rapamycin for 3 h,rny1{delta},vacuolar RNA,GSM4487470
SRR11579598,94305416,4707719670,49,1587,SRX8147326,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509927,SAMN14651793,simple,4932,Saccharomyces cerevisiae,GSM4487471,GEO,SRA1067566,03,2021,Makino,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",rna_rapa_rny1atg2_total_rep1,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",YPD +rapamycin for 3 h,rny1{delta}atg2{delta},total RNA,GSM4487471
SRR11579599,56961465,2843537571,49,962,SRX8147327,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509928,SAMN14651792,simple,4932,Saccharomyces cerevisiae,GSM4487472,GEO,SRA1067566,03,2021,Makino,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",rna_rapa_rny1atg2_total_rep2,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",YPD +rapamycin for 3 h,rny1{delta}atg2{delta},total RNA,GSM4487472
SRR11614347,77058886,3837855908,49,1314,SRX8147328,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509929,SAMN14651791,simple,4932,Saccharomyces cerevisiae,GSM4487473,GEO,SRA1067566,03,2021,Makino,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",rna_rapa_rny1atg2_vacuole_rep1,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",YPD +rapamycin for 3 h,rny1{delta}atg2{delta},vacuolar RNA,GSM4487473
SRR11579601,62541275,3114336503,49,1071,SRX8147329,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509930,SAMN14651790,simple,4932,Saccharomyces cerevisiae,GSM4487474,GEO,SRA1067566,03,2021,Makino,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",rna_rapa_rny1atg2_vacuole_rep2,"X2180-1a; rny1Δ::natNT2, atg2Δ::kanMX6",YPD +rapamycin for 3 h,rny1{delta}atg2{delta},vacuolar RNA,GSM4487474
SRR11579602,33498060,1668857001,49,609,SRX8147330,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509931,SAMN14651789,simple,4932,Saccharomyces cerevisiae,GSM4487475,GEO,SRA1067566,03,2021,Makino,X2180-1a,rna_growing_wt_rep1,X2180-1a,YPD,WT,total RNA,GSM4487475
SRR11579603,44078326,2196764921,49,801,SRX8147331,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509932,SAMN14651788,simple,4932,Saccharomyces cerevisiae,GSM4487476,GEO,SRA1067566,03,2021,Makino,X2180-1a,rna_growing_wt_rep2,X2180-1a,YPD,WT,total RNA,GSM4487476
SRR11579604,34323222,1710594702,49,626,SRX8147332,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509933,SAMN14651787,simple,4932,Saccharomyces cerevisiae,GSM4487477,GEO,SRA1067566,03,2021,Makino,X2180-1a,rna_rapa_1h_wt,X2180-1a,YPD +rapamycin for 1 h,WT,total RNA,GSM4487477
SRR11579605,36885569,1836850272,49,669,SRX8147333,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509934,SAMN14651786,simple,4932,Saccharomyces cerevisiae,GSM4487478,GEO,SRA1067566,03,2021,Makino,X2180-1a,rna_rapa_2h_wt,X2180-1a,YPD +rapamycin for 2 h,WT,total RNA,GSM4487478
SRR11579606,34488514,1718226792,49,627,SRX8147334,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509935,SAMN14651810,simple,4932,Saccharomyces cerevisiae,GSM4487479,GEO,SRA1067566,03,2021,Makino,X2180-1a,rna_rapa_3h_wt,X2180-1a,YPD +rapamycin for 3 h,WT,total RNA,GSM4487479
SRR11579607,13676646,393681801,28,159,SRX8147335,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509936,SAMN14651809,simple,4932,Saccharomyces cerevisiae,GSM4487480,GEO,SRA1067566,03,2021,Makino,X2180-1a,ribo_growing_wt_rep1,X2180-1a,YPD,WT,total RNA,GSM4487480
SRR11579608,6894128,195186987,28,81,SRX8147336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509937,SAMN14651808,simple,4932,Saccharomyces cerevisiae,GSM4487481,GEO,SRA1067566,03,2021,Makino,X2180-1a,ribo_growing_wt_rep2,X2180-1a,YPD,WT,total RNA,GSM4487481
SRR11579609,49069857,1387291701,28,570,SRX8147337,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509938,SAMN14651807,simple,4932,Saccharomyces cerevisiae,GSM4487482,GEO,SRA1067566,03,2021,Makino,X2180-1a,ribo_rapa_1h_wt,X2180-1a,YPD +rapamycin for 1 h,WT,total RNA,GSM4487482
SRR11579610,11760558,334220106,28,142,SRX8147338,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509939,SAMN14651806,simple,4932,Saccharomyces cerevisiae,GSM4487483,GEO,SRA1067566,03,2021,Makino,X2180-1a,ribo_rapa_2h_wt,X2180-1a,YPD +rapamycin for 2 h,WT,total RNA,GSM4487483
SRR11579611,54292586,1546035773,28,632,SRX8147339,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP257699,PRJNA627130,33875662,"",SRS6509940,SAMN14651805,simple,4932,Saccharomyces cerevisiae,GSM4487484,GEO,SRA1067566,03,2021,Makino,X2180-1a,ribo_rapa_3h_wt,X2180-1a,YPD +rapamycin for 3 h,WT,total RNA,GSM4487484
