Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,GEO Accession
SRR11685403,32623930,4893589500,150,1985,SRX8246156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593745,SAMN14829518,simple,3055,Chlamydomonas reinhardtii,GSM4514149,GEO,SRA1072191,05,2020,Makar,CC125,Non-treated rep1 Ribo-Seq,CC125,cc125,,GSM4514149
SRR11685404,26695245,4004286750,150,1617,SRX8246157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593746,SAMN14829517,simple,3055,Chlamydomonas reinhardtii,GSM4514150,GEO,SRA1072191,05,2020,Makar,CC125,Non-treated rep2 Ribo-Seq,CC125,cc125,,GSM4514150
SRR11685405,27059960,4058994000,150,1627,SRX8246158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593747,SAMN14829516,simple,3055,Chlamydomonas reinhardtii,GSM4514151,GEO,SRA1072191,05,2020,Makar,CC125,15 min after-deflagellation rep1 Ribo-Seq,CC125,cc125,,GSM4514151
SRR11685406,26976556,4046483400,150,1618,SRX8246159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593749,SAMN14829515,simple,3055,Chlamydomonas reinhardtii,GSM4514152,GEO,SRA1072191,05,2020,Makar,CC125,15 min after-deflagellation rep2 Ribo-Seq,CC125,cc125,,GSM4514152
SRR11685407,31513437,4727015550,150,1827,SRX8246160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593748,SAMN14829514,simple,3055,Chlamydomonas reinhardtii,GSM4514153,GEO,SRA1072191,05,2020,Makar,CC125,30 min after-deflagellation rep1 Ribo-Seq,CC125,cc125,,GSM4514153
SRR11685408,23367781,3505167150,150,1378,SRX8246161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593750,SAMN14829513,simple,3055,Chlamydomonas reinhardtii,GSM4514154,GEO,SRA1072191,05,2020,Makar,CC125,30 min after-deflagellation rep2 Ribo-Seq,CC125,cc125,,GSM4514154
SRR11685409,16660476,2499071400,150,966,SRX8246162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593751,SAMN14829512,simple,3055,Chlamydomonas reinhardtii,GSM4514155,GEO,SRA1072191,05,2020,Makar,CC125,60 min after-deflagellation rep1 Ribo-Seq,CC125,cc125,,GSM4514155
SRR11685410,25338161,3800724150,150,1466,SRX8246163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593752,SAMN14829511,simple,3055,Chlamydomonas reinhardtii,GSM4514156,GEO,SRA1072191,05,2020,Makar,CC125,60 min after-deflagellation rep2 Ribo-Seq,CC125,cc125,,GSM4514156
SRR11685411,25852634,3877895100,150,1580,SRX8246164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593753,SAMN14829510,simple,3055,Chlamydomonas reinhardtii,GSM4514157,GEO,SRA1072191,05,2020,Makar,CC125,90 min after-deflagellation rep1 Ribo-Seq,CC125,cc125,,GSM4514157
SRR11685412,25342302,3801345300,150,1531,SRX8246165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP260039,PRJNA630259,1,"",SRS6593754,SAMN14829509,simple,3055,Chlamydomonas reinhardtii,GSM4514158,GEO,SRA1072191,05,2020,Makar,CC125,90 min after-deflagellation rep2 Ribo-Seq,CC125,cc125,,GSM4514158
