Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,dox treatment,karyotype,GEO Accession
SRR11798818,38986843,1969451712,50,743,SRX8350260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666829,SAMN14934066,simple,9606,Homo sapiens,GSM4556419,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10;18 Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Monosomy Chr. 10 and 18,GSM4556419
SRR11798819,47418151,2394719523,50,897,SRX8350261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666830,SAMN14934065,simple,9606,Homo sapiens,GSM4556420,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10;18 Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Monosomy Chr. 10 and 18,GSM4556420
SRR11798820,36964133,1867099979,50,705,SRX8350262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666831,SAMN14934064,simple,9606,Homo sapiens,GSM4556421,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10;18 Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Monosomy Chr. 10 and 18,GSM4556421
SRR11798821,33389262,1686239395,50,640,SRX8350263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666832,SAMN14934063,simple,9606,Homo sapiens,GSM4556422,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Monosomy Chr. 13,GSM4556422
SRR11798822,36450949,1840352334,50,696,SRX8350264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666833,SAMN14934062,simple,9606,Homo sapiens,GSM4556423,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Monosomy Chr. 13,GSM4556423
SRR11798823,33361765,1685348889,50,635,SRX8350265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666834,SAMN14934061,simple,9606,Homo sapiens,GSM4556424,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Monosomy Chr. 13,GSM4556424
SRR11798824,32597386,1646133572,50,624,SRX8350266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666835,SAMN14934060,simple,9606,Homo sapiens,GSM4556425,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 p53 KD Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockdown shRNA TP53,n/a,Diploid,GSM4556425
SRR11798825,33901740,1712521270,50,648,SRX8350267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666836,SAMN14934059,simple,9606,Homo sapiens,GSM4556426,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 p53 KD Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockdown shRNA TP53,n/a,Diploid,GSM4556426
SRR11798826,35557457,1795708383,50,686,SRX8350268,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666837,SAMN14934058,simple,9606,Homo sapiens,GSM4556427,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 p53 KD Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockdown shRNA TP53,n/a,Diploid,GSM4556427
SRR11798827,33674822,1700642913,50,648,SRX8350269,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666838,SAMN14934057,simple,9606,Homo sapiens,GSM4556428,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 19p Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockdown shRNA TP53,n/a,Monosomy Chr 19p,GSM4556428
