Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,hdlbp,replicate,GEO Accession
SRR11798966,11456661,584289711,51,195,SRX8350427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6666996,SAMN14934337,simple,9606,Homo sapiens,GSM4556576,GEO,SRA1076030,02,2022,Zinnall,A549 cell line,rna-seq from A549_WT_1,A549 cell line,WT,replicate 1,GSM4556576
SRR11798967,13853991,706553541,51,235,SRX8350428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6666997,SAMN14934336,simple,9606,Homo sapiens,GSM4556577,GEO,SRA1076030,02,2022,Zinnall,A549 cell line,rna-seq from A549_WT_2,A549 cell line,WT,replicate 2,GSM4556577
SRR11798968,11626234,592937934,51,198,SRX8350429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6666998,SAMN14934335,simple,9606,Homo sapiens,GSM4556578,GEO,SRA1076030,02,2022,Zinnall,A549 cell line,rna-seq from A549_WT_3,A549 cell line,WT,replicate 3,GSM4556578
SRR11798969,12022377,613141227,51,203,SRX8350430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6666999,SAMN14934334,simple,9606,Homo sapiens,GSM4556579,GEO,SRA1076030,02,2022,Zinnall,A549 cell line,rna-seq from A549_HDLBP_KO_1,A549 cell line,HDLBP knockout,replicate 1,GSM4556579
SRR11798970,13153252,670815852,51,222,SRX8350431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6667000,SAMN14934333,simple,9606,Homo sapiens,GSM4556580,GEO,SRA1076030,02,2022,Zinnall,A549 cell line,rna-seq from A549_HDLBP_KO_2,A549 cell line,HDLBP knockout,replicate 2,GSM4556580
SRR11798971,16509806,842000106,51,278,SRX8350432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6667001,SAMN14934332,simple,9606,Homo sapiens,GSM4556581,GEO,SRA1076030,02,2022,Zinnall,A549 cell line,rna-seq from A549_HDLBP_KO_3,A549 cell line,HDLBP knockout,replicate 3,GSM4556581
SRR11798972,10970156,559477956,51,188,SRX8350433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6667002,SAMN14934330,simple,9606,Homo sapiens,GSM4556582,GEO,SRA1076030,02,2022,Zinnall,A549 tumor,rna-seq from Tumor_WT_1,A549 tumor,WT,replicate 1,GSM4556582
SRR11798973,11648714,594084414,51,200,SRX8350434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6667003,SAMN14934329,simple,9606,Homo sapiens,GSM4556583,GEO,SRA1076030,02,2022,Zinnall,A549 tumor,rna-seq from Tumor_WT_2,A549 tumor,WT,replicate 2,GSM4556583
SRR11798974,13188728,672625128,51,225,SRX8350435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6667004,SAMN14934328,simple,9606,Homo sapiens,GSM4556584,GEO,SRA1076030,02,2022,Zinnall,A549 tumor,rna-seq from Tumor_WT_3,A549 tumor,WT,replicate 3,GSM4556584
SRR11798975,19650562,1002178662,51,337,SRX8350436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261899,PRJNA633162,35585045,"",SRS6667005,SAMN14934327,simple,9606,Homo sapiens,GSM4556585,GEO,SRA1076030,02,2022,Zinnall,A549 tumor,rna-seq from Tumor_WT_4,A549 tumor,WT,replicate 4,GSM4556585
