Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,biomaterial_provider,isolation_source,sample_type,cell_type,treatment,BioSampleModel,age
SRR11853192,107793306,5605251912,52,1721,SRX8403268,Hippocampal_Neurons_control_0s_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715855,SAMN15014698,simple,10116,Rattus norvegicus,Hippocampal_Neurons_control_0s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,control,Model organism or animal,
SRR11853191,104537604,5435955408,52,1757,SRX8403269,Hippocampal_Neurons_control_0s_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715855,SAMN15014698,simple,10116,Rattus norvegicus,Hippocampal_Neurons_control_0s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,control,Model organism or animal,
SRR11853190,86545541,4500368132,52,1463,SRX8403270,Hippocampal_Neurons_harringtonine_30s_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715856,SAMN15014700,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_30s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_30s,Model organism or animal,
SRR11853189,79639636,4141261072,52,1258,SRX8403271,Hippocampal_Neurons_harringtonine_30s_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715856,SAMN15014700,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_30s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_30s,Model organism or animal,
SRR11853188,84201940,4378500880,52,1335,SRX8403272,Hippocampal_Neurons_harringtonine_45s_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715857,SAMN15014701,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_45s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_45s,Model organism or animal,
SRR11853187,139214372,7239147344,52,2326,SRX8403273,Hippocampal_Neurons_harringtonine_45s_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715857,SAMN15014701,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_45s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_45s,Model organism or animal,
SRR11853186,88504942,4602256984,52,1379,SRX8403274,Hippocampal_Neurons_harringtonine_45s_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715857,SAMN15014701,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_45s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_45s,Model organism or animal,
SRR11853185,116450538,6055427976,52,1905,SRX8403275,Hippocampal_Neurons_harringtonine_90s_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715858,SAMN15014702,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_90s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_90s,Model organism or animal,
SRR11853184,102333302,5321331704,52,1644,SRX8403276,Hippocampal_Neurons_harringtonine_90s_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715858,SAMN15014702,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_90s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_90s,Model organism or animal,
SRR11853183,97344283,5061902716,52,1524,SRX8403277,Hippocampal_Neurons_harringtonine_90s_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715858,SAMN15014702,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_90s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_90s,Model organism or animal,
SRR11853182,66545354,3460358408,52,1089,SRX8403278,Hippocampal_Neurons_harringtonine_150s_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715859,SAMN15014703,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_150s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_150s,Model organism or animal,
SRR11853181,79211124,4118978448,52,1269,SRX8403279,Hippocampal_Neurons_harringtonine_150s_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715859,SAMN15014703,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_150s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_150s,Model organism or animal,
SRR11853180,59458557,3091844964,52,926,SRX8403280,Hippocampal_Neurons_control_0s_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715855,SAMN15014698,simple,10116,Rattus norvegicus,Hippocampal_Neurons_control_0s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,control,Model organism or animal,
SRR11853179,82279841,4278551732,52,1283,SRX8403281,Hippocampal_Neurons_harringtonine_150s_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715859,SAMN15014703,simple,10116,Rattus norvegicus,Hippocampal_Neurons_harringtonine_150s,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,hippocampus,Ribosome profiling,neuron,harringtonine_150s,Model organism or animal,
SRR11853178,58605829,4454043004,76,1497,SRX8403282,Neuron_enriched_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715860,SAMN15014704,simple,10116,Rattus norvegicus,Neuron_enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,neruon cell culture,mRNA-seq,neuron,control,Model organism or animal,
SRR11853177,63686321,4840160396,76,1624,SRX8403283,Neuron_enriched_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715860,SAMN15014704,simple,10116,Rattus norvegicus,Neuron_enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,neruon cell culture,mRNA-seq,neuron,control,Model organism or animal,
SRR11853176,64904920,4932773920,76,1655,SRX8403284,Neuron_enriched_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715860,SAMN15014704,simple,10116,Rattus norvegicus,Neuron_enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,neruon cell culture,mRNA-seq,neuron,control,Model organism or animal,
SRR11853175,57205760,4347637760,76,1467,SRX8403285,Neuron_enriched_04,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715860,SAMN15014704,simple,10116,Rattus norvegicus,Neuron_enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,neruon cell culture,mRNA-seq,neuron,control,Model organism or animal,
SRR11853174,53048491,4031685316,76,1368,SRX8403286,Glia_enriched_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715861,SAMN15014705,simple,10116,Rattus norvegicus,Glia-enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,glal cell culture,mRNA-seq,glial,control,Model organism or animal,
SRR11853173,46501209,3534091884,76,1197,SRX8403287,Glia_enriched_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715861,SAMN15014705,simple,10116,Rattus norvegicus,Glia-enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,glal cell culture,mRNA-seq,glial,control,Model organism or animal,
SRR11853172,49118960,3733040960,76,1262,SRX8403288,Glia_enriched_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715861,SAMN15014705,simple,10116,Rattus norvegicus,Glia-enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,glal cell culture,mRNA-seq,glial,control,Model organism or animal,
SRR11853171,48492894,3685459944,76,1254,SRX8403289,Glia_enriched_04,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP264878,PRJNA634994,1,"",SRS6715861,SAMN15014705,simple,10116,Rattus norvegicus,Glia-enriched,Max-Planck Institute for Brain Research,SRA1080095,06,2021,Makar,"",mRNA-seq,CD (Sprague Dawley) IGS Rat,DIV 21,pooled male and female,hippocampus,E.M. Schuman,glal cell culture,mRNA-seq,glial,control,Model organism or animal,
