Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,genotype,GEO Accession
SRR11851771,44277648,8855529600,100,2927,SRX8401889,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714655,SAMN15027708,simple,10090,Mus musculus,GSM4568841,GEO,SRA1080034,08,2020,Pandey,Spleen,RR854_mouse_adult_Spleen_WT,Spleen,adult,WT,GSM4568841
SRR12263072,44484113,8896822600,100,2930,SRX8401890,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714656,SAMN15027707,simple,10090,Mus musculus,GSM4568842,GEO,SRA1080034,08,2020,Pandey,Spleen,RR856_mouse_adult_Spleen_WT,Spleen,adult,WT,GSM4568842
SRR12263073,46364034,9272806800,100,3032,SRX8401891,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714657,SAMN15027705,simple,10090,Mus musculus,GSM4568843,GEO,SRA1080034,08,2020,Pandey,Spleen,RR858_mouse_adult_Spleen_WT,Spleen,adult,WT,GSM4568843
SRR12263074,64264377,12852875400,100,4364,SRX8401892,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714659,SAMN15027704,simple,10090,Mus musculus,GSM4568844,GEO,SRA1080034,08,2020,Pandey,Spleen,RR860_mouse_adult_Spleen_KO,Spleen,adult,KO,GSM4568844
SRR12263075,62146170,12429234000,100,4198,SRX8401893,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714660,SAMN15027702,simple,10090,Mus musculus,GSM4568845,GEO,SRA1080034,08,2020,Pandey,Spleen,RR862_mouse_adult_Spleen_KO,Spleen,adult,KO,GSM4568845
SRR12263076,59738499,11947699800,100,4106,SRX8401894,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714666,SAMN15027701,simple,10090,Mus musculus,GSM4568846,GEO,SRA1080034,08,2020,Pandey,Spleen,RR864_mouse_adult_Spleen_KO,Spleen,adult,KO,GSM4568846
SRR12263077,56461921,11292384200,100,3678,SRX8401895,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714661,SAMN15027699,simple,10090,Mus musculus,GSM4568847,GEO,SRA1080034,08,2020,Pandey,Testes,RR855_mouse_adult_Testes_WT,Testes,adult,WT,GSM4568847
SRR12263078,52090012,10418002400,100,3409,SRX8401896,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714662,SAMN15027697,simple,10090,Mus musculus,GSM4568848,GEO,SRA1080034,08,2020,Pandey,Testes,RR857_mouse_adult_Testes_WT,Testes,adult,WT,GSM4568848
SRR12263079,60313555,12062711000,100,3931,SRX8401897,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714663,SAMN15027695,simple,10090,Mus musculus,GSM4568849,GEO,SRA1080034,08,2020,Pandey,Testes,RR859_mouse_adult_Testes_WT,Testes,adult,WT,GSM4568849
SRR12263080,62111351,12422270200,100,4255,SRX8401898,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714664,SAMN15027693,simple,10090,Mus musculus,GSM4568850,GEO,SRA1080034,08,2020,Pandey,Testes,RR861_mouse_adult_Testes_KO,Testes,adult,KO,GSM4568850
SRR12263081,57197791,11439558200,100,4237,SRX8401899,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714665,SAMN15027692,simple,10090,Mus musculus,GSM4568851,GEO,SRA1080034,08,2020,Pandey,Testes,RR863_mouse_adult_Testes_KO,Testes,adult,KO,GSM4568851
SRR11851782,57969422,11593884400,100,4270,SRX8401900,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714667,SAMN15027691,simple,10090,Mus musculus,GSM4568852,GEO,SRA1080034,08,2020,Pandey,Testes,RR865_mouse_adult_Testes_KO,Testes,adult,KO,GSM4568852
