Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,batch,GEO Accession
SRR11919575,37928079,7585615800,100,4637,SRX8465970,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767189,SAMN15096379,simple,10090,Mus musculus,GSM4589657,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_1_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,wild-type n-Tr20,Batch 1,GSM4589657
SRR11919576,40874682,8174936400,100,5004,SRX8465971,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767190,SAMN15096378,simple,10090,Mus musculus,GSM4589658,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_2_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,wild-type n-Tr20,Batch 1,GSM4589658
SRR11919577,43768861,8753772200,100,5378,SRX8465972,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767191,SAMN15096377,simple,10090,Mus musculus,GSM4589659,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_3_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,wild-type n-Tr20,Batch 1,GSM4589659
SRR11919578,43257993,8651598600,100,5285,SRX8465973,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767192,SAMN15096376,simple,10090,Mus musculus,GSM4589660,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_4_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,wild-type n-Tr20,Batch 1,GSM4589660
SRR11919579,31844640,6368928000,100,3889,SRX8465974,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767193,SAMN15096375,simple,10090,Mus musculus,GSM4589661,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_nTr20_del_1_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,n-Tr20 -/-,Batch 1,GSM4589661
SRR11919580,40329594,8065918800,100,4951,SRX8465975,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767194,SAMN15096374,simple,10090,Mus musculus,GSM4589662,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_nTr20_del_2_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,n-Tr20 -/-,Batch 1,GSM4589662
SRR11919581,41228595,8245719000,100,5051,SRX8465976,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767195,SAMN15096373,simple,10090,Mus musculus,GSM4589663,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_nTr20_del_3_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,n-Tr20 -/-,Batch 1,GSM4589663
SRR11919582,43196095,8639219000,100,5282,SRX8465977,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767196,SAMN15096372,simple,10090,Mus musculus,GSM4589664,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6N_nTr20_del_4_batch1_forebrain_RNA,Forebrain,C57BL/6NJ,Forebrain,8 weeks old,n-Tr20 -/-,Batch 1,GSM4589664
SRR11919583,38716217,7743243400,100,4742,SRX8465978,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767197,SAMN15096371,simple,10090,Mus musculus,GSM4589665,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6J_1_batch1_forebrain_RNA,Forebrain,C57BL/6J,Forebrain,8 weeks old,hypomorphic mutant for n-Tr20,Batch 1,GSM4589665
SRR11919584,33434124,6686824800,100,4090,SRX8465979,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP265841,PRJNA637076,32853550,"",SRS6767198,SAMN15096370,simple,10090,Mus musculus,GSM4589666,GEO,SRA1082889,06,2020,Kapur,Forebrain,B6J_2_batch1_forebrain_RNA,Forebrain,C57BL/6J,Forebrain,8 weeks old,hypomorphic mutant for n-Tr20,Batch 1,GSM4589666
