Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,assay types,cultivar,dev_stage,geo_loc_name,tissue,BioSampleModel,replicate,ecotype,library number
SRR11944061,104885906,10488590600,100,6036,SRX8488221,BRA1_FLRibo-seq,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP266320,PRJNA637713,1,"",SRS6787796,SAMN15153506,simple,4577,Zea mays,BRA1_FLRibo-seq,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",FLRibo-seq,B73,2 weeks,China: Wuhan,seedling above ground,Plant,,,
SRR11944060,70595114,7059511400,100,4077,SRX8488222,BRA2_FLRibo-seq,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP266320,PRJNA637713,1,"",SRS6787797,SAMN15153507,simple,4577,Zea mays,BRA2_FLRibo-seq,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",FLRibo-seq,B73,2 weeks,China: Wuhan,seedling above ground,Plant,technical replicate = BRA1_FLRibo-seq,,
SRR11944059,67116810,10067521500,150,5613,SRX8488223,root1_Arabidopsis_FLRibo-seq,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP266320,PRJNA637713,1,"",SRS6787798,SAMN15153516,simple,3702,Arabidopsis thaliana,root1_Arabidopsis_FLRibo-seq,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",FLRibo-seq,,mature,China: Wuhan,root,Plant,,Columbia,
SRR11944058,10020992,1583316736,158,619,SRX8488224,CIMBL126_P1-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787799,SAMN15153606,simple,4577,Zea mays,CIMBL126_P1-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL126,V7,China: Hainan,leaf,Plant,,,P1-2
SRR11944057,7231641,1142599278,158,443,SRX8488225,CIMBL127_P5-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787800,SAMN15153607,simple,4577,Zea mays,CIMBL127_P5-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL127,V7,China: Hainan,leaf,Plant,,,P5-1
SRR11944056,10928909,1726767622,158,683,SRX8488226,CIMBL129_1P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787801,SAMN15153608,simple,4577,Zea mays,CIMBL129_1P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL129,V7,China: Hainan,leaf,Plant,,,1P-1
SRR11944055,10758462,1699836996,158,650,SRX8488227,CIMBL129_2P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787802,SAMN15153609,simple,4577,Zea mays,CIMBL129_2P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL129,V7,China: Hainan,leaf,Plant,,,2P-1
SRR11944054,4535068,716540744,158,287,SRX8488228,CIMBL133_P5-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787803,SAMN15153610,simple,4577,Zea mays,CIMBL133_P5-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL133,V7,China: Hainan,leaf,Plant,,,P5-2
SRR11944053,5266920,832173360,158,321,SRX8488229,CIMBL135_P2-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787804,SAMN15153611,simple,4577,Zea mays,CIMBL135_P2-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL135,V7,China: Hainan,leaf,Plant,,,P2-3
SRR11944052,5387142,851168436,158,329,SRX8488230,CIMBL137_P1-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787805,SAMN15153612,simple,4577,Zea mays,CIMBL137_P1-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL137,V7,China: Hainan,leaf,Plant,,,P1-1
SRR11944051,4443146,702017068,158,271,SRX8488231,CIMBL140_P1-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787806,SAMN15153613,simple,4577,Zea mays,CIMBL140_P1-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL140,V7,China: Hainan,leaf,Plant,,,P1-1
SRR11944050,4301374,679617092,158,261,SRX8488232,CIMBL142_P5-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787807,SAMN15153614,simple,4577,Zea mays,CIMBL142_P5-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL142,V7,China: Hainan,leaf,Plant,,,P5-3
SRR11944049,7131870,1126835460,158,440,SRX8488233,CIMBL144_P5-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787808,SAMN15153615,simple,4577,Zea mays,CIMBL144_P5-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL144,V7,China: Hainan,leaf,Plant,,,P5-1
SRR11944048,67975508,10196326200,150,5693,SRX8488234,stem1_Arabidopsis_FLRibo-seq,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP266320,PRJNA637713,1,"",SRS6787809,SAMN15153517,simple,3702,Arabidopsis thaliana,stem1_Arabidopsis_FLRibo-seq,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",FLRibo-seq,,mature,China: Wuhan,stem,Plant,,Columbia,
