Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,GEO Accession
SRR11950038,30446594,9194871388,151,4468,SRX8494446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793394,SAMN15164547,simple,9606,Homo sapiens,GSM4594568,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNaseLow_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594568
SRR11950039,16702591,5044182482,151,2430,SRX8494447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793395,SAMN15164546,simple,9606,Homo sapiens,GSM4594569,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNaseLow_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594569
SRR11950040,31277686,9445861172,151,4039,SRX8494448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793396,SAMN15164545,simple,9606,Homo sapiens,GSM4594570,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNaseMed_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594570
SRR11950041,33315136,10061171072,151,4265,SRX8494449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793397,SAMN15164544,simple,9606,Homo sapiens,GSM4594571,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNaseMed_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594571
SRR11950042,71285963,21528360826,151,8601,SRX8494450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793398,SAMN15164543,simple,9606,Homo sapiens,GSM4594572,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNaseHigh_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594572
SRR11950043,58572306,17688836412,151,7135,SRX8494451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793399,SAMN15164542,simple,9606,Homo sapiens,GSM4594573,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNaseHigh_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594573
SRR14191924,43590466,13164320732,151,6316,SRX8494452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793400,SAMN15164541,simple,9606,Homo sapiens,GSM4594574,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RFP_50kCells_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594574
SRR14191925,42062075,12702746650,151,6061,SRX8494453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793401,SAMN15164540,simple,9606,Homo sapiens,GSM4594575,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RFP_50kCells_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594575
SRR14191926,38928551,11756422402,151,5610,SRX8494454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793402,SAMN15164539,simple,9606,Homo sapiens,GSM4594576,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RFP_1kCells_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594576
SRR14191927,47186419,14250298538,151,6807,SRX8494455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793403,SAMN15164538,simple,9606,Homo sapiens,GSM4594577,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RFP_1kCells_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594577
SRR11950048,67143835,20277438170,151,8122,SRX8494456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793404,SAMN15164537,simple,9606,Homo sapiens,GSM4594578,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RiboSeq_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594578
SRR11950049,61876594,18686731388,151,7470,SRX8494457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793405,SAMN15164536,simple,9606,Homo sapiens,GSM4594579,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RiboSeq_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594579
SRR14191928,22650566,6840470932,151,3132,SRX8494458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793406,SAMN15164535,simple,9606,Homo sapiens,GSM4594580,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNASeq_rep1,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594580
SRR11950051,22758839,6873169378,151,3136,SRX8494459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793407,SAMN15164534,simple,9606,Homo sapiens,GSM4594581,GEO,SRA1084433,01,2022,Makar,Human embryonic kidney cells,HEK293T_RNASeq_rep2,Human embryonic kidney cells,Embryonic kidney,HEK293T,GSM4594581
SRR14191929,34743823,10492634546,151,4891,SRX8494460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793408,SAMN15164530,simple,9606,Homo sapiens,GSM4594582,GEO,SRA1084433,01,2022,Makar,K562,K562_RFP_50kCells_rep1,K562,Bone marrow,K562,GSM4594582
SRR14191930,52455006,15841411812,151,7398,SRX8494461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793409,SAMN15164529,simple,9606,Homo sapiens,GSM4594583,GEO,SRA1084433,01,2022,Makar,K562,K562_RFP_50kCells_rep2,K562,Bone marrow,K562,GSM4594583
SRR14191931,41328548,12481221496,151,5741,SRX8494462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793410,SAMN15164528,simple,9606,Homo sapiens,GSM4594584,GEO,SRA1084433,01,2022,Makar,K562,K562_RFP_1kCells_rep1,K562,Bone marrow,K562,GSM4594584
SRR14191932,39738918,12001153236,151,5509,SRX8494463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793412,SAMN15164569,simple,9606,Homo sapiens,GSM4594585,GEO,SRA1084433,01,2022,Makar,K562,K562_RFP_1kCells_rep2,K562,Bone marrow,K562,GSM4594585
SRR11950056,67438204,20366337608,151,8413,SRX8494464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793411,SAMN15164533,simple,9606,Homo sapiens,GSM4594586,GEO,SRA1084433,01,2022,Makar,K562,K562_RiboSeq_rep1,K562,Bone marrow,K562,GSM4594586
SRR11950057,62202844,18785258888,151,7729,SRX8494465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793413,SAMN15164532,simple,9606,Homo sapiens,GSM4594587,GEO,SRA1084433,01,2022,Makar,K562,K562_RiboSeq_rep2,K562,Bone marrow,K562,GSM4594587
SRR14191933,25748374,7776008948,151,3579,SRX8494466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793414,SAMN15164531,simple,9606,Homo sapiens,GSM4594588,GEO,SRA1084433,01,2022,Makar,K562,K562_RNASeq_rep1,K562,Bone marrow,K562,GSM4594588
SRR11950059,21729052,6562173704,151,3000,SRX8494467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP266410,PRJNA638018,1,"",SRS6793415,SAMN15164568,simple,9606,Homo sapiens,GSM4594589,GEO,SRA1084433,01,2022,Makar,K562,K562_RNASeq_rep2,K562,Bone marrow,K562,GSM4594589
