Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,dev_stage,geo_loc_name,tissue,genotype,treatment,replicate,BioSampleModel
SRR12005523,33513785,10121163070,151,3549,SRX8538688,JBRS004F_S6,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833599,SAMN15226362,simple,3702,Arabidopsis thaliana,JBRS004_1,UC Berkeley,SRA1086591,01,2021,Makar,"",Col-0+Glc 1,Columbia,3 days old seedlings,seedlings,USA,whole seedling,Col-0,mock,biological replicate 1,Plant
SRR12005522,32903912,9936981424,151,3710,SRX8538689,JBRS004A_S1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833600,SAMN15226363,simple,3702,Arabidopsis thaliana,JBRS004_2,UC Berkeley,SRA1086591,01,2021,Makar,"",Col-0+Glc 2,Columbia,3 days old seedlings,seedlings,USA,whole seedling,Col-0,mock,biological replicate 2,Plant
SRR12005521,38198129,11535834958,151,3991,SRX8538690,JBRS004J_S10,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833601,SAMN15226372,simple,3702,Arabidopsis thaliana,JBRS004_11,UC Berkeley,SRA1086591,01,2021,Makar,"",larp1+Glc+Torin2 2,Columbia,3 days old seedlings,seedlings,USA,whole seedling,larp1,treatment,biological replicate 2,Plant
SRR12005520,23854784,7204144768,151,2558,SRX8538691,JBRS004K_S11,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833602,SAMN15226373,simple,3702,Arabidopsis thaliana,JBRS004_12,UC Berkeley,SRA1086591,01,2021,Makar,"",larp1+Glc+Torin2 3,Columbia,3 days old seedlings,seedlings,USA,whole seedling,larp1,treatment,biological replicate 3,Plant
SRR12005519,39220644,11844634488,151,4162,SRX8538692,JBRS004B_S2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833603,SAMN15226364,simple,3702,Arabidopsis thaliana,JBRS004_3,UC Berkeley,SRA1086591,01,2021,Makar,"",Col-0+Glc 3,Columbia,3 days old seedlings,seedlings,USA,whole seedling,Col-0,mock,biological replicate 3,Plant
SRR12005518,28578573,8630729046,151,2997,SRX8538693,JBRS004L_S12,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833604,SAMN15226365,simple,3702,Arabidopsis thaliana,JBRS004_4,UC Berkeley,SRA1086591,01,2021,Makar,"",Col-0+Glc+Torin2 1,Columbia,3 days old seedlings,seedlings,USA,whole seedling,Col-0,treatment,biological replicate 1,Plant
SRR12005517,44209213,13351182326,151,4708,SRX8538694,JBRS004C_S3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833605,SAMN15226366,simple,3702,Arabidopsis thaliana,JBRS004_5,UC Berkeley,SRA1086591,01,2021,Makar,"",Col-0+Glc+Torin2 2,Columbia,3 days old seedlings,seedlings,USA,whole seedling,Col-0,treatment,biological replicate 2,Plant
SRR12005516,26069867,7873099834,151,2748,SRX8538695,JBRS004D_S4,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833606,SAMN15226367,simple,3702,Arabidopsis thaliana,JBRS004_6,UC Berkeley,SRA1086591,01,2021,Makar,"",Col-0+Glc+Torin2 3,Columbia,3 days old seedlings,seedlings,USA,whole seedling,Col-0,treatment,biological replicate 3,Plant
SRR12005515,30461923,9199500746,151,3234,SRX8538696,JBRS004E_S5,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833607,SAMN15226368,simple,3702,Arabidopsis thaliana,JBRS004_7,UC Berkeley,SRA1086591,01,2021,Makar,"",larp1+Glc 1,Columbia,3 days old seedlings,seedlings,USA,whole seedling,larp1,mock,biological replicate 1,Plant
SRR12005514,26981036,8148272872,151,2852,SRX8538697,JBRS004G_S7,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP267128,PRJNA639161,1,"",SRS6833608,SAMN15226369,simple,3702,Arabidopsis thaliana,JBRS004_8,UC Berkeley,SRA1086591,01,2021,Makar,"",larp1+Glc 2,Columbia,3 days old seedlings,seedlings,USA,whole seedling,larp1,mock,biological replicate 2,Plant
