Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sgrna,sgrna target,replicate,GEO Accession
SRR12122923,29453195,1472659750,50,535,SRX8644249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927961,SAMN15409178,simple,9606,Homo sapiens,GSM4647797,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgEIF4E2_r1_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgEIF4E2,EIF4E2,r1,GSM4647797
SRR12122924,33112327,1655616350,50,605,SRX8644250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927962,SAMN15409177,simple,9606,Homo sapiens,GSM4647798,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgEIF4E2_r2_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgEIF4E2,EIF4E2,r2,GSM4647798
SRR12122925,35418225,1770911250,50,639,SRX8644251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927963,SAMN15409176,simple,9606,Homo sapiens,GSM4647799,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgGal4_r1_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgGal4,non-targeting,r1,GSM4647799
SRR12122926,37916255,1895812750,50,689,SRX8644252,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927964,SAMN15409175,simple,9606,Homo sapiens,GSM4647800,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgGal4_r2_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgGal4,non-targeting,r2,GSM4647800
SRR12122927,24901974,1245098700,50,453,SRX8644253,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927965,SAMN15409174,simple,9606,Homo sapiens,GSM4647801,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgGIGYF2_r1_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgGIGYF2,GIGYF2,r1,GSM4647801
SRR12122928,25699096,1284954800,50,467,SRX8644254,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927966,SAMN15409173,simple,9606,Homo sapiens,GSM4647802,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgGIGYF2_r2_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgGIGYF2,GIGYF2,r2,GSM4647802
SRR12122929,34214492,1710724600,50,621,SRX8644255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927967,SAMN15409172,simple,9606,Homo sapiens,GSM4647803,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells,none_r1_rnaseq,K562-dCas9 cells,none,n/a,r1,GSM4647803
SRR12122930,35037619,1751880950,50,639,SRX8644256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927969,SAMN15409171,simple,9606,Homo sapiens,GSM4647804,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells,none_r2_rnaseq,K562-dCas9 cells,none,n/a,r2,GSM4647804
SRR12122931,22007638,1100381900,50,400,SRX8644257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927968,SAMN15409170,simple,9606,Homo sapiens,GSM4647805,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgNEMF_r1_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgNEMF,NEMF,r1,GSM4647805
SRR12122932,27527790,1376389500,50,502,SRX8644258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927970,SAMN15409169,simple,9606,Homo sapiens,GSM4647806,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgNEMF_r2_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgNEMF,NEMF,r2,GSM4647806
SRR12122933,47330740,2366537000,50,861,SRX8644259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927971,SAMN15409168,simple,9606,Homo sapiens,GSM4647807,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgZNF598_r1_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgZNF598,ZNF598,r1,GSM4647807
SRR12122934,27856123,1392806150,50,509,SRX8644260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927972,SAMN15409186,simple,9606,Homo sapiens,GSM4647808,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,sgZNF598_r2_rnaseq,K562-dCas9 cells with GFP non-stop reporter,sgZNF598,ZNF598,r2,GSM4647808
SRR12122935,316706929,16152053379,51,5256,SRX8644261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927973,SAMN15409185,simple,9606,Homo sapiens,GSM4647809,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,replicate_1_ribosome_footprint_raw,K562-dCas9 cells with GFP non-stop reporter,mixed,mixed,r1,GSM4647809
SRR12122936,369393165,18839051415,51,6124,SRX8644262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP269441,PRJNA643292,32726578,"",SRS6927974,SAMN15409184,simple,9606,Homo sapiens,GSM4647810,GEO,SRA1093200,07,2020,Hickey,K562-dCas9 cells with GFP non-stop reporter,replicate_2_ribosome_footprint_raw,K562-dCas9 cells with GFP non-stop reporter,mixed,mixed,r2,GSM4647810
