Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,sequenced molecule,GEO Accession
SRR12164921,16638387,831919350,50,322,SRX8680380,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959428,SAMN15464667,simple,4932,Saccharomyces cerevisiae,GSM4658959,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"RNA-seq from untreated cells, rep 1",yeast lysate from o/n culture,untreated,"poly(A)-selected, fragmented RNA",GSM4658959
SRR12164922,12957040,647852000,50,244,SRX8680381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959430,SAMN15464693,simple,4932,Saccharomyces cerevisiae,GSM4658960,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"Ribosome profiling from untreated cells, rep 1",yeast lysate from o/n culture,untreated,ribosome-protected RNA fragments,GSM4658960
SRR12164923,11338713,566935650,50,221,SRX8680382,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959429,SAMN15464692,simple,4932,Saccharomyces cerevisiae,GSM4658961,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"RNA-seq from untreated cells, rep 2",yeast lysate from o/n culture,untreated,"poly(A)-selected, fragmented RNA",GSM4658961
SRR12164924,13572040,678602000,50,255,SRX8680383,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959432,SAMN15464691,simple,4932,Saccharomyces cerevisiae,GSM4658962,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"Ribosome profiling from untreated cells, rep 2",yeast lysate from o/n culture,untreated,ribosome-protected RNA fragments,GSM4658962
SRR12164925,5994689,299734450,50,117,SRX8680384,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959431,SAMN15464690,simple,4932,Saccharomyces cerevisiae,GSM4658963,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"RNA-seq from untreated cells, rep 3",yeast lysate from o/n culture,untreated,"poly(A)-selected, fragmented RNA",GSM4658963
SRR12164926,13747244,687362200,50,259,SRX8680385,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959433,SAMN15464689,simple,4932,Saccharomyces cerevisiae,GSM4658964,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"Ribosome profiling from untreated cells, rep 3",yeast lysate from o/n culture,untreated,ribosome-protected RNA fragments,GSM4658964
SRR12164927,17978112,898905600,50,348,SRX8680386,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959434,SAMN15464688,simple,4932,Saccharomyces cerevisiae,GSM4658965,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"RNA-seq from radicicol-treated cells, rep 1",yeast lysate from o/n culture,10 µM radicicol pre-treatment,"poly(A)-selected, fragmented RNA",GSM4658965
SRR12164928,16942016,847100800,50,317,SRX8680387,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959435,SAMN15464687,simple,4932,Saccharomyces cerevisiae,GSM4658966,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"Ribosome profiling from radicicol cells, rep 1",yeast lysate from o/n culture,10 µM radicicol pre-treatment,ribosome-protected RNA fragments,GSM4658966
SRR12164929,15647269,782363450,50,302,SRX8680388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959436,SAMN15464686,simple,4932,Saccharomyces cerevisiae,GSM4658967,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"RNA-seq from radicicol cells, rep 2",yeast lysate from o/n culture,10 µM radicicol pre-treatment,"poly(A)-selected, fragmented RNA",GSM4658967
SRR12164930,19204213,960210650,50,364,SRX8680389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959437,SAMN15464684,simple,4932,Saccharomyces cerevisiae,GSM4658968,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"Ribosome profiling from radicicol cells, rep 2",yeast lysate from o/n culture,10 µM radicicol pre-treatment,ribosome-protected RNA fragments,GSM4658968
SRR12164931,16694775,834738750,50,324,SRX8680390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959438,SAMN15464683,simple,4932,Saccharomyces cerevisiae,GSM4658969,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"RNA-seq from radicicol cells, rep 3",yeast lysate from o/n culture,10 µM radicicol pre-treatment,"poly(A)-selected, fragmented RNA",GSM4658969
SRR12164932,18470726,923536300,50,346,SRX8680391,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270667,PRJNA644594,32783929,"",SRS6959439,SAMN15464682,simple,4932,Saccharomyces cerevisiae,GSM4658970,GEO,SRA1095815,08,2020,Tsvetkov,yeast lysate from o/n culture,"Ribosome profiling from radicicol cells, rep 3",yeast lysate from o/n culture,10 µM radicicol pre-treatment,ribosome-protected RNA fragments,GSM4658970
