Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,rna fraction,GEO Accession
SRR12305280,24853651,7456095300,150,2358,SRX8807528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077091,SAMN15627299,simple,10090,Mus musculus,GSM4692798,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_WT3,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,wild type,total RNA,GSM4692798
SRR12305269,77368145,23210443500,150,10331,SRX8807529,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077089,SAMN15627320,simple,10090,Mus musculus,GSM4692787,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_WT1,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,wild type,mRNA,GSM4692787
SRR12305270,66790766,20037229800,150,8571,SRX8807530,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077090,SAMN15627318,simple,10090,Mus musculus,GSM4692788,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_WT2,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,wild type,mRNA,GSM4692788
SRR12305271,74463814,22339144200,150,10001,SRX8807531,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077092,SAMN15627317,simple,10090,Mus musculus,GSM4692789,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_WT3,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,wild type,mRNA,GSM4692789
SRR12305272,59502885,17850865500,150,7715,SRX8807532,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077093,SAMN15627315,simple,10090,Mus musculus,GSM4692790,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_ME1,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Mettl3(f/f, Emx1-cre)",mRNA,GSM4692790
SRR12305273,73960058,22188017400,150,10274,SRX8807533,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077095,SAMN15627313,simple,10090,Mus musculus,GSM4692791,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_ME2,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Mettl3(f/f, Emx1-cre)",mRNA,GSM4692791
SRR12305274,52698829,15809648700,150,7749,SRX8807534,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077094,SAMN15627311,simple,10090,Mus musculus,GSM4692792,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_ME3,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Mettl3(f/f, Emx1-cre)",mRNA,GSM4692792
SRR12305275,49984634,14995390200,150,7332,SRX8807535,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077097,SAMN15627309,simple,10090,Mus musculus,GSM4692793,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_FE1,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Fto(f/f, Emx1-cre)",mRNA,GSM4692793
SRR12305276,61068900,18320670000,150,8187,SRX8807536,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077100,SAMN15627307,simple,10090,Mus musculus,GSM4692794,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_FE2,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Fto(f/f, Emx1-cre)",mRNA,GSM4692794
SRR12305277,68217629,20465288700,150,9002,SRX8807537,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077096,SAMN15627305,simple,10090,Mus musculus,GSM4692795,GEO,SRA1102841,01,2021,Du,cerebral cortex,RIBO_FE3,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Fto(f/f, Emx1-cre)",mRNA,GSM4692795
SRR12305278,29421178,8826353400,150,2794,SRX8807538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077098,SAMN15627303,simple,10090,Mus musculus,GSM4692796,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_WT1,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,wild type,total RNA,GSM4692796
SRR12305279,27181417,8154425100,150,2545,SRX8807539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077099,SAMN15627301,simple,10090,Mus musculus,GSM4692797,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_WT2,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,wild type,total RNA,GSM4692797
SRR12305281,29131950,8739585000,150,2734,SRX8807540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077101,SAMN15627342,simple,10090,Mus musculus,GSM4692799,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_ME1,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Mettl3(f/f, Emx1-cre)",total RNA,GSM4692799
SRR12305282,25786833,7736049900,150,2414,SRX8807541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077102,SAMN15627341,simple,10090,Mus musculus,GSM4692800,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_ME2,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Mettl3(f/f, Emx1-cre)",total RNA,GSM4692800
SRR12305283,28345711,8503713300,150,2651,SRX8807542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077103,SAMN15627339,simple,10090,Mus musculus,GSM4692801,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_ME3,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Mettl3(f/f, Emx1-cre)",total RNA,GSM4692801
SRR12305284,27346330,8203899000,150,2632,SRX8807543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077104,SAMN15627337,simple,10090,Mus musculus,GSM4692802,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_FE1,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Fto(f/f, Emx1-cre)",total RNA,GSM4692802
SRR12305285,28059406,8417821800,150,2487,SRX8807544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077106,SAMN15627335,simple,10090,Mus musculus,GSM4692803,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_FE2,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Fto(f/f, Emx1-cre)",total RNA,GSM4692803
SRR12305286,30168586,9050575800,150,2765,SRX8807545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273291,PRJNA648109,34262022,"",SRS7077105,SAMN15627333,simple,10090,Mus musculus,GSM4692804,GEO,SRA1102841,01,2021,Du,cerebral cortex,RNA_FE3,cerebral cortex,C57BL/6,cerebral cortex,embryonic day 15.5,"Fto(f/f, Emx1-cre)",total RNA,GSM4692804
