Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,plasmid,GEO Accession
SRR12316444,42133515,2106675750,50,254,SRX8817788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273404,PRJNA648316,33544858,"",SRS7080680,SAMN15638100,simple,1280,Staphylococcus aureus,GSM4694003,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RNA dMazEF rep1,Bacterial liquid culture,HG003 delta-mazEF,pRAB11,GSM4694003
SRR12316445,41181707,2059085350,50,247,SRX8817789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273404,PRJNA648316,33544858,"",SRS7080681,SAMN15638099,simple,1280,Staphylococcus aureus,GSM4694004,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RNA dMazEF rep2,Bacterial liquid culture,HG003 delta-mazEF,pRAB11,GSM4694004
SRR12316446,54050708,2702535400,50,322,SRX8817790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273404,PRJNA648316,33544858,"",SRS7080682,SAMN15638120,simple,1280,Staphylococcus aureus,GSM4694005,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RNA dMazEFpF rep1,Bacterial liquid culture,HG003 delta-mazEF,pRAB11-MazF,GSM4694005
SRR12316447,40803684,2040184200,50,244,SRX8817791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273404,PRJNA648316,33544858,"",SRS7080683,SAMN15638119,simple,1280,Staphylococcus aureus,GSM4694006,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RNA dMazEFpF rep2,Bacterial liquid culture,HG003 delta-mazEF,pRAB11-MazF,GSM4694006
SRR12316448,40329644,2016482200,50,964,SRX8817792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP273404,PRJNA648316,33544858,"",SRS7080684,SAMN15638118,simple,1280,Staphylococcus aureus,GSM4694007,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RiboSeq WT rep1,Bacterial liquid culture,HG003,pRAB11,GSM4694007
SRR12316449,39950937,1997546850,50,966,SRX8817793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP273404,PRJNA648316,33544858,"",SRS7080685,SAMN15638117,simple,1280,Staphylococcus aureus,GSM4694008,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RiboSeq WT rep2,Bacterial liquid culture,HG003,pRAB11,GSM4694008
SRR12316450,35161157,1758057850,50,792,SRX8817794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP273404,PRJNA648316,33544858,"",SRS7080686,SAMN15638116,simple,1280,Staphylococcus aureus,GSM4694009,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RiboSeq dMazEF rep1,Bacterial liquid culture,HG003 delta-mazEF,pRAB11,GSM4694009
SRR12316451,96602486,4830124300,50,2223,SRX8817795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP273404,PRJNA648316,33544858,"",SRS7080687,SAMN15638115,simple,1280,Staphylococcus aureus,GSM4694010,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RiboSeq dMazEF rep2,Bacterial liquid culture,HG003 delta-mazEF,pRAB11,GSM4694010
SRR12316452,54969959,2748497950,50,1379,SRX8817796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP273404,PRJNA648316,33544858,"",SRS7080688,SAMN15638114,simple,1280,Staphylococcus aureus,GSM4694011,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RiboSeq dMazEFpF rep1,Bacterial liquid culture,HG003 delta-mazEF,pRAB11-MazF,GSM4694011
SRR12316441,65689695,3284484750,50,1658,SRX8817797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP273404,PRJNA648316,33544858,"",SRS7080689,SAMN15638113,simple,1280,Staphylococcus aureus,GSM4694012,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RiboSeq dMazEFpF rep2,Bacterial liquid culture,HG003 delta-mazEF,pRAB11-MazF,GSM4694012
SRR12316442,36783501,1839175050,50,220,SRX8817798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273404,PRJNA648316,33544858,"",SRS7080690,SAMN15638102,simple,1280,Staphylococcus aureus,GSM4694001,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RNA WT rep1,Bacterial liquid culture,HG003,pRAB11,GSM4694001
SRR12316443,48636329,2431816450,50,287,SRX8817799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273404,PRJNA648316,33544858,"",SRS7080691,SAMN15638101,simple,1280,Staphylococcus aureus,GSM4694002,GEO,SRA1103091,12,2020,Bezrukov,Bacterial liquid culture,RNA WT rep2,Bacterial liquid culture,HG003,pRAB11,GSM4694002
