Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,tissue,developmental stage,treatment,GEO Accession
SRR12318105,43086637,3274584412,76,1149,SRX8819417,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082306,SAMN15639443,simple,6239,Caenorhabditis elegans,GSM4694763,GEO,SRA1103289,04,2021,Singh,nematodes,N2_1_WTcsr-1_lateL4_rep1_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694763
SRR12318106,38564499,2930901924,76,1021,SRX8819418,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082307,SAMN15639441,simple,6239,Caenorhabditis elegans,GSM4694764,GEO,SRA1103289,04,2021,Singh,nematodes,N2_1_WTcsr-1_lateL4_rep2_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694764
SRR12318107,65374573,4968467548,76,1810,SRX8819419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082309,SAMN15639439,simple,6239,Caenorhabditis elegans,GSM4694765,GEO,SRA1103289,04,2021,Singh,nematodes,N2_1_WTcsr-1_lateL4_rep3_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694765
SRR12318108,40085239,3046478164,76,1058,SRX8819420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082308,SAMN15639438,simple,6239,Caenorhabditis elegans,GSM4694766,GEO,SRA1103289,04,2021,Singh,nematodes,csr-1_ADH_lateL4_rep1_Ribo-seq,nematodes,csr-1(gc010)[D769A]/nT1 [unc-?(n754) let-? qIs51] (IV;V),whole worm,Late L4 larval stage,none,GSM4694766
SRR12318109,24012894,1824979944,76,635,SRX8819421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082310,SAMN15639437,simple,6239,Caenorhabditis elegans,GSM4694767,GEO,SRA1103289,04,2021,Singh,nematodes,csr-1_ADH_lateL4_rep2_Ribo-seq,nematodes,csr-1(gc010)[D769A]/nT1 [unc-?(n754) let-? qIs51] (IV;V),whole worm,Late L4 larval stage,none,GSM4694767
SRR12318110,55093811,4187129636,76,1461,SRX8819422,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082312,SAMN15639436,simple,6239,Caenorhabditis elegans,GSM4694768,GEO,SRA1103289,04,2021,Singh,nematodes,csr-1_ADH_lateL4_rep3_Ribo-seq,nematodes,csr-1(gc010)[D769A]/nT1 [unc-?(n754) let-? qIs51] (IV;V),whole worm,Late L4 larval stage,none,GSM4694768
SRR12318111,45834573,3483427548,76,1214,SRX8819423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082311,SAMN15639435,simple,6239,Caenorhabditis elegans,GSM4694769,GEO,SRA1103289,04,2021,Singh,nematodes,N2_2_WTcsr-1_lateL4_rep1_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694769
SRR12318112,51346369,3902324044,76,1380,SRX8819424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082313,SAMN15639434,simple,6239,Caenorhabditis elegans,GSM4694770,GEO,SRA1103289,04,2021,Singh,nematodes,N2_2_WTcsr-1_lateL4_rep2_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694770
SRR12318113,42736528,3247976128,76,1172,SRX8819425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082315,SAMN15639433,simple,6239,Caenorhabditis elegans,GSM4694771,GEO,SRA1103289,04,2021,Singh,nematodes,csr-1_KO_lateL4_rep1_Ribo-seq,nematodes,csr-1(tm892)/nT1 [unc-?(n754) let-? qIs51] (IV;V),whole worm,Late L4 larval stage,none,GSM4694771
SRR12318114,48312395,3671742020,76,1300,SRX8819426,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082314,SAMN15639432,simple,6239,Caenorhabditis elegans,GSM4694772,GEO,SRA1103289,04,2021,Singh,nematodes,csr-1_KO_lateL4_rep2_Ribo-seq,nematodes,csr-1(tm892)/nT1 [unc-?(n754) let-? qIs51] (IV;V),whole worm,Late L4 larval stage,none,GSM4694772
SRR12318115,24753730,1881283480,76,710,SRX8819427,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082316,SAMN15639431,simple,6239,Caenorhabditis elegans,GSM4694773,GEO,SRA1103289,04,2021,Singh,nematodes,N2_WTklp-7_lateL4_rep1_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694773
SRR12318116,28588415,2172719540,76,818,SRX8819428,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082318,SAMN15639448,simple,6239,Caenorhabditis elegans,GSM4694774,GEO,SRA1103289,04,2021,Singh,nematodes,N2_WTklp-7_lateL4_rep2_Ribo-seq,nematodes,N2,whole worm,Late L4 larval stage,none,GSM4694774
SRR12318117,26769326,2034468776,76,775,SRX8819429,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082317,SAMN15639447,simple,6239,Caenorhabditis elegans,GSM4694775,GEO,SRA1103289,04,2021,Singh,nematodes,klp-7_co_lateL4_rep1_Ribo-seq,nematodes,klp-7(gc047[klp-7_codon_optimised]) III,whole worm,Late L4 larval stage,none,GSM4694775
SRR12318118,23474374,1784052424,76,671,SRX8819430,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP273441,PRJNA648380,34108460,"",SRS7082319,SAMN15639445,simple,6239,Caenorhabditis elegans,GSM4694776,GEO,SRA1103289,04,2021,Singh,nematodes,klp-7_co_lateL4_rep2_Ribo-seq,nematodes,klp-7(gc047[klp-7_codon_optimised]) III,whole worm,Late L4 larval stage,none,GSM4694776
