Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age of mice,sex of mice,number of mice,tissue,cell type,iclip antibody,GEO Accession
SRR12318320,37223659,3759589559,101,2400,SRX8819590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082481,SAMN15639679,simple,10090,Mus musculus,GSM4694962,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,mRNA Ctrl 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,7 weeks,Male,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694962
SRR12318321,47677540,4815431540,101,3067,SRX8819591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082482,SAMN15639713,simple,10090,Mus musculus,GSM4694963,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,mRNA Ctrl 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,7 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694963
SRR12318322,44258974,4470156374,101,2854,SRX8819592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082483,SAMN15639712,simple,10090,Mus musculus,GSM4694964,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,mRNA Ctrl 3,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,7 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694964
SRR12318323,45716223,4617338523,101,2939,SRX8819593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082484,SAMN15639711,simple,10090,Mus musculus,GSM4694965,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,mRNA Zfp36/Zfp36l1 dKO 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,8 weeks,Female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694965
SRR12318324,32623087,3294931787,101,2116,SRX8819594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082485,SAMN15639710,simple,10090,Mus musculus,GSM4694966,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,mRNA Zfp36/Zfp36l1 dKO 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,7 weeks,Male,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694966
SRR12318325,43598497,4403448197,101,2815,SRX8819595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082486,SAMN15639709,simple,10090,Mus musculus,GSM4694967,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,mRNA Zfp36/Zfp36l1 dKO 3,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,7 weeks,Female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694967
SRR12318326,46252019,2358852969,51,1072,SRX8819596,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082487,SAMN15639708,simple,10090,Mus musculus,GSM4694968,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Ctrl 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,13 weeks,Male,1,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694968
SRR12318327,101717087,5187571437,51,2323,SRX8819597,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082488,SAMN15639707,simple,10090,Mus musculus,GSM4694969,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Ctrl 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,13 weeks,Male,1,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694969
SRR12318328,28346186,1445655486,51,628,SRX8819598,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082489,SAMN15639706,simple,10090,Mus musculus,GSM4694970,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Ctrl 3,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,11 weeks,Male,1,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694970
SRR12318329,35123808,1791314208,51,765,SRX8819599,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082490,SAMN15639705,simple,10090,Mus musculus,GSM4694971,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Ctrl 4,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,11 weeks,Male,1,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694971
